N	3gram	Tiupa_Disk_2	Myshleni
1	в том что	6	31
2	с точки зрения	2	11
3	с одной стороны	4	9
4	с другой стороны	1	8
5	в этом отношении	4	7
6	в самом деле	1	6
7	одно и то	2	6
8	и то же	2	6
9	на каждом шагу	1	6
10	и того же	2	5
11	друг на друга	1	5
12	одного и того	2	5
13	и той же	1	4
14	в первую очередь	2	4
15	и то что	2	4
16	одной и той	1	4
17	в обоих случаях	2	3
18	состоит в том	2	3
19	в этом случае	2	3
20	между тем как	1	3
21	во всяком случае	1	3
22	о том что	3	3
23	речь идет о	1	3
24	в том числе	1	2
25	одной стороны и	2	2
26	в отличие от	12	2
27	том числе и	1	2
28	а с другой	1	2
29	данном случае не	1	2
30	в целом и	1	2
31	содержит в себе	2	2
32	в данном случае	6	2
33	не могут быть	1	2
34	в свое время	2	2
35	подобно тому как	2	2
36	на всем протяжении	1	2
37	по своей природе	1	1
38	том что в	1	1
39	не в состоянии	1	1
40	такой же мере	1	1
41	одних и тех	1	1
42	при переходе от	1	1
43	не является ни	1	1
44	потому что в	1	1
45	прежде всего в	1	1
46	равно как и	1	1
47	не говоря уже	1	1
48	но в той	1	1
49	решающую роль в	1	1
50	которое возникает в	1	1
51	бы то ни	1	1
52	и т.п но	1	1
53	при этом не	1	1
54	заключает в себе	2	1
55	и тех же	1	1
56	одном и том	1	1
57	говоря уже о	1	1
58	и в частности	1	1
59	то ни было	1	1
60	между ним и	1	1
61	связи и отношения	1	1
62	и том же	1	1
63	так и на	2	1
64	а также и	1	1
65	приходит к выводу	1	1
66	мы имеем дело	1	1
67	и как бы	2	1
68	в такой же	1	1
69	не может быть	3	1
70	только то что	1	1
71	по отношению к	4	1
72	только в качестве	1	1
73	то что в	1	1
74	в своем значении	1	1
75	в переходе от	1	1
76	с самого начала	1	1
77	можно сказать что	1	1
78	друг от друга	1	1
79	тем не менее	1	1
80	как и в	5	1
81	возникает в результате	1	1
82	что на деле	1	1
