N	4gram	Vinokur_Ku_3	Myshleni
1	заключается в том что	1	6
2	одного и того же	2	4
3	собственном смысле этого слова	1	4
4	и вместе с тем	1	2
5	в собственном смысле слова	1	2
6	одной и той же	1	2
7	с этой точки зрения	1	2
8	в силу того что	1	2
9	о которых говорено выше	1	1
10	он имеет в виду	1	1
11	то мы увидим что	1	1
12	с двух точек зрения	1	1
13	не выходит за пределы	1	1
14	мы должны сказать что	1	1
15	одним и тем же	2	1
16	то что мы в	1	1
17	прежде всего следует отметить	1	1
18	с точки зрения ее	1	1
