1	и не	16	31
2	и в	41	29
3	может быть	14	24
4	в его	13	24
5	в этом	12	22
6	а не	15	22
7	как бы	12	19
8	в нем	30	19
9	точки зрения	16	19
10	для него	3	18
11	не только	16	15
12	и его	14	14
13	то же	14	14
14	не как	4	14
15	но и	16	14
16	рядом с	4	14
17	с точки	8	13
18	уже не	2	13
19	в пределах	14	13
20	как и	4	12
21	точка зрения	8	12
22	не может	14	12
23	о себе	1	12
24	таким образом	9	12
25	героя и	1	10
26	в одном	2	10
27	только в	6	10
28	в самом	5	10
29	там где	4	10
30	в то	14	10
31	все эти	9	9
32	же время	12	9
33	в единство	2	9
34	с его	4	9
35	но не	2	9
36	в романе	21	9
37	все же	7	9
38	о нем	4	9
39	если бы	1	9
40	это не	6	9
41	в своей	7	8
42	авторского слова	1	8
43	потому что	2	8
44	до конца	12	8
45	в том	3	8
46	в каждом	4	8
47	в своем	3	8
48	входит в	4	7
49	а как	2	7
50	том что	2	7
51	но в	8	7
52	она не	3	7
53	вовсе не	7	7
54	в форме	1	7
55	самого автора	2	7
56	лишь как	3	7
57	в романах	2	7
58	с другими	5	7
59	за пределы	4	7
60	слово о	1	7
61	и на	14	7
62	а в	6	7
63	в себе	3	7
64	не в	7	7
65	прежде всего	8	7
66	зрения на	7	7
67	так и	11	7
68	несмотря на	1	6
69	выражение в	3	6
70	в одной	1	6
71	не могут	3	6
72	могут быть	19	6
73	что она	1	6
74	на мир	4	6
75	все это	5	6
76	и потому	4	6
77	как в	8	6
78	его в	3	6
79	к нему	5	6
80	как раз	2	6
81	сливается с	2	6
82	одним из	4	6
83	так же	2	6
84	о мире	1	6
85	в самой	1	6
86	менее всего	1	6
87	был бы	2	6
88	в целом	2	6
89	точку зрения	3	6
90	так как	3	6
91	мир и	1	5
92	мира в	1	5
93	зависимости от	3	5
94	в драме	1	5
95	он и	1	5
96	было бы	3	5
97	в сущности	13	5
98	перед нами	4	5
99	с ним	7	5
100	во всяком	7	5
101	и о	2	5
102	в плане	6	5
103	он не	3	5
104	одной плоскости	1	5
105	и др	14	5
106	автора и	4	5
107	в зависимости	3	5
108	ничего не	4	5
109	и это	1	5
110	более того	3	5
111	именно в	3	5
112	той же	2	5
113	еще не	4	5
114	на самом	2	5
115	у него	3	5
116	между тем	2	5
117	сознание и	1	5
118	в монологическом	2	5
119	так сказать	5	4
120	в этой	1	4
121	от того	1	4
122	перестает быть	2	4
123	но у	1	4
124	они не	1	4
125	и для	4	4
126	и наконец	4	4
127	в литературе	1	4
128	из одного	2	4
