N	2gram	Berdyaev_M_2	RusskieA
1	и в	46	36
2	не только	18	22
3	том что	4	19
4	что в	4	19
5	в том	3	17
6	т е	4	17
7	но и	15	16
8	так как	8	15
9	в этом	20	12
10	в xix	1	10
11	и на	3	10
12	это не	5	10
13	как и	13	10
14	вместе с	2	10
15	потому что	12	10
16	об этом	1	9
17	а в	2	9
18	с тем	1	8
19	у русских	2	8
20	у нас	11	8
21	о том	3	8
22	один из	5	8
23	мы увидим	2	8
24	может быть	21	8
25	е в	2	8
26	что они	3	7
27	так и	4	7
28	между тем	2	7
29	что и	4	7
30	и других	2	7
31	мы не	1	6
32	не имеет	4	6
33	уже не	4	6
34	в них	3	6
35	и не	18	6
36	все это	1	6
37	то что	5	6
38	как в	7	5
39	во многих	1	5
40	в которых	1	5
41	того как	3	5
42	как будто	2	5
43	и у	1	5
44	как бы	8	5
45	во всех	2	4
46	после этого	1	4
47	в россии	3	4
48	с собой	2	4
49	входит в	1	4
50	тому что	4	4
51	в русском	4	4
52	связи с	2	4
53	что на	1	4
54	к тому	5	4
55	его с	2	4
56	еще в	2	4
57	и что	2	4
58	тем что	3	4
59	а с	1	4
60	того что	6	4
61	но это	8	4
62	не может	15	4
63	только в	3	4
64	к этому	1	4
65	их и	1	3
66	своего рода	1	3
67	если в	1	3
68	которые не	1	3
69	в своем	8	3
70	что это	6	3
71	думать что	4	3
72	и те	2	3
73	на этом	2	3
74	то же	5	3
75	но все	1	3
76	совпадают с	1	3
77	для них	1	3
78	он же	3	3
79	русского народа	1	3
80	в этих	2	3
81	точки зрения	2	3
82	к тем	1	3
83	с точки	1	3
84	она в	1	3
85	но они	1	3
86	их в	1	3
87	в разных	2	3
88	ничего не	2	3
89	вывод что	1	3
90	приводит к	1	3
91	не с	1	3
92	западной европы	3	3
93	а также	1	3
94	также в	1	3
95	христа и	1	3
96	о чем	1	3
97	так же	6	3
98	этого слова	1	3
99	и к	7	3
100	в свою	4	3
101	но эти	1	3
102	между двумя	1	2
103	к другому	3	2
104	на западе	1	2
105	еще до	1	2
106	к нам	1	2
107	но она	2	2
108	что иное	3	2
109	на себя	1	2
110	они были	3	2
111	как не	1	2
112	в ней	11	2
113	он был	9	2
114	иное как	3	2
115	друг к	5	2
116	на самом	1	2
117	значение и	1	2
118	христа в	1	2
119	независимо от	1	2
120	с этим	1	2
121	хотя и	2	2
122	и как	1	2
123	его к	1	2
124	но в	10	2
125	та же	10	2
126	в целом	1	2
127	все эти	1	2
128	в нашем	7	2
129	как он	3	2
130	что она	5	2
131	в нем	22	2
132	чем у	4	2
133	в каждом	3	2
134	же не	1	2
135	и с	3	2
136	к другу	5	2
137	с целью	1	2
138	в жизни	4	2
139	привело к	1	2
140	должны были	1	2
141	и более	1	2
142	для этого	4	2
143	нас к	1	2
144	как можно	1	2
145	она не	8	2
146	у него	22	2
147	до того	1	2
148	а мы	1	2
149	не знали	1	2
150	и здесь	6	2
151	и другим	1	2
152	они и	4	2
153	в более	2	2
154	что у	4	2
155	в образе	3	2
156	с ним	3	2
157	означает что	4	2
158	находится в	1	2
159	на все	3	2
160	и поэтому	2	2
161	на что	1	2
162	после того	2	2
163	в его	5	2
164	к ней	2	2
165	не случайно	2	2
166	в какой	1	2
167	но ни	1	2
168	приводит нас	1	2
169	так что	2	2
170	в последний	1	2
171	его и	1	2
172	не означает	2	2
173	в прошлом	1	2
174	но что	1	2
175	он так	2	2
176	не было	11	2
177	не были	1	2
178	чем в	2	2
179	такое же	1	2
180	себя и	3	2
181	но есть	1	2
182	с ней	1	2
183	до конца	4	2
184	а не	13	2
185	стоит в	2	2
186	и потому	7	2
187	быть и	2	2
188	последний день	2	2
189	мы видим	2	2
190	и для	7	2
191	когда он	1	2
192	интерес к	2	2
193	мы должны	1	2
194	не что	3	2
195	в своих	3	2
196	нас не	2	2
197	который должен	2	1
198	также и	4	1
199	же как	3	1
200	чтобы не	3	1
201	самом деле	1	1
202	только потому	1	1
203	было таким	1	1
204	из самых	1	1
205	по преимуществу	5	1
206	и ее	1	1
207	должна быть	1	1
208	с таким	2	1
209	и за	2	1
210	приходит к	2	1
211	все русские	2	1
212	а совершенно	1	1
213	что если	1	1
214	вопрос о	6	1
215	говорить о	1	1
216	не знают	1	1
217	явление не	1	1
218	же что	2	1
219	жизни это	4	1
220	того же	1	1
221	и он	11	1
222	революции в	2	1
223	и много	1	1
224	на них	1	1
225	не был	2	1
226	всего этого	1	1
227	в чем	3	1
228	с его	4	1
229	а следовательно	1	1
230	земле но	1	1
231	не все	1	1
232	по отношению	2	1
233	все можно	1	1
234	себе и	2	1
235	другие народы	1	1
236	только этот	1	1
237	это имело	1	1
238	его на	4	1
239	рисует картину	1	1
240	народа в	1	1
241	это был	1	1
242	целый ряд	1	1
243	в меру	1	1
244	увидим что	2	1
245	от этого	2	1
246	в которой	2	1
247	говорят о	1	1
248	из жизни	1	1
249	не нашли	1	1
250	в час	1	1
251	не оставляет	1	1
252	в себе	10	1
253	на то	1	1
254	образ его	1	1
255	не имеют	2	1
256	что было	3	1
257	все другие	1	1
258	он не	10	1
259	может также	1	1
260	потребности в	1	1
261	он должен	1	1
262	не к	2	1
263	есть один	2	1
264	подобно тому	2	1
265	в народе	6	1
266	не бывает	3	1
267	что все	5	1
268	жизнь но	1	1
269	и характер	1	1
270	те же	5	1
271	его в	3	1
272	на почве	3	1
273	и тем	1	1
274	не соответствует	1	1
275	ни в	3	1
276	нет в	4	1
277	в этой	7	1
278	жизни то	1	1
279	не всегда	2	1
280	в развитии	1	1
281	не будут	2	1
282	но если	1	1
283	и бессмертие	1	1
284	и без	1	1
285	во времена	1	1
286	место в	2	1
287	этого вопроса	2	1
288	нас удовлетворить	1	1
289	одном из	1	1
290	ее на	1	1
291	но эта	2	1
292	которые в	2	1
293	не могли	1	1
294	и всякую	1	1
295	о русском	2	1
296	сам он	2	1
297	любви и	3	1
298	что есть	2	1
299	был уже	1	1
300	иной раз	1	1
301	не о	2	1
302	для каждого	1	1
303	тогда когда	2	1
304	это означает	2	1
305	русский народ	5	1
306	не по	1	1
307	было не	2	1
308	в основе	2	1
309	в самых	1	1
310	следовательно и	1	1
311	и всегда	3	1
312	с земли	1	1
313	народной жизни	4	1
314	или как	1	1
315	и его	5	1
316	к этим	1	1
317	и теперь	1	1
318	этом отношении	1	1
319	котором в	1	1
320	этот не	1	1
