N	3gram	Potebnia_M_3	Poddanst
1	в то же	5	7
2	то же время	5	7
3	не только в	4	4
4	в том что	16	4
5	сами по себе	1	3
6	с одной стороны	3	3
7	одной стороны и	1	2
8	но и в	4	2
9	и если бы	1	2
10	заключает в себе	5	2
11	заключается в том	1	2
12	в том виде	1	1
13	прежде чем говорить	1	1
14	далеко не все	3	1
15	более или менее	3	1
16	т д не	1	1
17	и вслед за	1	1
18	есть для нас	2	1
19	в собственном смысле	2	1
20	за то что	1	1
21	вместе с тем	4	1
22	и то что	1	1
23	можно думать что	2	1
24	все это в	1	1
25	если бы мы	1	1
26	потому что по	1	1
27	если мы не	1	1
28	между тем в	1	1
29	нет сомнения что	1	1
30	не в том	5	1
31	бы оно ни	1	1
32	нужно было иметь	1	1
33	потому что есть	1	1
34	с другой стороны	4	1
35	вслед за тем	3	1
36	не может быть	3	1
37	в некотором смысле	2	1
38	в них самих	1	1
39	что то же	1	1
40	до тех пор	1	1
41	или что то	1	1
42	само по себе	3	1
43	чем говорить о	1	1
44	тем и другим	1	1
45	и тем самым	1	1
46	именно потому что	1	1
47	тем более что	1	1
48	и не менее	1	1
49	друг с другом	1	1
50	во многих случаях	1	1
51	для того чтобы	3	1
52	на наш взгляд	1	1
53	и т д	3	1
