N	3gram	Berdyaev_O_1	VelikijI
1	во имя твое	1	5
2	о великом инквизиторе	6	4
3	что есть необычайного	1	3
4	необычайного гадательного и	1	3
5	есть необычайного гадательного	1	3
6	все что есть	1	3
7	великий инквизитор говорит	2	3
8	во имя свободы	1	3
9	в аристократизме в	1	2
10	нет нам дороги	1	2
11	великий инквизитор хочет	1	2
12	но и в	2	2
13	как песок морской	1	2
14	а с ним	1	2
15	во имя счастья	1	2
16	и не любя	1	2
17	ты не сошел	1	2
18	которым можно было	1	2
19	нам дороги и	1	2
20	бы и не	1	2
21	гадательного и неопределенного	1	2
22	сильных? нет нам	1	2
23	того чтобы овладеть	1	2
24	легенда о великом	2	2
25	вместо того чтобы	1	2
26	дороги лишь десятки	1	2
27	поступил как бы	2	2
28	тебе дороги лишь	1	2
29	тысяч великих и	1	2
30	в нем нет	3	2
31	десятки тысяч великих	1	2
32	не в силах	1	2
33	лишь десятки тысяч	1	2
34	и сильных? нет	1	2
35	миллионов счастливых младенцев	1	2
36	великих и сильных?	1	2
37	путь которым можно	1	2
38	в том что	1	2
39	как бы и	1	2
40	для человеческого общества	1	1
41	что опять-таки не	1	1
42	и тогда уже	1	1
43	тысячи лет назад	1	1
44	порочного и вечно	1	1
45	ли так часто	1	1
46	человек был устроен	1	1
47	которого боятся они	1	1
48	они и страшатся	1	1
49	для всякого вместе	1	1
50	не было для	1	1
51	всего еще тогда	1	1
52	царство человека вовеки	1	1
53	идешь с голыми	1	1
54	и страшатся ибо	1	1
55	потому что опять-таки	1	1
56	никогда не было	2	1
57	боятся они и	1	1
58	великолепной жертвы их	1	1
59	не захотел поработить	1	1
60	часто тогда говорил	1	1
61	он за тобою	1	1
62	небесный но может	1	1
63	могут быть счастливыми?	1	1
64	остальные слабые люди	1	1
65	было не по	1	1
66	тысяч да и	1	1
67	прельщенный и плененный	1	1
68	людского племени с	1	1
69	не по силам	1	1
70	человеческого общества невыносимее	1	1
71	ты можешь с	1	1
72	и своим что	1	1
73	не сошел с	1	1
74	всего только несколько	1	1
75	руками с каким-то	1	1
76	ее мучениями душевное	1	1
77	веры тебе была	1	1
78	был устроен бунтовщиком	1	1
79	своим что наконец-то	1	1
80	свободной любви свободной	1	1
81	в заслугу себе	1	1
82	хлеб земной вдоволь	1	1
83	единственный путь которым	1	1
84	имя твое но	1	1
85	не с тобой	1	1
86	знает может быть	1	1
87	ним вот наша	1	1
88	ее еще больше	1	1
89	и великий инквизитор	3	1
