N	2gram	Savitsky_P_1	Mirosoze
1	может быть	5	30
2	не только	17	29
3	и в	14	28
4	не может	4	28
5	но и	6	25
6	а не	2	25
7	в этом	10	20
8	не было	2	18
9	не в	5	16
10	потому что	3	16
11	в ней	6	15
12	переходит в	1	15
13	и есть	2	14
14	он был	1	14
15	никогда не	1	14
16	в нем	3	13
17	и достоевский	1	12
18	и это	2	12
19	в самом	1	11
20	и не	12	11
21	в своем	4	10
22	в творчестве	1	10
23	было бы	6	10
24	что в	4	10
25	в мире	2	10
26	прежде всего	3	10
27	и потому	4	10
28	с тем	3	9
29	не есть	1	9
30	в его	2	9
31	в котором	4	8
32	но не	3	8
33	но в	9	7
34	в себе	3	7
35	быть может	6	7
36	того что	2	7
37	нет ничего	1	7
38	должна быть	1	6
39	и на	1	6
40	в которой	1	6
41	в этой	1	6
42	ведет к	1	6
43	христианского мира	1	6
44	только в	7	6
45	вместе с	1	6
46	все это	2	6
47	в том	9	6
48	если он	1	5
49	от нее	1	5
50	это не	3	5
51	как и	1	5
52	что есть	1	5
53	раскрывается в	1	5
54	то что	4	5
55	и я	1	5
56	русской литературы	1	5
57	во христе	1	5
58	отношения к	2	4
59	есть не	2	4
60	xix века	6	4
61	духа и	2	4
62	не к	2	4
63	не как	1	4
64	и по	1	4
65	в них	2	4
66	в этих	1	4
67	точки зрения	3	4
68	в которых	5	4
69	есть путь	1	4
70	она не	1	4
71	что и	1	4
72	уже в	1	4
73	творчестве достоевского	1	4
74	а в	4	4
75	на пути	4	4
76	с его	1	3
77	с этим	2	3
78	духа в	1	3
79	бы и	1	3
80	и еще	1	3
81	и вот	2	3
82	заключает в	2	3
83	и с	2	3
84	его в	1	3
85	и истина	1	3
86	в жизни	2	3
87	для них	2	3
88	мир в	1	3
89	том что	4	3
90	не имеет	1	3
91	– все	1	3
92	на путях	4	3
93	в движении	1	3
94	в момент	1	3
95	в ее	2	3
96	особенно в	1	3
97	с собой	1	3
98	для философии	1	3
99	себя в	1	3
100	одно из	1	3
101	в иных	1	3
102	в мир	1	3
103	должно быть	2	3
104	для нас	2	3
105	христа и	1	3
106	хотя бы	8	3
107	в свете	1	3
108	в иной	1	3
109	есть и	1	3
110	также и	1	2
111	связана с	1	2
112	века в	1	2
113	к чему	2	2
114	вопрос о	1	2
115	литературы и	1	2
116	не все	1	2
117	в истории	1	2
118	т е	3	2
119	все же	1	2
120	и как	3	2
121	и к	4	2
122	только один	1	2
123	если бы	4	2
124	было с	1	2
125	к миру	1	2
126	в россии	3	2
127	прежде чем	1	2
128	и мы	2	2
129	в ином	1	2
130	прийти к	1	2
131	место в	1	2
132	мысли и	1	2
133	и жизнь	1	2
134	он живет	1	2
135	и достоевского	2	2
136	с которой	1	2
137	в то	7	2
138	того чтобы	1	2
139	бога не	1	2
140	в каком	1	2
141	могут быть	3	2
142	должен быть	1	2
143	и что	1	2
144	живет в	1	2
145	еще в	1	2
146	по сравнению	2	2
147	может не	1	2
148	с разных	1	2
149	с того	1	2
150	и мир	1	2
151	мы видим	1	2
152	человека с	1	2
153	русской судьбы	1	2
154	для того	3	2
155	церковь и	1	2
156	всемирной истории	1	2
157	эти пути	1	2
158	как бы	4	2
159	в начале	2	2
160	она может	1	2
161	всего что	1	2
162	отношении к	5	2
163	к этой	1	2
164	я и	3	1
165	также что	1	1
166	и т	3	1
167	и то	1	1
168	реалистической и	1	1
169	переход от	2	1
170	был и	1	1
171	и греческой	1	1
172	из всех	1	1
173	в наш	1	1
174	мы не	3	1
175	почва под	1	1
176	и через	1	1
177	не вполне	1	1
178	оно есть	1	1
179	бы ни	2	1
180	еще не	1	1
181	вечности и	1	1
182	во всех	2	1
183	россии и	4	1
184	если в	2	1
185	отличие от	1	1
186	россия есть	1	1
187	более чем	2	1
188	что во	1	1
189	как к	1	1
190	такова же	1	1
191	кто не	1	1
192	склонность к	1	1
193	но некоторое	1	1
194	мира к	1	1
195	над собой	1	1
196	не очень	1	1
197	россии не	1	1
198	пути но	1	1
199	что составляет	1	1
200	есть для	1	1
201	исповедание веры	1	1
202	разных точек	1	1
203	движение и	1	1
204	во многих	1	1
205	в явлении	1	1
206	россии нет	1	1
207	судьбы но	1	1
208	так раскрывается	1	1
209	в силу	2	1
210	европейской культуры	4	1
211	и понятен	1	1
212	момент когда	1	1
213	в каждом	1	1
214	в душе	1	1
215	пределах своих	1	1
216	весь мир	1	1
217	с богом	1	1
218	личности не	1	1
219	и вся	1	1
220	и несут	1	1
221	человеческого счастья	2	1
222	нисколько не	1	1
223	которой человечество	1	1
224	явлена в	1	1
225	ибо поистине	1	1
226	и без	3	1
227	есть та	1	1
228	в отличие	1	1
229	любовь и	1	1
230	исключительно на	1	1
231	творчества и	2	1
232	в философии	1	1
233	и эти	1	1
234	и более	1	1
235	и наоборот	1	1
236	в отношении	10	1
237	не менее	2	1
238	эта мысль	1	1
239	от многих	1	1
240	есть прежде	1	1
241	в русской	4	1
242	и именно	1	1
243	мы все	1	1
244	и злая	1	1
245	казалось бы	1	1
246	находятся в	1	1
247	задача –	1	1
248	человеческую совесть	1	1
249	в области	11	1
250	бытия не	1	1
251	не та	1	1
252	к духовному	1	1
253	мира они	1	1
254	среды в	1	1
255	все еще	1	1
256	бы это	1	1
257	и о	5	1
258	и этим	1	1
259	культуры и	1	1
260	в пределах	8	1
261	культурной традиции	1	1
262	не столько	2	1
263	христианства к	1	1
264	бытия как	1	1
265	было в	2	1
266	по природе	1	1
267	нужно было	2	1
268	является в	2	1
269	в глубинах	2	1
270	в эпоху	1	1
271	мире в	1	1
272	находится в	1	1
273	именно потому	1	1
274	но нужно	1	1
275	но к	2	1
276	она всегда	1	1
277	в значительной	2	1
278	заключается в	3	1
279	религиозного мироощущения	1	1
280	борьбе с	1	1
281	историческому и	1	1
282	во всей	2	1
283	восходит к	1	1
284	и только	1	1
285	которая и	1	1
286	также в	1	1
287	как явление	1	1
288	в сферу	1	1
289	xix век	2	1
290	духовного мира	1	1
291	традиции в	1	1
292	и быть	1	1
293	нужно обратиться	1	1
294	между тем	3	1
295	стремиться к	1	1
296	и ее	1	1
