N	3gram	Bakhtin_sl_1	Myslijsy
1	более или менее	3	8
2	во всяком случае	5	7
3	в том что	1	7
4	в свою очередь	2	6
5	было бы невозможно	1	5
6	по крайней мере	1	5
7	тем не менее	1	5
8	а между тем	2	4
9	до сих пор	2	4
10	в то время	2	4
11	то время как	2	3
12	с одной стороны	4	3
13	не могут быть	2	3
14	то есть не	1	3
15	может быть не	1	3
16	и т п	23	3
17	как бы ни	2	3
18	но во всяком	1	3
19	и т д	5	3
20	не только по	1	2
21	и во всех	2	2
22	одно и то	2	2
23	вовсе не может	1	2
24	с другой стороны	4	2
25	для того чтобы	1	2
26	то же время	12	2
27	так что мы	1	2
28	так и в	3	2
29	не может быть	1	2
30	с самого начала	1	2
31	в то же	12	2
32	и то же	2	2
33	таким образом в	3	2
34	и связанное с	1	1
35	предмет на который	1	1
36	заключает его в	1	1
37	дело в том	1	1
38	бы ни был	1	1
39	и той же	1	1
40	это было бы	1	1
41	с одним из	1	1
42	большей или меньшей	4	1
43	т д можно	1	1
44	в нем самом	1	1
45	но и по	1	1
46	у нас в	1	1
47	то есть к	1	1
48	может быть только	2	1
49	в отличие от	1	1
50	бы то ни	1	1
51	и др и	2	1
52	но это не	1	1
53	на предметы и	1	1
54	и не может	2	1
55	не дает им	1	1
56	занимает в нем	1	1
57	в нем в	3	1
58	со всех сторон	1	1
59	с этой точки	1	1
60	и не в	1	1
61	но с другой	1	1
62	как и в	1	1
63	каждый из этих	1	1
64	то ни было	1	1
65	мы не знаем	1	1
66	что для нас	1	1
67	только в одном	1	1
68	к языку и	2	1
69	оба эти условия	1	1
70	во всех этих	1	1
71	в большей или	3	1
72	языке и на	1	1
73	могла бы быть	1	1
74	не только на	2	1
75	о которых мы	1	1
76	что они не	1	1
77	не все слова	1	1
78	по всей вероятности	3	1
79	в этом случае	2	1
80	о том что	1	1
81	в одном из	1	1
82	то есть в	1	1
83	в большинстве случаев	6	1
84	одной и той	1	1
85	др и они	1	1
86	в его сознании	1	1
87	и в этом	2	1
88	не может находиться	1	1
89	том же языке	1	1
