N	2gram	Bakhtin_fo_1	PoTuStor
1	может быть	11	17
2	и в	50	16
3	в этом	25	9
4	и проч	4	9
5	таким образом	11	9
6	и только	1	9
7	мы можем	1	9
8	прежде всего	15	9
9	и с	4	8
10	точки зрения	5	8
11	и его	16	8
12	не может	6	8
13	совершенно не	2	8
14	с его	9	7
15	не только	9	7
16	сказать что	3	7
17	я и	1	6
18	самом деле	1	6
19	конечно не	4	6
20	при этом	3	6
21	с точки	2	6
22	и это	4	6
23	к отцу	1	6
24	для него	2	6
25	и к	2	6
26	еще не	5	5
27	в чем	2	5
28	отношение к	2	5
29	все эти	9	5
30	ни в	8	5
31	в него	1	5
32	как бы	2	5
33	и ее	3	4
34	и на	8	4
35	отнюдь не	5	4
36	и наконец	1	4
37	но в	10	4
38	в этой	1	4
39	в нем	24	4
40	и может	2	4
41	его в	3	4
42	в один	1	4
43	все это	4	4
44	самого начала	2	4
45	как мы	14	4
46	с ее	6	4
47	с самого	2	4
48	так и	12	4
49	в его	13	4
50	с ними	1	4
51	только в	4	4
52	для всех	2	4
53	и их	8	4
54	так как	6	4
55	и даже	2	4
56	но и	8	4
57	и не	14	4
58	и все	6	4
59	хотя бы	2	4
60	отношения к	3	3
61	тех же	2	3
62	во всех	6	3
63	и есть	1	3
64	и как	10	3
65	с их	2	3
66	и вот	1	3
67	их в	3	3
68	на этой	4	3
69	том что	4	3
70	во время	1	3
71	сих пор	3	3
72	в одном	3	3
73	в основе	5	3
74	до сих	3	3
75	чем не	3	3
76	и оно	1	3
77	к себе	4	3
78	те же	2	3
79	по сравнению	2	3
80	с другими	3	3
81	в том	9	3
82	в большинстве	1	3
83	только на	3	3
84	всяком случае	1	3
85	даже не	2	3
86	и др	9	3
87	но оно	2	3
88	вместе с	3	3
89	и потому	3	3
90	сравнению с	2	3
91	могут быть	5	3
92	в основном	5	3
93	что в	5	3
94	в этих	3	3
95	а в	3	3
96	то что	6	3
97	между ними	3	3
98	жизни и	8	3
99	во всяком	3	3
100	ту же	2	2
101	нем нет	2	2
102	же как	2	2
103	все снова	1	2
104	в самом	8	2
105	мы уже	11	2
106	мы не	3	2
107	из сказанного	1	2
108	что можно	1	2
109	того же	8	2
110	на них	2	2
111	между собой	4	2
112	из этих	1	2
113	совсем не	2	2
114	но как	1	2
115	друг на	2	2
116	нет и	2	2
117	с этим	6	2
118	в этот	2	2
119	что это	1	2
120	и через	1	2
121	последующей жизни	1	2
122	вообще не	3	2
123	он не	5	2
124	и по	2	2
125	то же	11	2
126	по своему	1	2
127	связанные с	1	2
128	на протяжении	1	2
129	было бы	2	2
130	в жизни	6	2
131	по всему	1	2
132	в них	4	2
133	всей последующей	1	2
134	как и	8	2
135	между собою	1	2
136	на первый	1	2
137	в своей	2	2
138	его целом	2	2
139	никогда не	2	2
140	только и	5	2
141	всей жизни	2	2
142	здесь же	1	2
143	так называемый	2	2
144	и исторического	2	2
145	в каком	2	2
146	все то	2	2
147	не могут	3	2
148	что оно	1	2
149	на основе	2	2
150	и этим	1	2
151	в пределах	5	2
152	как с	1	2
153	и вообще	2	2
154	с ним	2	2
155	находится в	1	2
156	о том	1	2
157	для нас	2	2
158	путь к	1	2
159	что и	3	2
160	во всей	3	2
161	может иметь	1	2
162	один из	3	2
163	мы видим	3	2
164	что он	1	2
165	поэтому и	3	2
166	всех его	1	2
167	со всеми	3	2
168	есть в	2	2
169	с нею	1	2
170	если мы	2	2
171	об его	1	2
172	в начале	3	2
173	и других	3	2
174	цели и	1	2
175	к ним	2	2
176	при всей	1	2
177	у него	6	2
178	момент в	2	2
179	и т.п	4	2
180	характерно для	1	2
181	оно не	2	2
182	себя и	3	2
183	что не	3	2
184	а на	1	2
185	на друга	2	2
186	не на	1	2
187	его все	1	2
188	что мы	2	2
189	в одно	3	2
190	с помощью	2	2
191	в частности	6	2
192	так же	6	2
193	некоторые моменты	1	2
194	своей жизни	4	2
195	к другим	1	2
196	и для	4	2
197	не существует	1	2
198	но отнюдь	1	2
199	но зато	1	2
200	это делает	1	2
201	не знает	3	2
202	всех других	1	2
203	ее в	2	2
204	к этому	3	2
205	можно назвать	2	2
206	они не	3	2
207	в движение	3	1
208	человека и	11	1
209	все остальное	1	1
210	и то	4	1
211	и подробно	1	1
212	он может	1	1
213	далее и	1	1
214	и первую	1	1
215	не имеют	3	1
216	высшей степени	1	1
217	собою в	1	1
218	всей ее	1	1
219	со всех	1	1
220	мы имеем	1	1
221	теперь мы	1	1
222	и момент	2	1
223	вопрос о	2	1
224	одних и	2	1
225	совершенно так	1	1
226	нам в	1	1
227	я не	1	1
228	как я	1	1
229	из того	1	1
230	конечно и	4	1
231	не совсем	1	1
232	же что	2	1
233	зависимости от	1	1
234	всех сторон	1	1
235	в ней	4	1
236	он был	1	1
237	первый план	1	1
238	не был	1	1
239	совершенно определенных	1	1
240	их так	1	1
241	внешнего ни	1	1
242	оно совершенно	1	1
243	но не	5	1
244	и три	1	1
245	пассивным и	1	1
246	энергии и	1	1
247	не входит	2	1
248	значение и	3	1
249	с совершенно	1	1
250	менее всего	1	1
251	вступают в	1	1
252	в свои	1	1
253	в течение	2	1
254	в центре	2	1
255	пути в	1	1
256	все же	6	1
257	однако не	1	1
258	в полном	1	1
259	хотя и	3	1
260	его специфической	1	1
261	не являются	2	1
262	проблема истории	1	1
263	его к	1	1
264	это просто	1	1
265	увидим что	1	1
266	от этого	2	1
267	психологии и	1	1
268	уже не	2	1
269	та же	1	1
270	точку зрения	2	1
271	ни один	1	1
272	этот новый	1	1
273	в нашем	2	1
274	или во	1	1
275	не оставляет	6	1
276	греческий человек	1	1
277	видим и	1	1
278	как он	2	1
279	имеем в	1	1
280	всей его	2	1
281	человек не	1	1
282	как совершенно	1	1
283	не преодолевается	1	1
284	не следует	1	1
285	что было	3	1
286	главным образом	1	1
287	по самому	2	1
288	время и	4	1
289	различные формы	1	1
290	с нашим	1	1
291	образом и	1	1
292	в корне	1	1
293	но вместе	1	1
294	с чем	1	1
295	мы говорили	3	1
296	без исключения	1	1
297	но увы	1	1
298	человека в	17	1
299	по его	1	1
300	как они	1	1
301	в мире	1	1
302	конечно в	1	1
303	той же	2	1
304	все сплошь	1	1
305	лишь в	6	1
306	входит в	3	1
307	это было	1	1
308	уже знаем	1	1
309	на почве	2	1
310	себе все	1	1
311	мы сказали	1	1
312	которая была	1	1
313	для них	3	1
314	были в	2	1
315	под прикрытием	1	1
316	в самую	1	1
317	слагаются в	2	1
318	социального целого	1	1
319	с тем	3	1
320	этим и	1	1
321	уже у	1	1
322	все моменты	2	1
323	жизни но	5	1
324	мир в	2	1
325	семьи и	1	1
326	форма и	1	1
327	и того	6	1
328	одного и	5	1
329	лучше всего	1	1
330	и еще	2	1
331	моментах в	1	1
332	фольклора можно	1	1
333	значение для	1	1
334	но эта	3	1
335	которые в	1	1
336	страха и	1	1
337	в философии	1	1
338	друг другу	2	1
339	есть еще	1	1
340	важный момент	1	1
341	вещей и	1	1
342	на всю	1	1
343	человека но	1	1
344	так называемого	1	1
345	же мы	1	1
346	вернемся к	1	1
347	на один	2	1
348	иной раз	1	1
349	в эпоху	1	1
350	тогда когда	2	1
351	дело в	2	1
352	одна из	2	1
353	в сущности	3	1
354	этот абстрактный	1	1
355	и снова	1	1
356	того чтобы	5	1
357	и аффектов	1	1
358	не имеет	4	1
359	или прямо	1	1
360	ничего не	9	1
361	и вместо	1	1
362	оставляет никаких	1	1
363	всего на	1	1
364	того в	1	1
365	это именно	1	1
366	в русском	1	1
367	уже становится	1	1
368	во всем	2	1
369	мире и	2	1
370	связи с	6	1
371	в виду	3	1
372	мы и	4	1
373	с другом	1	1
374	и со	1	1
375	или только	1	1
376	может наконец	1	1
377	и такие	1	1
378	похож на	1	1
379	отличается от	1	1
380	должны быть	1	1
381	одну и	1	1
382	к тому	3	1
383	бы он	1	1
384	той или	2	1
385	для его	1	1
386	она же	2	1
387	день и	1	1
388	она не	1	1
389	и стали	1	1
390	из всего	1	1
391	всем этим	3	1
392	на другой	2	1
393	данном случае	1	1
394	характер и	7	1
395	выражение той	1	1
396	тело в	1	1
397	в себя	1	1
398	приводит к	1	1
399	роль в	9	1
400	если они	2	1
401	и сам	1	1
402	в другом	1	1
403	и ту	1	1
404	времени и	10	1
405	его жизни	8	1
406	отсюда и	2	1
407	не место	2	1
408	если бы	5	1
409	своего происхождения	1	1
410	в разных	5	1
411	часто и	2	1
412	и здесь	1	1
413	в порядке	3	1
414	два момента	1	1
415	и т.д	1	1
416	метафорическое значение	1	1
417	но к	1	1
418	характер этого	1	1
419	внимание на	1	1
420	нас в	3	1
421	события его	1	1
422	моменты своей	1	1
423	человек был	3	1
424	этот момент	1	1
425	с нами	1	1
426	достаточно назвать	1	1
427	но нет	1	1
428	на одном	1	1
429	никаких сомнений	1	1
430	не более	1	1
431	быть ничего	1	1
432	наконец в	1	1
433	из одних	1	1
434	и были	2	1
435	человека как	1	1
436	вся жизнь	1	1
437	же элементов	1	1
438	и мир	1	1
439	этом моменте	1	1
440	философии и	1	1
441	тот же	1	1
442	мы увидим	1	1
443	жизнь с	2	1
444	каждый момент	1	1
445	на своей	2	1
446	нас здесь	1	1
447	с одной	3	1
448	в качестве	3	1
449	себя в	1	1
450	же и	2	1
451	события и	1	1
452	всем мире	1	1
453	уже в	2	1
454	и они	1	1
455	то и	1	1
456	наиболее резкое	1	1
457	его и	2	1
458	человека на	1	1
459	пока не	1	1
460	ведь это	1	1
461	в конце	9	1
462	вовсе не	13	1
463	с этими	2	1
464	те формы	1	1
465	привела к	1	1
466	как его	1	1
467	как раз	13	1
468	этом отношении	3	1
469	для того	5	1
470	ядро и	1	1
471	уже совершенно	1	1
472	и всему	1	1
473	ни внутреннего	1	1
474	или иной	2	1
475	в высшей	1	1
476	с другой	2	1
477	моменты и	1	1
478	на ее	1	1
479	эта работа	1	1
480	и тех	2	1
481	здесь в	2	1
482	жизненной деятельности	1	1
483	в каких	1	1
484	являются только	1	1
485	и прежде	2	1
486	в свою	2	1
487	на которые	1	1
488	мы еще	3	1
489	лишь моментом	1	1
490	говорит о	1	1
491	месте и	1	1
492	в некоторых	2	1
493	них и	1	1
494	у нас	1	1
495	это профессиональное	1	1
496	одной стороны	2	1
497	а наоборот	1	1
498	и самый	1	1
499	а не	3	1
500	с которым	1	1
501	жизнь в	2	1
