N	3gram	Ircho_Kome_2	Problema
1	по отношению к	3	19
2	и т п	2	13
3	не может быть	1	11
4	с точки зрения	1	6
5	в отличие от	2	5
6	в большинстве случаев	1	5
7	с другой стороны	1	4
8	в самом деле	1	3
9	в этом смысле	2	3
10	бы то ни	2	3
11	можно было бы	2	3
12	с одной стороны	2	3
13	то же время	3	3
14	в том что	5	3
15	в то же	3	3
16	тем не менее	1	3
17	в какой мере	1	2
18	в том же	1	2
19	на первый план	1	2
20	но и в	1	2
21	и во всех	1	2
22	и в то	1	2
23	то ни было	2	2
24	не только в	1	2
25	мы имеем дело	1	2
26	того или иного	1	2
27	большинстве случаев не	1	2
28	так и в	1	2
29	мы можем сказать	1	2
30	той или иной	1	2
31	для того чтобы	4	2
32	в свою очередь	1	1
33	не говоря уже	2	1
34	имеется в виду	1	1
35	до сих пор	2	1
36	говоря уже о	2	1
37	и в современной	1	1
38	не было бы	1	1
39	и не менее	1	1
40	его помощью и	1	1
41	то время как	2	1
42	не в его	1	1
43	таким образом и	1	1
44	и определяет все	1	1
45	ни в один	1	1
46	по сравнению с	1	1
47	имеем дело с	1	1
48	в связи с	3	1
49	в нем не	2	1
50	и не столь	1	1
51	и в том	1	1
52	в своем роде	1	1
53	его жизненную позицию	1	1
54	и в свою	1	1
55	на фоне которых	1	1
56	то что в	1	1
57	в то время	3	1
58	в тех же	1	1
59	на протяжении всего	1	1
60	то что не	1	1
61	не обходится без	1	1
62	хотя бы в	1	1
63	к выводу что	1	1
64	и в самом	1	1
65	можем сказать что	1	1
66	к тому что	2	1
67	в первом случае	1	1
