N	2gram	Vinokur_St_1	DiskursI
1	в качестве	4	34
2	не только	18	28
3	в том	36	23
4	а не	16	22
5	то есть	2	20
6	том что	29	19
7	может быть	15	17
8	как и	9	16
9	и в	44	16
10	в этом	21	15
11	еще не	3	14
12	но и	10	14
13	при этом	2	13
14	по своей	2	11
15	но не	3	11
16	прежде всего	7	11
17	и не	16	11
18	как в	13	10
19	далеко не	1	10
20	с другой	9	10
21	по отношению	3	9
22	в нем	5	9
23	не может	8	9
24	с одной	3	9
25	одной стороны	2	9
26	в частности	4	9
27	отношению к	3	9
28	но в	10	8
29	своего рода	3	8
30	о том	17	8
31	так и	9	8
32	а также	2	8
33	не было	4	7
34	в себе	2	7
35	то же	5	7
36	не в	12	7
37	в основе	3	7
38	со стороны	6	7
39	в его	9	7
40	только в	10	7
41	в своем	2	6
42	и на	1	5
43	во всех	8	5
44	в котором	5	5
45	в процессе	1	5
46	в эпоху	2	5
47	или иной	1	5
48	можно сказать	1	5
49	а с	3	5
50	в данном	14	5
51	как бы	4	5
52	к тому	1	5
53	а в	17	5
54	то что	18	5
55	в своей	6	5
56	и о	1	4
57	в которых	5	4
58	с его	1	4
59	в сторону	2	4
60	отношение к	2	4
61	в истории	3	4
62	и к	1	4
63	уже не	1	4
64	в целом	5	4
65	не как	1	4
66	лишь в	3	4
67	в них	1	4
68	потому что	6	4
69	могут быть	5	4
70	для себя	3	4
71	внимание на	3	4
72	же время	4	4
73	между тем	3	4
74	во втором	4	4
75	как правило	2	4
76	одной из	1	4
77	что он	10	4
78	для него	6	4
79	что не	3	4
80	такого рода	2	4
81	не является	3	4
82	что в	30	4
83	также и	9	3
84	того же	3	3
85	и потому	2	3
86	в первом	2	3
87	во мне	1	3
88	столь же	4	3
89	той или	1	3
90	в одной	1	3
91	с этим	3	3
92	перед нами	1	3
93	в самом	7	3
94	заключается в	4	3
95	это не	8	3
96	по мысли	1	3
97	точки зрения	11	3
98	в своих	2	3
99	однако в	1	3
100	бы быть	1	3
101	по себе	1	3
102	в то	9	3
103	таким образом	7	3
104	ли не	2	3
105	должны быть	3	3
106	но при	1	3
107	в ее	4	3
108	времени и	1	3
109	еще в	1	3
110	и даже	5	3
111	что и	6	3
112	хотя бы	6	3
113	в данной	2	3
114	из них	8	3
115	к ним	1	3
116	тем что	5	3
117	именно в	6	3
118	это прежде	2	3
119	того что	9	3
120	все же	8	3
121	сказать что	7	3
122	другой стороны	7	3
123	отношения к	2	2
124	например в	8	2
125	и есть	1	2
126	едва ли	1	2
127	мы имеем	2	2
128	в сущности	2	2
129	совпадает с	2	2
130	на себя	1	2
131	в виду	1	2
132	между собой	1	2
133	но как	1	2
134	в новом	4	2
135	за пределы	2	2
136	себя в	1	2
137	писателя в	2	2
138	стороны и	1	2
139	как к	3	2
140	с некоторыми	1	2
141	что касается	3	2
142	хотя и	1	2
143	целый ряд	2	2
144	не приходится	1	2
145	в тех	3	2
146	в этой	11	2
147	эпохи и	3	2
148	всей его	1	2
149	в значении	1	2
150	по словам	4	2
151	том чтобы	1	2
152	и по	5	2
153	так например	7	2
154	в каждом	3	2
155	могла бы	1	2
156	об этом	3	2
157	того или	4	2
158	и тем	3	2
159	соответствии с	1	2
160	не всегда	2	2
161	иначе говоря	1	2
162	в г	3	2
163	и без	3	2
164	по крайней	2	2
165	не менее	5	2
166	но они	1	2
167	что с	2	2
168	дело не	4	2
169	текста и	1	2
170	в науке	1	2
171	не могло	1	2
172	имеем дело	2	2
173	в наше	1	2
174	в тексте	12	2
175	и его	8	2
176	в момент	1	2
177	крайней мере	2	2
178	уже о	5	2
179	отличается от	1	2
180	числе и	2	2
181	значительной степени	1	2
182	оно не	1	2
183	как мы	1	2
184	говоря уже	1	2
185	данном случае	6	2
186	языка и	4	2
187	и иные	2	2
188	на том	1	2
189	же касается	3	2
190	но зато	1	2
191	в другом	3	2
192	было в	1	2
193	разного рода	1	2
194	и вообще	3	2
195	а по	1	2
196	о нем	1	2
197	во всяком	6	2
198	и что	4	2
199	времени в	1	2
200	это было	1	2
201	на протяжении	1	2
202	и во	2	2
203	в форме	1	2
204	котором он	1	2
205	них в	1	2
206	дело с	2	2
