N	3gram	Propp_Isto_1	PoTuStor
1	с самого начала	2	4
2	в этом смысле	1	3
3	до сих пор	5	3
4	не может быть	7	3
5	в большинстве случаев	4	3
6	друг на друга	1	2
7	так же как	2	2
8	не могут быть	1	2
9	о том что	3	2
10	и в этом	1	2
11	если бы он	1	1
12	мы останавливаться не	1	1
13	на этом моменте	1	1
14	а иногда и	1	1
15	выше мы говорили	1	1
16	уже не может	1	1
17	дело в том	3	1
18	в нем и	1	1
19	на них мы	1	1
20	подобно тому как	1	1
21	и др но	1	1
22	во многих случаях	1	1
23	во всем мире	1	1
24	то же самое	3	1
25	как это делает	1	1
26	же как и	1	1
27	бы то ни	2	1
28	а может быть	1	1
29	в этом отношении	1	1
30	можно было бы	3	1
31	это приводит к	1	1
32	она может быть	1	1
33	может быть только	1	1
34	вместе с тем	2	1
35	в каком отношении	1	1
36	вспомним хотя бы	1	1
37	не чем иным	1	1
38	то ни было	2	1
39	с одной стороны	4	1
40	в связи с	3	1
41	только в одном	2	1
42	как один из	1	1
43	могут быть объяснены	1	1
44	так и с	1	1
45	в этой работе	1	1
46	и она не	1	1
47	в том что	4	1
48	мы говорили что	1	1
49	так как его	1	1
50	чем иным как	1	1
51	мы не можем	2	1
52	и к другим	1	1
53	еще в году	1	1
54	мы живем в	1	1
55	по его мнению	1	1
56	что иное как	1	1
57	мы знаем что	1	1
58	останавливаться не будем	1	1
59	на этом пути	1	1
60	таким образом и	1	1
61	не что иное	1	1
62	и что он	1	1
63	друг с другом	3	1
64	быть не может	1	1
65	для того чтобы	1	1
66	на первый взгляд	2	1
67	мы увидим что	5	1
68	мы еще не	1	1
