N	2gram	Voloshinov_1	Mirosoze
1	может быть	13	30
2	не только	5	29
3	не может	13	28
4	и в	15	28
5	но и	4	25
6	а не	2	25
7	он не	4	24
8	в этом	13	20
9	не было	4	18
10	у него	3	17
11	не в	4	16
12	потому что	4	16
13	это –	9	16
14	в своей	9	15
15	в ней	5	15
16	человека и	6	14
17	он был	3	14
18	до конца	5	14
19	никогда не	7	14
20	и есть	2	14
21	в нем	4	13
22	человека в	3	13
23	и это	1	12
24	он –	2	12
25	и не	16	11
26	в самом	6	11
27	для него	5	11
28	прежде всего	11	10
29	и все	4	10
30	человек не	2	10
31	что в	6	10
32	и потому	8	10
33	в мире	1	10
34	что он	8	10
35	было бы	6	10
36	в своем	2	10
37	в его	9	9
38	и его	15	9
39	человек в	1	9
40	судьба человека	1	9
41	к человеку	1	9
42	но не	5	8
43	в глубине	2	8
44	в человеке	5	8
45	в котором	1	8
46	в себе	4	7
47	любви к	1	7
48	к нему	7	7
49	того что	2	7
50	нет ничего	1	7
51	но в	9	7
52	не был	1	7
53	быть может	1	7
54	в которой	1	6
55	должна быть	1	6
56	он сам	4	6
57	вместе с	4	6
58	в том	4	6
59	только в	6	6
60	в этой	5	6
61	и на	3	6
62	все в	1	6
63	все это	5	6
64	как и	6	5
65	если он	5	5
66	в самую	1	5
67	нет и	1	5
68	это не	2	5
69	у нас	3	5
70	мира и	1	5
71	все творчество	1	5
72	не могут	3	5
73	то что	10	5
74	– не	7	5
75	русской литературы	1	5
76	человек есть	1	4
77	и этот	1	4
78	не знает	3	4
79	всю жизнь	1	4
80	не к	1	4
81	точки зрения	13	4
82	увидим что	4	4
83	а в	6	4
84	и ницше	1	4
85	отношения к	2	4
86	человека но	1	4
87	в этих	2	4
88	за пределы	2	4
89	мог бы	1	4
90	смысле слова	2	4
91	к ней	2	4
92	один из	4	4
93	это и	1	4
94	человеческой личности	1	4
95	уже не	5	4
96	или к	1	4
97	в человеческой	1	4
98	тем что	1	4
99	то нет	1	4
100	что и	2	4
101	она не	2	4
102	не как	1	4
103	был еще	1	4
104	которых он	1	4
105	уже в	1	4
106	должен был	1	4
107	отношение к	7	4
108	и по	5	4
109	свободу и	1	4
110	на путях	1	3
111	и с	7	3
112	и вот	6	3
113	есть и	2	3
114	в него	2	3
115	когда человек	1	3
116	это есть	1	3
117	для них	3	3
118	учение о	2	3
119	– один	4	3
120	в жизни	5	3
121	человеке –	1	3
122	хотя бы	7	3
123	то есть	1	3
124	не так	1	3
125	бы и	2	3
126	одно из	3	3
127	этот процесс	4	3
128	его в	8	3
129	все его	2	3
130	в ее	4	3
131	что человек	1	3
132	мир в	2	3
133	особенно в	1	3
134	из глубины	1	3
135	к тому	4	3
136	этого мира	1	3
137	в момент	1	3
138	но если	2	3
139	ко всем	1	3
140	интерес к	1	3
141	только одно	1	3
142	мы увидим	4	3
143	социальной среды	3	3
144	человек –	1	3
145	с этим	6	3
146	должно быть	2	3
147	ничего не	2	3
148	– говорит	2	3
149	идей и	1	3
150	влечет к	2	3
151	на этом	5	3
152	будто бы	2	3
153	в мир	3	3
154	когда он	1	3
155	себя и	3	3
156	с собой	1	3
157	с его	8	3
158	о себе	2	3
159	себя в	2	3
160	он должен	2	3
161	– к	3	3
162	конечно не	3	3
163	так как	9	3
164	– все	4	3
165	природы в	1	3
166	том что	5	3
167	все эти	9	2
168	одним из	3	2
169	который и	1	2
170	любовь к	1	2
171	момент в	1	2
172	прежде чем	1	2
173	когда мы	1	2
174	по сравнению	1	2
175	все же	5	2
176	самого себя	2	2
177	бы в	2	2
178	него –	1	2
179	вопрос о	1	2
180	входит в	1	2
181	жизни и	5	2
182	и самый	1	2
183	от этого	1	2
184	его с	1	2
185	людей и	1	2
186	он хотел	3	2
187	в более	3	2
188	была еще	1	2
189	и для	2	2
190	к этим	2	2
191	отношению к	9	2
192	в этот	4	2
193	время как	1	2
194	о своих	3	2
195	на этот	1	2
196	а две	1	2
197	него и	1	2
198	сих пор	3	2
199	с ним	12	2
200	и во	1	2
201	с внутренней	1	2
202	бы не	1	2
203	до сих	3	2
204	человека с	2	2
205	в центре	3	2
206	того чтобы	2	2
207	в истории	3	2
208	тому чтобы	3	2
209	свою противоположность	1	2
210	на протяжении	5	2
211	в начале	1	2
212	жизни в	3	2
213	мир не	1	2
214	и от	1	2
215	мы еще	1	2
216	приводит к	2	2
217	он ни	1	2
218	высшей степени	2	2
219	душевной жизни	6	2
220	различие между	1	2
221	себе даже	1	2
222	по отношению	11	2
223	не остается	3	2
224	а как	1	2
225	как в	3	2
226	есть только	1	2
227	к учению	1	2
228	у всех	1	2
229	за собой	1	2
230	связана с	1	2
231	в высшей	2	2
232	в то	6	2
233	как он	1	2
234	не все	1	2
235	к этой	1	2
236	для того	1	2
237	у самого	2	2
238	оказывается что	1	2
239	связано с	1	2
240	сказать что	6	2
241	мир но	1	2
242	страдания и	1	2
243	в основе	3	2
244	он никогда	1	2
245	с их	3	2
246	по своему	1	2
247	человека как	1	2
248	человек может	2	2
249	человека –	3	2
250	человека к	2	2
251	он в	1	2
252	могут быть	6	2
253	не существует	3	2
254	чтобы не	2	2
255	мысли и	4	2
256	мы видим	1	2
257	и что	3	2
258	также и	1	2
259	и когда	1	2
260	и она	2	2
261	с новыми	1	2
262	истории и	1	2
263	в свой	2	2
264	для человеческой	1	2
265	в наше	1	2
266	должен быть	2	2
267	и к	7	2
268	и нет	1	2
269	бытия с	1	2
270	так называемый	4	2
271	о том	1	2
272	то время	1	2
273	в каком	3	2
274	и у	6	2
275	вообще не	1	2
276	чем в	1	2
277	быть не	1	2
278	этом пути	1	2
279	к этому	7	2
280	относится к	1	2
281	уже нет	1	2
282	пути и	1	2
283	как будто	1	2
284	под ним	1	2
285	себе и	1	2
286	в виду	1	2
287	о нем	1	2
288	века в	2	2
289	если бы	3	2
290	эти пути	1	2
291	и как	1	2
292	еще в	1	2
293	все что	9	2
294	он и	2	2
295	как бы	11	2
296	в свою	2	2
297	войти в	3	1
298	в свои	1	1
299	то мы	1	1
300	– лишь	2	1
301	– как	2	1
302	жизни а	1	1
303	не отражает	1	1
304	и обогатил	1	1
305	него все	1	1
306	– только	2	1
307	– одна	1	1
308	вытесняется в	1	1
309	миросозерцания и	1	1
