N	3gram	Medvedev_F_1	Otkroven
1	и в этом	2	2
2	с разных сторон	1	2
3	чем на западе	1	2
4	не может быть	5	2
5	как и все	2	2
6	но и в	1	2
7	смысле этого слова	3	1
8	по сравнению с	1	1
9	возможен лишь для	1	1
10	в строгом смысле	2	1
11	а вовсе не	2	1
12	прежде всего в	3	1
13	к ней не	1	1
14	в одном месте	1	1
15	и в том	1	1
16	строгом смысле этого	1	1
17	должен был бы	1	1
18	так и не	1	1
19	между этими двумя	1	1
20	и не может	2	1
21	во всяком случае	4	1
22	в этом отношении	1	1
23	в душе не	1	1
24	в том что	1	1
25	и заключается в	1	1
26	в первый период	1	1
27	и не в	2	1
28	в самой природе	1	1
29	в самом начале	1	1
30	вместо того чтобы	1	1
31	от того что	1	1
32	прежде всего и	1	1
