N	2gram	Nazirov_Tv_2	Mirosoze
1	у достоевского	30	42
2	может быть	8	30
3	не только	13	29
4	и в	20	28
5	не может	7	28
6	но и	8	25
7	а не	6	25
8	он не	3	24
9	о человеке	2	23
10	в этом	8	20
11	достоевского есть	1	19
12	не было	2	18
13	у него	6	17
14	не в	4	16
15	потому что	7	16
16	в своей	6	15
17	переходит в	1	15
18	человека и	3	14
19	и есть	2	14
20	он был	1	14
21	никогда не	11	14
22	творчество достоевского	4	13
23	человека в	3	13
24	в нем	3	13
25	и он	2	12
26	и достоевский	4	12
27	и это	3	12
28	в самом	3	11
29	для него	3	11
30	и не	9	11
31	из подполья	6	10
32	во имя	1	10
33	в творчестве	5	10
34	было бы	1	10
35	достоевского и	2	10
36	бога и	1	10
37	что в	7	10
38	в мире	5	10
39	прежде всего	8	10
40	что он	6	10
41	был бы	1	10
42	и потому	4	10
43	достоевского в	9	9
44	достоевский был	1	9
45	но он	1	9
46	и его	9	9
47	не есть	1	9
48	в его	10	9
49	человек в	1	9
50	зла и	1	8
51	в глубине	1	8
52	в котором	3	8
53	иван карамазов	7	8
54	но не	5	8
55	ивана карамазова	8	7
56	не был	1	7
57	менее всего	1	7
58	но в	4	7
59	в себе	3	7
60	быть может	3	7
61	в конце	6	7
62	любви к	3	7
63	подпольного человека	3	7
64	нет ничего	3	7
65	о достоевском	2	7
66	образ человека	2	7
67	и на	5	6
68	он сам	3	6
69	в которой	2	6
70	лишь в	1	6
71	в этой	5	6
72	ведет к	1	6
73	достоевский не	5	6
74	только в	2	6
75	подпольный человек	3	6
76	вместе с	3	6
77	все это	6	6
78	человек и	1	6
79	в том	8	6
80	великом инквизиторе	3	5
81	нет и	2	5
82	если он	5	5
83	это не	7	5
84	в самую	1	5
85	как и	6	5
86	достоевского нет	3	5
87	достоевский в	7	5
88	записок из	1	5
89	у нас	2	5
90	не могут	1	5
91	движении в	1	5
92	достоевского к	2	5
93	человека на	1	5
94	то что	3	5
95	и я	1	5
96	русской литературы	1	5
97	для достоевского	2	5
98	это и	1	4
99	xix века	7	4
100	отношение к	1	4
101	достоевского не	8	4
102	что достоевский	3	4
103	веру в	2	4
104	чем у	1	4
105	не к	1	4
106	и по	2	4
107	должен был	1	4
108	в них	1	4
109	в этих	1	4
110	в их	3	4
111	в которых	3	4
112	к ней	1	4
113	она не	1	4
114	мог бы	1	4
115	что и	1	4
116	в середине	1	4
117	значит что	1	4
118	один из	3	4
119	герои достоевского	4	4
120	человеческой личности	2	4
121	уже не	3	4
122	уже в	2	4
123	о великом	3	4
124	творчестве достоевского	4	4
125	а в	4	4
126	тем что	3	4
127	в любви	1	4
128	нет в	1	4
129	всю жизнь	1	4
130	жизнь идей	2	4
131	не знал	2	4
132	бунт против	1	4
133	с этой	3	4
134	от него	1	4
135	не знает	1	4
136	вряд ли	1	3
137	преступления и	2	3
138	не была	1	3
139	с его	1	3
140	к богу	1	3
141	с этим	1	3
142	когда он	4	3
143	в братьях	6	3
144	идей и	2	3
145	и еще	2	3
146	и вот	1	3
147	и с	8	3
148	то есть	5	3
149	его в	3	3
150	его личности	1	3
151	в жизни	1	3
152	для них	1	3
153	достоевский и	1	3
154	мир в	1	3
155	духовной жизни	1	3
156	не мог	1	3
157	достоевского но	3	3
158	том что	4	3
159	но если	2	3
160	не имеет	1	3
161	на путях	1	3
162	ничего не	4	3
163	в момент	1	3
164	к тому	1	3
165	сам достоевский	1	3
166	в ее	2	3
167	особенно в	2	3
168	с собой	1	3
169	и дьявола	1	3
170	себя в	2	3
171	не так	2	3
172	и их	1	3
173	так как	3	3
174	братьях карамазовых	7	3
175	должно быть	1	3
176	романов достоевского	5	3
177	для нас	1	3
178	будто бы	1	3
179	в свете	3	3
180	с новыми	1	2
181	одним из	3	2
182	в этот	2	2
183	связана с	1	2
184	не остается	1	2
185	проникает в	2	2
186	человека достоевский	1	2
187	высшей степени	1	2
188	века в	1	2
189	достоевского очень	1	2
190	достоевского мы	2	2
191	в виду	1	2
192	русская литература	1	2
193	литературы и	1	2
194	в преступлении	10	2
195	истории в	1	2
196	не все	1	2
197	по отношению	3	2
198	в истории	2	2
199	как в	4	2
200	все же	5	2
201	и как	1	2
202	героев достоевского	5	2
203	и к	1	2
204	за собой	4	2
205	по достоевскому	1	2
206	и у	2	2
207	личности но	1	2
208	все эти	4	2
209	бы не	2	2
210	приводит к	2	2
211	самого себя	1	2
212	с их	1	2
213	если бы	4	2
214	он ни	1	2
215	к миру	2	2
216	с ней	1	2
217	не значит	1	2
218	них нет	1	2
219	в россии	2	2
220	я бы	3	2
221	его романах	1	2
222	к черту	1	2
223	входит в	1	2
224	бытия но	1	2
225	и мы	3	2
226	в ином	1	2
227	достоевского как	8	2
228	романы достоевского	2	2
229	место в	3	2
230	мысли и	1	2
231	в дневнике	3	2
232	сих пор	3	2
233	идей у	1	2
234	он живет	1	2
235	был не	1	2
236	возвращается к	1	2
237	любовь к	1	2
238	и достоевского	1	2
239	что христос	1	2
240	на земле	1	2
241	в то	10	2
242	в идее	1	2
243	в основе	2	2
244	нашей эпохи	1	2
245	жизни идей	3	2
246	карамазова и	2	2
247	и ивана	1	2
248	достоевским в	2	2
249	личности в	2	2
250	могут быть	2	2
251	одно только	1	2
252	отличается от	1	2
253	его с	1	2
254	и хаос	1	2
255	в наше	2	2
256	должен быть	1	2
257	и от	4	2
258	то время	1	2
259	и что	2	2
260	живет в	1	2
261	еще в	1	2
262	с ним	3	2
263	обречен на	1	2
264	о нем	1	2
265	о своей	1	2
266	о том	5	2
267	может не	1	2
268	самому себе	1	2
269	самого достоевского	2	2
270	достоевского это	3	2
271	достоинство человека	1	2
272	и она	1	2
273	о своих	2	2
274	и мир	1	2
275	реалистический роман	2	2
276	мы видим	4	2
277	философии но	2	2
278	достоевский до	1	2
279	не стал	1	2
280	нет никаких	1	2
281	отношению к	3	2
282	как будто	1	2
283	в свой	2	2
284	во власти	1	2
285	в высшей	1	2
286	до сих	3	2
287	связано с	1	2
288	достоевского с	5	2
289	на этот	2	2
290	отрывается от	1	2
291	великого писателя	1	2
292	есть одно	1	2
293	всемирной истории	1	2
294	человека к	1	2
295	достоевского о	1	2
296	как бы	11	2
297	образ и	2	2
298	достоевского чем	1	2
299	в бесах	6	2
300	том смысле	1	2
301	и нет	1	2
302	в начале	3	2
303	его образ	1	2
304	и для	1	2
305	в бога	1	2
306	и человек	1	2
307	всего что	1	2
308	человека образ	1	2
309	своих героев	3	2
310	достоевского прежде	1	2
311	дневнике писателя	2	2
312	отношении к	1	2
313	жизни в	3	2
314	в свою	1	2
315	сказать что	1	2
316	свободой и	1	2
317	у которых	1	2
318	эти слова	1	2
319	понять его	1	2
320	к этому	3	2
321	когда достоевский	1	1
322	ту же	1	1
323	нем нет	1	1
324	повторяются в	1	1
325	и т	13	1
326	более глубокую	1	1
327	у гоголя	1	1
328	сердце его	1	1
329	начале xix	1	1
330	совершенно новый	1	1
331	он более	1	1
332	достоевского она	1	1
333	переход от	1	1
334	не порождает	1	1
335	и до	1	1
336	из всех	1	1
337	ней нет	1	1
338	бы уже	1	1
339	мы не	4	1
340	достоевский раскрывает	1	1
341	начинается с	2	1
342	и через	3	1
343	не вполне	1	1
344	я не	2	1
345	жизни как	1	1
346	то это	1	1
347	собой в	1	1
348	еще не	5	1
349	за это	1	1
350	во всех	1	1
351	не без	1	1
352	то мы	1	1
353	самом деле	2	1
354	образ христа	1	1
355	отказ от	1	1
356	всякий раз	1	1
357	к которой	1	1
358	и всякий	1	1
359	если в	1	1
360	спасет мир	1	1
361	это сказать	1	1
362	отличие от	2	1
363	достоевский из	1	1
364	что они	4	1
365	писатель в	2	1
366	и русское	1	1
367	в одной	3	1
368	опыта к	1	1
369	князя мышкина	16	1
370	средневекового человека	1	1
371	ней в	1	1
372	такова же	1	1
373	романах достоевского	13	1
374	это был	3	1
375	говорит что	1	1
376	отпадения от	1	1
377	его к	1	1
378	бы мир	1	1
379	писателя как	1	1
380	в противоположность	1	1
381	он дал	1	1
382	идей в	7	1
383	отказывается от	2	1
384	от бога	1	1
385	что же	1	1
386	на могиле	1	1
387	что ничего	1	1
388	роль в	2	1
389	во многих	2	1
390	но ведь	2	1
391	в записках	3	1
392	русское слово	1	1
393	это связано	1	1
394	записках из	3	1
395	кто бы	1	1
396	к героям	2	1
