N	3gram	Bakhtin_KF_1	Myslijsy
1	по отношению к	22	8
2	в том что	2	7
3	то что я	2	7
4	само по себе	1	5
5	не может быть	11	5
6	только тогда когда	1	4
7	и в этом	3	4
8	для того чтобы	1	4
9	то же самое	1	4
10	есть для меня	1	4
11	тем не менее	2	4
12	и то что	1	4
13	на то что	1	4
14	мы не можем	1	3
15	в то же	2	3
16	в том случае	1	3
17	когда мы говорим	1	3
18	потому что в	1	3
19	на самом деле	3	3
20	то же время	2	3
21	вместе с тем	1	3
22	с точки зрения	9	3
23	во всяком случае	1	3
24	не было и	1	2
25	тогда когда оно	1	2
26	в большинстве случаев	1	2
27	вопрос о том	2	2
28	и по отношению	1	2
29	равно как и	1	2
30	между тем как	3	2
31	хотя бы и	1	2
32	в том же	1	2
33	что и в	1	2
34	бы не было	1	2
35	один и тот	1	2
36	том что между	1	2
37	и как бы	1	2
38	если бы не	1	2
39	и тот же	1	2
40	в том смысле	1	2
41	тем что я	1	2
42	только в том	1	2
43	независимо от его	1	2
44	не в том	1	2
45	это не значит	1	2
46	думать что это	1	1
47	связанная с ним	1	1
48	но нет и	1	1
49	и мы получим	1	1
50	то есть что	1	1
51	во второй половине	1	1
52	нужно помнить что	1	1
53	и было бы	1	1
54	здесь мы имеем	2	1
55	бы он ни	2	1
56	конечно не в	1	1
57	было бы совершенно	1	1
58	до того что	1	1
59	и не в	1	1
60	со стороны его	1	1
61	а следовательно и	1	1
62	дело когда я	1	1
63	что может быть	1	1
64	потому только что	1	1
65	может быть и	1	1
66	не подлежит сомнению	1	1
67	отношению к нему	4	1
68	в себе в	1	1
69	смысле этого слова	1	1
70	к тому что	1	1
71	никогда не может	1	1
72	а не из	2	1
73	и того же	1	1
74	той или другой	1	1
75	до этого она	1	1
76	же самое что	1	1
77	он может быть	2	1
78	не в ее	1	1
79	он ни был	2	1
80	смысле можно говорить	1	1
81	и совершенно правильно	1	1
82	для меня в	2	1
83	но не могу	1	1
84	не была бы	1	1
85	и мысли но	1	1
86	в настоящее время	1	1
87	значение для нас	1	1
88	то-то и то-то	1	1
89	нет и не	1	1
90	что я с	1	1
91	здесь дело не	1	1
92	одного и того	1	1
93	дело не в	1	1
94	рядом с ними	1	1
95	не менее в	1	1
96	если не исключительно	1	1
97	только в этом	1	1
98	может быть только	7	1
99	оно могло бы	1	1
100	и та же	1	1
101	а все остальное	1	1
102	бы и с	1	1
103	не может стать	1	1
104	но сама она	1	1
105	не было бы	3	1
106	со всех сторон	1	1
107	это не будет	1	1
108	точки зрения той	1	1
109	для меня с	1	1
110	одна и та	1	1
111	если бы человек	1	1
112	подлежит сомнению но	1	1
113	ее можно только	1	1
114	случае мы имеем	1	1
115	как бы он	1	1
116	и говорить о	1	1
117	дело в том	1	1
118	быть не может	1	1
119	том случае когда	1	1
120	а не в	2	1
121	по отношению ко	4	1
122	как бы ни	1	1
123	том смысле в	1	1
124	только в нем	1	1
125	а не как	1	1
126	в свою очередь	1	1
127	то для меня	1	1
128	мы говорим о	1	1
129	не отличаются от	1	1
130	и не нужно	1	1
