N	3gram	Propp_Morf_1	Tvorches
1	и т д	39	11
2	по отношению к	4	3
3	до сих пор	1	3
4	не может быть	9	3
5	в таком случае	1	2
6	во всяком случае	2	2
7	могут быть поняты	1	2
8	с другой стороны	4	2
9	о том что	1	2
10	в том что	3	2
11	хотя и не	1	1
12	в своей известной	1	1
13	потому что в	1	1
14	можно говорить лишь	1	1
15	о том как	1	1
16	может быть определен	1	1
17	является одним из	1	1
18	не зная о	1	1
19	точно так же	1	1
20	в этой главе	1	1
21	и др мы	1	1
22	мы видим как	1	1
23	удобный момент для	1	1
24	в чем же	1	1
25	еще не все	1	1
26	не могут быть	2	1
27	в связи с	8	1
28	но как бы	1	1
29	это не значит	2	1
30	т д все	1	1
31	но это еще	1	1
32	ничего не зная	1	1
33	в третий раз	1	1
34	в то время	3	1
35	это еще не	1	1
36	так например в	1	1
37	мы не можем	1	1
38	не означает что	1	1
39	т д в	2	1
40	о характере этого	1	1
41	то что не	1	1
42	с самого начала	1	1
43	быть определен как	2	1
44	или во всяком	1	1
45	так же быть	1	1
46	но это не	1	1
47	не значит что	2	1
48	друг за другом	2	1
49	в высшей степени	1	1
50	как и в	2	1
