N	3gram	Berdyaev_M_2	RusskieA
1	в том что	2	18
2	для того чтобы	4	6
3	т е в	2	5
4	так же как	3	4
5	о том что	2	4
6	том что это	1	3
7	не может быть	8	3
8	подобно тому как	2	3
9	только тогда когда	1	3
10	что иное как	3	2
11	же как и	3	2
12	в своей книге	1	2
13	тому как в	1	2
14	не что иное	3	2
15	после того как	2	2
16	приводит нас к	1	2
17	том что в	1	1
18	для него не	1	1
19	это приводит нас	1	1
20	а между тем	1	1
21	потому что он	2	1
22	прежде всего как	1	1
23	потому что в	1	1
24	всем народам европы	1	1
25	но так как	1	1
26	может быть назван	2	1
27	и во многих	1	1
28	во многих других	1	1
29	а за ней	1	1
30	но и в	1	1
31	между тем как	1	1
32	а может быть	1	1
33	в этом отношении	1	1
34	но это не	2	1
35	у нас нет	1	1
36	может быть и	2	1
37	смысле этого слова	1	1
38	и в этом	3	1
39	на земле что	1	1
40	в землю и	1	1
41	жизни в этом	1	1
42	на то что	1	1
43	как и в	2	1
44	это и есть	3	1
45	в последний раз	1	1
