N	2gram	Propp_Russ_1	EvropaiE
1	и в	36	37
2	в пределах	1	25
3	точки зрения	3	23
4	что в	19	21
5	не только	22	18
6	с точки	3	17
7	в то	1	16
8	то же	3	15
9	в своем	3	14
10	но в	2	14
11	в качестве	3	14
12	но и	16	14
13	и не	6	14
14	в этом	12	12
15	в их	4	11
16	в области	3	11
17	в том	17	11
18	так и	7	10
19	отнюдь не	2	9
20	в себе	1	9
21	западной европы	3	9
22	только в	4	9
23	не может	4	9
24	так же	3	9
25	т е	17	9
26	думать что	3	8
27	было бы	1	8
28	к тому	4	8
29	между тем	7	8
30	также и	1	7
31	а также	3	7
32	того что	4	7
33	так как	15	7
34	как и	10	7
35	по своему	1	7
36	между прочим	2	7
37	может быть	8	6
38	и на	10	6
39	во всех	4	6
40	на то	1	6
41	то есть	3	6
42	том что	19	6
43	как бы	5	6
44	то что	6	6
45	же как	1	5
46	которую мы	1	5
47	но не	2	5
48	в россии	4	5
49	и по	8	5
50	но если	1	5
51	как мы	10	5
52	в виде	6	5
53	от этого	1	5
54	в частности	2	5
55	и потому	2	5
56	в течение	5	5
57	в той	1	5
58	мы не	6	4
59	вопрос о	1	4
60	но даже	2	4
61	в ней	2	4
62	независимо от	2	4
63	россии в	1	4
64	во многих	5	4
65	несмотря на	3	4
66	чем в	2	4
67	не имеет	6	4
68	к ней	2	4
69	можно сказать	1	4
70	не на	2	4
71	как это	8	4
72	западной европе	2	4
73	для нас	6	4
74	сказать что	1	4
75	из всех	1	3
76	на себя	2	3
77	того же	1	3
78	в общем	1	3
79	как в	5	3
80	когда он	2	3
81	и к	3	3
82	представляет собой	4	3
83	мы можем	2	3
84	не дает	1	3
85	большинстве случаев	2	3
86	и мы	1	3
87	и тем	1	3
88	в них	6	3
89	с тем	8	3
90	мы видели	1	3
91	можно считать	1	3
92	и некоторые	3	3
93	во второй	1	3
94	народ и	2	3
95	она в	3	3
96	в которых	5	3
97	дело в	1	3
98	из западной	1	3
99	потому что	10	3
100	с другом	1	3
101	можно думать	1	3
102	бы ни	1	3
103	можно было	1	3
104	о том	8	3
105	от них	3	3
106	место в	1	3
107	что и	7	3
108	всяком случае	1	3
109	из них	8	3
110	очевидно что	1	3
111	в прошлом	2	3
112	к ним	3	3
113	свой народ	2	3
114	тем что	4	3
115	этом отношении	1	3
116	в свою	3	3
117	говорит о	1	3
118	связано с	1	3
119	до г	2	3
120	там где	2	3
121	в данном	1	3
122	друг с	1	3
123	не является	1	3
124	и для	2	3
125	не более	1	3
126	в культурном	1	3
