N	2gram	Tiupa_Lite_2	Mirosoze
1	и в	19	46
2	в нем	3	22
3	у него	2	22
4	может быть	17	21
5	в этом	9	20
6	не только	8	18
7	и не	11	18
8	никогда не	3	18
9	для него	4	18
10	есть лишь	1	17
11	во имя	2	16
12	но и	10	15
13	не может	9	15
14	человека в	4	14
15	как и	10	13
16	ведет к	1	13
17	а не	20	13
18	друг друга	2	12
19	к человеку	1	12
20	прежде всего	4	12
21	потому что	2	12
22	и он	3	11
23	не было	2	11
24	но он	1	11
25	в ней	4	11
26	у нас	5	11
27	но в	2	10
28	в себе	6	10
29	он не	5	10
30	он был	1	9
31	не в	4	9
32	не знает	2	9
33	в своем	1	8
34	на земле	1	8
35	так как	3	8
36	переходит в	1	8
37	в любви	1	8
38	как бы	2	8
39	но это	3	8
40	в мире	9	7
41	как в	1	7
42	и к	2	7
43	в нашем	2	7
44	в этой	3	7
45	любви к	1	7
46	хотя бы	2	7
47	и потому	1	7
48	и для	3	7
49	что он	3	7
50	что это	1	6
51	в русской	4	6
52	революции и	1	6
53	не могу	2	6
54	он сам	1	6
55	так же	1	6
56	того что	5	6
57	жизни и	4	6
58	по преимуществу	2	5
59	то же	12	5
60	есть не	1	5
61	я не	5	5
62	в самом	1	5
63	и вот	1	5
64	в своей	1	5
65	в отношении	1	5
66	в конце	2	5
67	во всем	1	5
68	и его	3	5
69	к тому	1	5
70	это не	1	5
71	один из	4	5
72	в его	4	5
73	него нет	1	5
74	для того	2	5
75	то что	7	5
76	и все	1	5
77	на деле	1	4
78	в жизни	2	4
79	нет в	2	4
80	том что	7	4
81	жизнь и	1	4
82	тому что	1	4
83	не имеет	1	4
84	свободы и	1	4
85	того чтобы	1	4
86	только и	1	4
87	перед ним	2	4
88	так и	7	4
89	для этого	2	4
90	в русском	2	4
91	себя в	6	4
92	уже не	2	4
93	вопроса о	1	4
94	что и	2	4
95	в свою	1	4
96	они не	1	4
97	до конца	2	4
98	что в	4	4
99	все что	2	4
100	же как	2	3
101	это и	1	3
102	той же	2	3
103	начала в	1	3
104	и на	6	3
105	в чем	1	3
106	если есть	1	3
107	как он	2	3
108	в россии	2	3
109	не бывает	2	3
110	в каждом	2	3
111	и с	3	3
112	в глубине	1	3
113	его в	1	3
114	в них	2	3
115	он же	1	3
116	все равно	2	3
117	всю жизнь	1	3
118	не мог	1	3
119	этого необходимо	1	3
120	в такой	2	3
121	что было	2	3
122	не для	1	3
123	того как	1	3
124	и всегда	1	3
125	по своей	1	3
126	себя и	2	3
127	в образе	1	3
128	с ним	2	3
129	и перед	1	3
130	о том	2	3
131	не стоит	1	3
