N	3gram	Medvedev_V_1	RusskieA
1	в том что	5	18
2	в данном случае	1	6
3	для того чтобы	3	6
4	т е в	2	5
5	и т д	14	5
6	вместе с тем	3	4
7	так же как	1	4
8	о том что	3	4
9	мы видели что	3	4
10	не может быть	8	3
11	о том же	3	3
12	подобно тому как	2	3
13	только тогда когда	1	3
14	но она не	1	2
15	же как и	1	2
16	между тем это	1	2
17	в том чтобы	2	2
18	в этом и	2	2
19	бросается в глаза	1	2
20	в то время	1	2
21	после того как	1	2
22	по этому поводу	7	2
23	с одной стороны	2	2
24	в другом месте	2	1
25	а между тем	1	1
26	не может не	2	1
27	к этому же	1	1
28	иметь в виду	2	1
29	же говорит и	3	1
30	в виду что	1	1
31	более или менее	6	1
32	что один из	1	1
33	т е не	1	1
34	того или другого	1	1
35	в том же	1	1
36	о том как	3	1
37	состоял в том	1	1
38	но и в	1	1
39	в этом отношении	13	1
40	таким образом в	2	1
41	то что в	1	1
42	по аналогии с	1	1
43	а вместе с	1	1
44	можно было бы	2	1
45	более полное и	1	1
46	одна из них	1	1
47	бы значительно увеличить	1	1
48	человека а не	1	1
49	может быть и	1	1
50	может быть принято	1	1
51	т е из	1	1
52	в применении к	1	1
53	во всяком случае	1	1
54	этому поводу с	1	1
55	главным образом на	1	1
56	во всех этих	1	1
57	то время как	1	1
58	дело так будто	1	1
59	было бы значительно	1	1
60	с другой стороны	8	1
61	того момента когда	1	1
62	все то что	1	1
63	может быть принята	1	1
64	том же говорит	1	1
65	в свою очередь	1	1
66	один из них	1	1
67	может быть признана	1	1
68	ни одна из	1	1
69	из этих элементов	1	1
70	можно сказать что	4	1
71	совершенно очевидно что	1	1
72	вопрос о том	1	1
73	дело не в	1	1
74	по его мнению	1	1
75	во всех других	1	1
76	это и есть	3	1
