N	3gram	Ircho_Kome_3	Morfolog
1	и т д	1	47
2	в этом случае	2	9
3	в связи с	3	8
4	подобно тому как	1	5
5	наряду с этим	2	5
6	по отношению к	3	4
7	с точки зрения	3	4
8	с другой стороны	2	4
9	тем не менее	3	4
10	в первом случае	1	3
11	независимо от того	1	3
12	но все же	2	3
13	в обоих случаях	1	2
14	состоит в том	2	2
15	более или менее	1	2
16	в настоящее время	1	2
17	ни одной из	1	2
18	с просьбой о	1	2
19	то время как	2	2
20	с одной стороны	3	2
21	в то время	2	2
22	друг за другом	1	2
23	для того чтобы	6	2
24	в том что	9	2
25	таким образом что	1	1
26	к этому же	1	1
27	хотя и не	2	1
28	по собственному усмотрению	1	1
29	сам он не	1	1
30	с тем как	1	1
31	и по существу	1	1
32	до начала действия	1	1
33	о том как	3	1
34	как бы в	1	1
35	до сих пор	9	1
36	сих пор не	1	1
37	бы то ни	2	1
38	не зная о	1	1
39	а в качестве	1	1
40	так как там	1	1
41	на улицу и	1	1
42	к нему в	1	1
43	один из них	1	1
44	имеет ничего общего	1	1
45	в некоторых случаях	1	1
46	то что он	1	1
47	во всяком случае	3	1
48	из них не	1	1
49	но если бы	1	1
50	не имеет ничего	1	1
51	все это на	1	1
52	в третий раз	1	1
53	достигается тем что	1	1
54	то же время	4	1
55	т д см	1	1
56	далеко не всегда	1	1
57	мы имеем в	1	1
58	что его можно	1	1
59	о том что	4	1
60	в других случаях	1	1
61	с самого начала	4	1
62	в этих условиях	1	1
63	можно сказать что	1	1
64	на то что	1	1
65	в то же	4	1
66	к тому что	1	1
67	т е о	1	1
68	друг с другом	1	1
69	его т е	1	1
70	в сущности к	1	1
71	что и в	2	1
