N	3gram	Propp_Russ_1	Problemy
1	с точки зрения	3	9
2	в большинстве случаев	2	8
3	по отношению к	1	5
4	друг с другом	1	5
5	в отличие от	1	3
6	как мы увидим	5	3
7	как и в	1	3
8	а следовательно и	1	2
9	хотя и не	1	2
10	на себя внимание	1	2
11	и в других	4	2
12	можно было бы	1	2
13	на этот вопрос	1	2
14	в том что	15	2
15	ни в одном	1	2
16	о том что	4	2
17	о том же	1	2
18	можно сказать что	1	2
19	в одном из	1	2
20	в этих случаях	1	2
21	как мы уже	1	2
22	мы увидим что	1	2
23	для наших целей	2	2
24	иметь в виду	1	1
25	и наконец в	1	1
26	хотя они и	1	1
27	приводит его к	1	1
28	в этом случае	5	1
29	же как и	1	1
30	мы не будем	2	1
31	на самом же	1	1
32	в себе и	1	1
33	при этом не	1	1
34	может быть и	2	1
35	что мы имеем	1	1
36	его жизнь в	1	1
37	к другому и	1	1
38	так же как	1	1
39	в данном случае	1	1
40	все же не	2	1
41	в связи с	4	1
42	потому что она	1	1
43	проблем не может	1	1
44	в виду что	1	1
45	во всяком случае	1	1
46	же деле это	1	1
47	самом же деле	1	1
48	в собственном смысле	1	1
49	но и на	2	1
50	не только в	1	1
51	но все же	2	1
52	не будем останавливаться	2	1
53	как мы видим	1	1
54	как мы знаем	1	1
55	после того как	2	1
56	к тому что	4	1
57	одном из своих	1	1
58	никак не может	1	1
59	этого слова с	1	1
60	этом мы можем	1	1
