N	4gram	Losev_Vlad_1	Myshleni
1	заключается в том чтобы	1	3
2	мы уже видели что	1	2
3	дело в том что	4	1
4	а с другой стороны	1	1
5	указывает на то что	1	1
6	один и тот же	2	1
7	сам говорит что с	1	1
8	на то что он	1	1
9	с одной стороны а	1	1
10	бы то ни было	1	1
11	стороны а с другой	1	1
12	том что он не	1	1
13	он сам говорит что	1	1
14	и потому что как	1	1
15	и по существу дела	1	1
16	одной стороны а с	1	1
17	указанием на то что	1	1
18	то что он не	1	1
19	в том что в	2	1
20	на самом же деле	1	1
