N	3gram	Bakhtin_KF_1	FransuaR
1	то же время	2	6
2	в то же	2	6
3	но в то	1	4
4	на самом деле	3	3
5	не было ни	1	3
6	между жизнью и	1	3
7	для того чтобы	1	3
8	по отношению к	22	2
9	жизни и смерти	1	2
10	в значительной степени	1	2
11	не может быть	11	2
12	той или иной	2	2
13	может быть в	3	2
14	в том же	1	2
15	о нем не	1	1
16	смысле этого слова	1	1
17	дело здесь не	2	1
18	в виду и	1	1
19	на том что	1	1
20	до конца в	1	1
21	такова же и	1	1
22	нет и не	1	1
23	в основе своей	1	1
24	но только не	1	1
25	дело в том	1	1
26	в данном контексте	1	1
27	имеем в виду	2	1
28	в настоящее время	1	1
29	мы не найдем	1	1
30	имеют дело с	1	1
31	в средние века	1	1
32	может быть только	7	1
33	в нем и	3	1
34	с точки зрения	9	1
35	хотя бы и	1	1
36	бы то ни	2	1
37	вместо того чтобы	1	1
38	в этом тоне	1	1
39	не подлежит сомнению	1	1
40	может быть и	1	1
41	это может быть	1	1
42	может быть понято	1	1
43	бы и не	2	1
44	в первом случае	1	1
45	то ни было	2	1
46	рождение и смерть	1	1
47	и в этом	3	1
48	притом не только	1	1
49	приводит его в	1	1
50	во всех отношениях	2	1
51	областей культуры и	1	1
52	во всяком случае	1	1
53	и т.п но	1	1
54	само по себе	1	1
55	в его целом	10	1
56	своей причастности к	1	1
57	в целом не	1	1
58	во всех этих	2	1
59	было бы совершенно	1	1
60	между тем как	3	1
61	что может быть	1	1
62	на основе своей	1	1
63	в свою очередь	1	1
64	включает в себя	2	1
65	здесь вовсе не	1	1
66	в ее целом	2	1
67	но все эти	3	1
68	книги но и	1	1
69	его целом в	1	1
70	в том что	2	1
71	что и в	1	1
72	все это лишь	1	1
