N	3gram	Vygotskiy__6	Otkroven
1	для того чтобы	8	3
2	и в этом	1	2
3	не может быть	2	2
4	как и все	1	2
5	не могут быть	2	2
6	с тем что	2	2
7	сказать что они	1	2
8	смысле этого слова	1	1
9	самой мысли он	1	1
10	по сравнению с	14	1
11	в силу чего	4	1
12	потому что в	1	1
13	том что в	1	1
14	друг к другу	3	1
15	свое учение о	1	1
16	в самом деле	1	1
17	как бы в	1	1
18	но вопрос о	1	1
19	в совершенно ином	1	1
20	о том как	1	1
21	и все же	1	1
22	и не может	2	1
23	сам по себе	1	1
24	он должен был	1	1
25	после того как	1	1
26	в этом отношении	3	1
27	то что в	1	1
28	как это часто	1	1
29	в этот период	1	1
30	в том что	19	1
31	стоящего над ними	1	1
32	на то что	4	1
33	в силе и	1	1
34	бы он ни	1	1
35	и то что	2	1
36	он никогда не	1	1
37	друг с другом	5	1
38	в самом начале	4	1
39	вместо того чтобы	2	1
40	как и в	1	1
41	от того что	6	1
42	этой и в	1	1
