N	3gram	Propp_Morf_1	Psycholo
1	в том что	3	17
2	для того чтобы	2	13
3	с точки зрения	2	10
4	не может быть	9	8
5	совершенно ясно что	1	6
6	на то что	2	6
7	на самом деле	4	5
8	до сих пор	1	5
9	в этом отношении	1	5
10	том случае если	1	4
11	в том случае	1	4
12	в данном случае	1	4
13	тем не менее	4	4
14	о том что	1	4
15	том что он	1	3
16	точно так же	1	3
17	в то время	3	3
18	что и в	1	3
19	состоит в том	2	2
20	но так как	1	2
21	это было бы	1	2
22	подобно тому как	5	2
23	в том порядке	1	2
24	как и в	2	2
25	то время как	3	2
26	может быть дано	1	2
27	все более и	1	2
28	бы то ни	3	2
29	во всяком случае	2	2
30	и таким образом	2	2
31	это значит что	1	2
32	с другой стороны	4	2
33	более и более	1	2
34	к тому что	3	2
35	мы видим что	9	2
36	как раз обратное	1	2
37	и т д	39	2
38	и может быть	1	1
39	указанием на то	1	1
40	которые не могут	1	1
41	по существу и	1	1
42	в чем же	1	1
43	то ни стало	1	1
44	может быть сделано	1	1
45	то это значит	1	1
46	потому что в	1	1
47	мы не сумеем	2	1
48	мы опять имеем	1	1
49	в глаза что	1	1
50	и даже не	1	1
51	какого бы то	1	1
52	а не по	1	1
53	того или другого	1	1
54	о том как	1	1
55	в этом случае	8	1
56	что же касается	1	1
57	и там где	1	1
58	то прежде всего	1	1
59	во что бы	1	1
60	следующим образом если	1	1
61	между тем в	1	1
62	в таком случае	1	1
63	должны рассматриваться как	1	1
64	что далеко не	1	1
65	и в других	1	1
66	тем что она	1	1
67	в противном случае	1	1
68	в наши дни	1	1
69	они все же	1	1
70	и тем не	1	1
71	одно и то	1	1
72	порядке в каком	1	1
73	что бы то	1	1
74	ясно что и	1	1
75	то ни было	2	1
76	приводит к тому	1	1
77	здесь мы имеем	1	1
78	с одной стороны	1	1
79	с другими формами	1	1
80	и то же	1	1
81	если мы не	3	1
82	не могут быть	2	1
83	т д с	1	1
84	в одном случае	1	1
85	в связи с	8	1
86	которые могут быть	1	1
87	вместо того чтобы	1	1
88	бросается в глаза	1	1
89	до наших дней	2	1
90	друг с другом	1	1
91	более или менее	2	1
92	с тем как	1	1
93	а и в	1	1
94	к тому или	1	1
95	в этом и	1	1
96	мы имеем в	1	1
97	на этом основании	1	1
98	связи с этим	4	1
99	они и в	1	1
100	и что следовательно	1	1
101	с того что	2	1
102	с самого начала	1	1
103	то же с	1	1
104	том порядке в	1	1
105	можно сказать что	1	1
106	он может быть	2	1
107	в другом случае	1	1
108	после того как	1	1
109	не потому что	1	1
110	не значит что	2	1
111	в первом случае	3	1
112	может быть объяснено	1	1
113	не имеет ничего	1	1
114	в высшей степени	1	1
115	ясно что это	1	1
116	каким способом они	1	1
117	мы увидим что	1	1
