N	2gram	Bakhtin_Pr_5	KulturaY
1	в том	5	30
2	и в	35	24
3	потому что	8	23
4	том что	3	21
5	что в	6	17
6	того чтобы	1	17
7	для того	1	16
8	и пр	1	15
9	было бы	3	15
10	точки зрения	7	14
11	в этом	14	14
12	может быть	14	13
13	все же	8	12
14	таким образом	7	12
15	в его	21	12
16	и не	27	12
17	не в	10	11
18	только в	6	11
19	вовсе не	7	10
20	хотя бы	2	10
21	в самом	6	10
22	не только	10	10
23	прежде всего	12	9
24	отношению к	7	9
25	самом деле	10	9
26	того что	3	9
27	то что	10	9
28	с точки	2	9
29	так как	4	9
30	если бы	1	9
31	о том	2	9
32	как раз	4	8
33	то же	15	8
34	по отношению	6	8
35	тем что	4	8
36	уже не	3	8
37	а не	4	8
38	бы в	4	7
39	не может	18	7
40	связи с	1	7
41	вместе с	2	7
42	это не	3	7
43	в качестве	1	7
44	в них	4	7
45	с другой	4	7
46	так и	8	7
47	не менее	2	7
48	как бы	31	7
49	все эти	3	6
50	в которой	2	6
51	на себе	1	6
52	при этом	2	6
53	все это	14	6
54	что же	7	6
55	но и	14	6
56	зависимости от	1	6
57	что такое	1	6
58	другой стороны	3	6
59	можно было	2	6
60	не случайно	2	6
61	в ней	2	6
62	в которых	2	6
63	что он	24	6
64	и с	12	5
65	во всяком	4	5
66	и его	14	5
67	еще и	1	5
68	крайней мере	1	5
69	что это	4	5
70	с ним	7	5
71	а в	7	5
72	еще не	7	5
73	но не	6	5
74	в той	4	5
75	между тем	4	5
76	например в	2	5
77	что не	4	5
78	к тому	6	5
79	но уже	2	5
80	всяком случае	4	5
81	в виду	3	5
82	слово это	1	5
83	по крайней	1	5
84	так сказать	2	5
85	рядом с	4	5
86	этом отношении	1	5
87	с тем	3	5
88	и что	6	5
89	в результате	1	5
90	не просто	2	5
91	есть в	1	4
92	из области	1	4
93	того же	1	4
94	что они	6	4
95	сих пор	1	4
96	стоит в	1	4
97	в нем	16	4
98	там где	7	4
99	так что	5	4
100	того или	1	4
101	в таких	1	4
102	что и	3	4
103	в этих	2	4
104	до сих	1	4
105	как в	5	4
106	в самой	1	4
107	же в	1	4
108	это и	3	4
109	в целом	3	4
110	не на	1	4
111	с этим	3	4
112	один из	1	4
113	и потому	1	4
114	тем не	1	4
115	что эти	1	4
116	с ними	5	4
117	так же	7	4
118	разумеется не	1	4
119	слова и	11	4
120	и на	6	4
121	роль в	1	4
122	же касается	1	4
123	с его	7	4
124	речи в	2	4
125	к себе	18	4
126	из них	3	4
127	в пределах	11	4
128	в данном	1	4
129	в себе	5	3
130	на его	4	3
131	в особенности	1	3
132	можно сказать	1	3
133	для этого	2	3
134	как на	1	3
135	себе в	1	3
136	это слово	4	3
137	этого слова	5	3
138	нуждается в	3	3
139	есть лишь	1	3
140	этом смысле	3	3
141	даже в	5	3
142	к которому	1	3
143	нисколько не	1	3
144	с большим	1	3
145	в их	1	3
146	и он	2	3
147	в одном	6	3
148	если не	1	3
149	его к	3	3
150	смысле этого	2	3
151	что слово	1	3
152	в сущности	14	3
153	мы увидим	2	3
154	он есть	2	3
155	должно быть	3	3
156	оно не	1	3
157	том как	1	3
158	а с	3	3
159	свою очередь	1	3
160	в первом	2	3
161	и даже	5	3
162	хотя и	2	3
163	под влиянием	3	3
164	даже и	3	3
165	той же	2	3
166	то это	1	3
167	и может	1	3
168	что так	1	3
169	в котором	3	3
170	со словом	3	3
171	в этой	1	3
172	когда он	3	3
173	тому что	2	3
174	и если	1	3
175	несколько слов	1	3
176	в общем	3	3
177	здесь не	1	3
178	меня и	1	3
179	и эти	1	3
180	слова как	1	3
181	борьба за	1	3
182	и то	5	3
183	что оно	2	3
184	в г	1	3
185	уже в	3	3
186	или иной	4	3
187	уже и	2	3
188	сводится к	3	3
189	в речи	2	3
190	в своем	2	3
191	в свою	1	3
192	не мог	3	2
193	одним из	1	2
194	любовь к	1	2
195	на более	1	2
196	один пример	1	2
197	но с	1	2
198	и того	2	2
199	свой предмет	2	2
200	чтобы в	1	2
201	что его	2	2
202	в свое	1	2
203	же время	10	2
204	все те	1	2
205	этого не	3	2
206	как и	18	2
207	бы на	1	2
208	ни одного	9	2
209	нашей современности	1	2
210	и для	8	2
211	лишь как	1	2
212	на этот	2	2
213	себя самого	7	2
214	здесь как	1	2
215	а то	1	2
216	и все	15	2
217	был в	1	2
218	в стороне	1	2
219	случаях когда	1	2
220	свое время	1	2
221	иначе как	1	2
222	было в	2	2
223	увидим что	2	2
224	когда мы	1	2
225	в большинстве	2	2
226	он не	13	2
227	в своей	4	2
228	по себе	4	2
229	слово с	6	2
230	тот же	4	2
231	ли в	1	2
232	бы уже	4	2
233	же есть	1	2
234	но все	4	2
235	том и	1	2
236	мы наблюдаем	1	2
237	и именно	1	2
238	а именно	1	2
239	одного и	1	2
240	или поздно	1	2
241	превращается в	1	2
242	с этой	2	2
243	слов о	1	2
244	что касается	1	2
245	но вот	1	2
246	между ними	1	2
247	раз к	1	2
248	вопрос о	2	2
249	и более	1	2
250	в сторону	2	2
251	что их	1	2
252	рано или	1	2
253	на самом	9	2
254	к своему	5	2
255	никогда не	4	2
256	что с	2	2
257	этом случае	1	2
258	его так	1	2
259	смысле и	1	2
260	больше всего	1	2
261	в силах	2	2
262	то и	1	2
263	любви к	1	2
264	что я	13	2
265	лишь в	7	2
266	или в	2	2
267	и мы	1	2
268	в то	11	2
269	не все	1	2
270	во многих	1	2
271	конечно не	2	2
272	как таковой	1	2
273	ни в	2	2
274	ничего не	3	2
275	в слове	6	2
276	и мысли	3	2
277	в последнем	2	2
278	но ведь	2	2
279	это было	2	2
280	что все	2	2
281	в каждом	6	2
282	же и	4	2
283	как например	1	2
284	а во-вторых	1	2
285	очень много	1	2
286	иной раз	1	2
287	бы и	2	2
288	по преимуществу	1	2
289	том же	1	2
290	же из	1	2
291	в москве	1	2
292	не знаю	2	2
293	могли бы	1	2
294	не могут	1	2
295	от себя	5	2
296	доказать что	1	2
297	ли это	2	2
298	ними и	1	2
299	даже для	1	2
300	даже так	1	2
301	но в	19	2
302	по своим	1	2
303	тем более	1	2
304	я не	8	2
305	меньше всего	1	2
306	и говорит	3	2
307	перед вами	3	2
308	о чем	1	2
309	все равно	2	2
310	здесь только	1	2
311	и при	1	2
312	и должно	1	2
313	слов в	3	2
314	как я	1	2
315	быть в	2	2
316	до конца	4	2
317	никак не	1	2
318	не является	1	2
319	роли в	1	2
320	так например	1	2
321	чтобы дать	1	2
322	при том	1	2
323	себе и	7	2
324	если б	3	2
325	именно поэтому	1	2
326	и было	1	2
327	о нем	2	2
328	еще один	2	2
329	и как	2	2
330	из письма	2	2
331	во втором	1	2
332	перед которой	1	1
333	она и	1	1
334	в применении	1	1
335	i в	1	1
336	до крайности	2	1
337	сына спровадил	1	1
338	не сказал	1	1
339	каждый из	2	1
340	момент в	1	1
341	может и	1	1
342	и этот	2	1
343	главным образом	1	1
344	этот раз	2	1
345	найдем ни	1	1
346	не видел	1	1
347	и иначе	1	1
348	а вот	1	1
349	и позволяет	1	1
350	говорит и	1	1
351	не знает	6	1
352	бы он	2	1
353	еще до	2	1
354	можно и	1	1
355	в форме	3	1
356	выражение и	1	1
357	и вместе	1	1
358	самого себя	1	1
359	к той	1	1
360	их с	1	1
361	и вот	4	1
