N	3gram	Voloshinov_1	Analitik
1	в том что	4	7
2	по отношению к	11	7
3	с другой стороны	2	5
4	о том что	1	5
5	мы имеем дело	1	4
6	по крайней мере	1	4
7	в свою очередь	1	4
8	как и в	1	4
9	до известной степени	2	3
10	в русской литературе	1	3
11	в данном случае	2	3
12	то же время	1	3
13	в то же	1	3
14	к тому же	1	3
15	в этом отношении	1	3
16	дело в том	4	2
17	подобно тому как	1	2
18	с точки зрения	2	2
19	в значительной степени	1	2
20	с одной стороны	2	2
21	сама по себе	1	2
22	тем не менее	3	2
23	во всяком случае	1	2
24	в конечном счете	1	2
25	и прежде всего	1	2
26	можно сказать что	5	2
27	а между тем	1	1
28	уже не может	1	1
29	на самом деле	2	1
30	в самом деле	1	1
31	в этом смысле	1	1
32	герой нашего времени	1	1
33	как если бы	4	1
34	до сих пор	3	1
35	в зависимости от	2	1
36	между тем как	1	1
37	в большинстве своем	1	1
38	и здесь мы	1	1
39	в основе своей	1	1
40	со всех сторон	1	1
41	позицию по отношению	1	1
42	случае мы имеем	1	1
43	этих моментов в	1	1
44	на передний план	1	1
45	сам по себе	1	1
46	далеко не всегда	1	1
47	имеем дело с	1	1
48	внутренней и внешней	1	1
49	один и тот	1	1
50	не может быть	7	1
51	можно с уверенностью	1	1
52	отнюдь не является	1	1
53	как это бывает	1	1
54	не должно быть	1	1
55	между тем это	1	1
56	с этой стороны	2	1
57	мы обратимся к	1	1
58	они как бы	1	1
59	автору и его	1	1
60	и тот же	1	1
