N	2gram	Tiupa_Anal_3	Tragedij
1	и в	18	18
2	в романе	2	10
3	в году	3	9
4	в этом	14	9
5	не только	22	8
6	он сам	1	7
7	и на	4	7
8	может быть	9	7
9	как бы	10	7
10	и не	12	7
11	ивана петровича	10	6
12	но в	2	6
13	и его	13	6
14	же время	3	6
15	что он	4	6
16	у него	1	6
17	то же	3	5
18	все же	4	5
19	это не	2	5
20	как и	14	5
21	несмотря на	2	5
22	в то	3	5
23	в дальнейшем	2	5
24	так и	14	5
25	не может	2	5
26	к жизни	3	5
27	я не	1	4
28	еще не	6	4
29	в себе	2	4
30	в целом	3	4
31	в этой	6	4
32	в нем	2	4
33	об этом	2	4
34	том что	12	4
35	но и	13	4
36	и даже	8	4
37	прежде всего	5	4
38	но это	1	4
39	все это	3	4
40	что в	9	4
41	и все	2	4
42	то что	2	4
43	в мире	5	3
44	и он	2	3
45	своего рода	8	3
46	отнюдь не	4	3
47	как в	3	3
48	в своем	4	3
49	и как	4	3
50	все эти	2	3
51	при этом	11	3
52	то есть	10	3
53	должно быть	1	3
54	тем самым	4	3
55	о чем	4	3
56	в поле	1	3
57	своего отца	1	3
58	с ее	3	3
59	и сам	4	3
60	мог бы	1	3
61	жизнь и	3	3
62	с ним	1	3
63	в его	7	3
64	один из	2	3
65	уже в	3	3
66	для него	6	3
67	в конце	5	3
68	как будто	1	3
69	иван петрович	1	3
70	как это	3	3
71	в первом	2	2
72	из самых	1	2
73	и до	1	2
74	никогда не	5	2
75	он был	1	2
76	столь же	4	2
77	с его	8	2
78	отношение к	1	2
79	отличие от	2	2
80	так что	1	2
81	как говорит	3	2
82	перед нами	4	2
83	говорит что	1	2
84	имеет в	1	2
85	в самом	5	2
86	бы и	2	2
87	в записках	1	2
88	он не	6	2
89	что она	2	2
90	его в	3	2
91	в глазах	2	2
92	отца и	1	2
93	нет в	1	2
94	с тем	2	2
95	поведение в	2	2
96	не мог	2	2
97	любви и	1	2
98	в ходе	1	2
99	в отличие	2	2
100	вопрос о	1	2
101	одном из	1	2
102	не в	6	2
103	отцом и	1	2
104	но они	2	2
105	одна из	2	2
106	не могут	1	2
107	его за	2	2
108	он и	3	2
109	к тому	6	2
110	в ее	3	2
111	данном случае	3	2
112	не за	1	2
113	как у	1	2
114	ничего не	3	2
115	лицо его	2	2
116	и здесь	2	2
117	о том	6	2
118	в глаза	2	2
119	что и	5	2
120	в том	9	2
121	который в	3	2
122	и ее	2	2
123	человеческой личности	1	2
124	уже не	5	2
125	в одном	4	2
126	не случайно	8	2
127	на меня	2	2
128	тем что	2	2
129	и ненавистью	1	2
130	чем он	1	2
131	в самую	1	2
132	только к	2	2
133	говорит о	2	2
134	но особенно	1	2
135	в данном	4	2
136	о его	2	2
137	это уже	1	2
138	от всего	1	2
139	потому что	1	2
140	личности и	2	2
141	в частности	12	2
142	по поводу	3	2
143	во сне	3	2
144	в таком	1	2
145	я и	3	1
146	а между	1	1
147	также что	1	1
148	например в	2	1
149	человека и	1	1
150	сам по	1	1
151	и др	1	1
152	самом деле	2	1
153	это и	2	1
154	и есть	1	1
155	на две	1	1
156	той же	5	1
157	возвращения из	2	1
158	собой как	1	1
159	что уже	1	1
160	в становлении	2	1
161	и гордости	1	1
162	на себя	2	1
163	по определению	1	1
164	ему в	1	1
165	не способен	1	1
166	в ней	2	1
167	встречается в	1	1
168	представляет собой	5	1
169	между собой	1	1
170	позицию по	1	1
171	во всех	2	1
172	но не	7	1
173	но как	3	1
174	слова были	1	1
175	в противовес	2	1
176	свою жизнь	2	1
177	с отцом	1	1
178	пальцем на	1	1
179	тогда как	20	1
180	за пределы	1	1
181	самого рассказчика	1	1
182	в истории	1	1
183	своей и	1	1
184	между отцом	1	1
185	дистанция между	2	1
186	мысль о	3	1
187	напомним что	1	1
188	силе и	1	1
189	и хотя	1	1
190	то в	2	1
191	со своей	8	1
192	с творческой	1	1
193	сливается с	1	1
194	последняя фраза	1	1
195	бы не	1	1
196	за себя	1	1
197	право на	1	1
198	это тот	1	1
199	же слова	1	1
200	не могла	2	1
201	жизни ее	1	1
202	так сказать	2	1
203	пушкина и	2	1
204	которой не	1	1
205	роли в	3	1
206	и еще	1	1
207	чем у	1	1
208	не как	2	1
209	стороне его	1	1
210	этом мире	1	1
