N	3gram	Bakhtin_fo_2	Sotsiolo
1	только в этом	1	2
2	в том что	3	2
3	в конце концов	1	2
4	но только в	1	1
5	конечно не в	1	1
6	и в этом	3	1
7	не может не	1	1
8	то что в	1	1
9	то же самое	2	1
10	как то что	1	1
11	о том как	3	1
12	именно в том	1	1
13	тем более не	1	1
14	не было бы	2	1
15	друг от друга	2	1
16	в то же	4	1
17	это вовсе не	1	1
18	выходит за пределы	1	1
19	и только для	1	1
20	в связи с	7	1
21	на первый план	2	1
22	не выходит за	1	1
23	то же время	4	1
24	и никак не	1	1
25	именно на этот	1	1
26	и наконец в	1	1
27	и в то	3	1
28	с одной стороны	1	1
29	бы он ни	1	1
