N	2gram	Tiupa_Disk_2	Sovremen
1	не может	9	17
2	может быть	16	12
3	точки зрения	4	12
4	таким образом	1	11
5	мы не	1	9
6	в этом	16	7
7	и в	16	7
8	ничего не	1	6
9	как и	16	6
10	и не	15	6
11	в результате	2	6
12	и наконец	3	5
13	все эти	3	5
14	что же	2	5
15	прежде всего	7	5
16	с точки	2	5
17	в условиях	1	5
18	вопрос о	1	4
19	в том	8	4
20	в целом	2	4
21	из них	3	4
22	же это	1	4
23	не только	10	4
24	как бы	4	4
25	вместе с	2	4
26	это не	3	4
27	их в	2	4
28	а в	2	4
29	жизни и	3	4
30	в первом	1	3
31	с самого	1	3
32	на две	1	3
33	то же	6	3
34	и т.д	1	3
35	может не	1	3
36	отнюдь не	6	3
37	все же	6	3
38	еще не	6	3
39	но в	11	3
40	в этой	4	3
41	в себе	19	3
42	в одном	4	3
43	в нем	7	3
44	при этом	17	3
45	из двух	3	3
46	а не	14	3
47	не в	3	3
48	все это	2	3
49	самого начала	1	3
50	не подлежит	2	3
51	одна из	1	3
52	и все	3	3
53	отличается от	1	3
54	в области	2	3
55	и есть	1	2
56	приводит к	3	2
57	роль в	4	2
58	той же	2	2
59	времени и	2	2
60	на этом	1	2
61	и даже	1	2
62	говорить о	2	2
63	и что	1	2
64	на их	1	2
65	и во	1	2
66	самом деле	1	2
67	в его	3	2
68	с совершенно	1	2
69	может иметь	2	2
70	быть и	1	2
71	некоторое время	1	2
72	в самом	1	2
73	к чему	1	2
74	в которой	1	2
75	в нашем	1	2
76	из этих	3	2
77	с одной	4	2
78	и пространства	1	2
79	ни одна	1	2
80	и они	1	2
81	уже не	3	2
82	так сказать	1	2
83	тем не	1	2
84	всяком случае	1	2
85	принципиально не	1	2
86	отличие от	12	2
87	но все	1	2
88	то ни	1	2
89	или иной	3	2
90	в некоторых	1	2
91	на этот	1	2
92	первые два	1	2
93	такой же	2	2
94	он должен	1	2
95	из которых	1	2
96	в отличие	12	2
97	такого рода	9	2
98	не менее	7	2
99	можно назвать	4	2
100	и именно	1	2
101	не знаем	1	2
102	в третьем	1	2
103	еще более	1	2
104	не дает	1	2
105	не могут	1	2
106	могут быть	3	2
107	что в	5	2
108	во всяком	1	2
109	должен быть	1	1
110	и это	2	1
111	можно говорить	1	1
112	для этих	1	1
113	значении в	1	1
114	потом и	2	1
115	совпадают с	1	1
116	с ее	2	1
117	это и	1	1
118	почему и	1	1
119	необходимости и	1	1
120	характерное для	1	1
121	жизни где	1	1
122	отношению к	4	1
123	так в	1	1
124	по преимуществу	2	1
125	и до	1	1
126	не имеют	1	1
127	между ним	1	1
128	в мире	11	1
129	по аналогии	1	1
130	и могут	1	1
131	есть не	1	1
132	в споре	1	1
133	мы имеем	2	1
134	и само	1	1
135	же как	2	1
136	еще в	3	1
137	мы в	1	1
138	же мере	1	1
139	поэтому в	1	1
140	с человеком	1	1
141	и ни	1	1
142	и должно	1	1
143	того же	2	1
144	о том	4	1
145	в ней	2	1
146	не соответствует	1	1
147	жизни т.е	1	1
148	одного из	4	1
149	аналогии с	1	1
150	он сам	1	1
151	всей ситуации	1	1
152	же время	5	1
