1	с точки зрения	3	5
2	по отношению к	1	3
3	что иное как	2	2
4	не что иное	2	2
5	ничего общего с	1	2
6	в том что	15	2
7	и наконец в	1	2
8	в данном случае	1	2
9	и один из	1	1
10	к тому что	4	1
11	и как бы	1	1
12	в виду что	1	1
13	в отличие от	1	1
14	эту точку зрения	1	1
15	тем не менее	3	1
16	может быть и	2	1
17	в связи с	4	1
18	но тем не	2	1
19	только одно из	1	1
20	в тех случаях	1	1
21	том что в	6	1
22	можно было бы	1	1
23	в этом отношении	1	1
24	с г в	2	1
25	состоит в том	8	1
26	несмотря на все	1	1
27	в собственном смысле	1	1
28	том основании что	1	1
29	ничего общего не	1	1
30	можно говорить о	1	1
31	потому что они	1	1
32	на том основании	1	1
33	что в этом	2	1
34	так же как	1	1
35	на самом деле	1	1
36	подобно тому как	1	1
37	мы не можем	3	1
38	что в основе	1	1
39	на то что	1	1
40	как и в	1	1
41	не только на	2	1
42	только потому что	1	1
43	иметь в виду	1	1
44	тех случаях когда	1	1
