N	3gram	Vinokur_St_1	OGranits
1	с точки зрения	8	5
2	не может быть	5	4
3	по отношению к	3	3
4	в г в	1	2
5	в самом деле	5	2
6	в зависимости от	1	2
7	в данном случае	6	2
8	с одной стороны	2	2
9	с другой стороны	6	2
10	того или иного	4	2
11	ничего общего с	3	2
12	вопросы связанные с	2	2
13	в том что	17	2
14	в другом месте	1	1
15	том что в	3	1
16	что ведь и	1	1
17	истории литературы такой	1	1
18	само собой разумеется	1	1
19	во всей полноте	1	1
20	этот разрыв между	1	1
21	а вовсе не	1	1
22	в которых он	1	1
23	на самом деле	6	1
24	выйти за пределы	1	1
25	должно было бы	1	1
26	случае и в	1	1
27	и не может	1	1
28	существует лишь в	1	1
29	каждом отдельном случае	1	1
30	только то что	1	1
31	в этом отношении	7	1
32	то что в	2	1
33	нужно сказать что	4	1
34	можно было бы	8	1
35	может быть и	2	1
36	и в области	4	1
37	то или иное	3	1
38	ту или иную	1	1
39	в своей статье	4	1
40	в узком смысле	1	1
41	для того чтобы	10	1
42	так же как	3	1
43	если бы мы	2	1
44	а также и	2	1
45	быть и речи	1	1
46	тем не менее	2	1
47	чуть ли не	2	1
48	но столь же	1	1
49	то же время	4	1
50	собой разумеется что	1	1
51	она ни была	1	1
52	хотя бы в	1	1
53	те или иные	1	1
54	и никогда не	1	1
55	но в то	2	1
56	на то что	4	1
57	хотя бы несколько	1	1
58	но не менее	1	1
59	здесь и там	1	1
60	в то же	4	1
61	в каждом отдельном	1	1
62	к тому что	1	1
63	как о системе	1	1
64	стр и в	1	1
65	как и в	2	1
