N	3gram	Bakhtin_sl_2	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	в связи с	2	3
4	он не только	1	2
5	с точки зрения	3	2
6	лишнего человека в	1	2
7	но в то	3	2
8	не может быть	15	2
9	в том что	4	2
10	а следовательно и	1	1
11	далеко не все	1	1
12	же время и	1	1
13	гоголя и достоевского	1	1
14	на первый план	1	1
15	до сих пор	2	1
16	в мировой литературе	2	1
17	и не может	1	1
18	а также в	1	1
19	в той же	1	1
20	в этом отношении	3	1
21	как он сам	1	1
22	может быть и	2	1
23	и в то	1	1
24	все же он	1	1
25	но это как	1	1
26	не только как	1	1
27	во всяком случае	2	1
28	с другой стороны	1	1
29	тем не менее	1	1
30	что как раз	1	1
31	в свою очередь	2	1
32	о том что	1	1
33	не только не	1	1
34	но в этом	1	1
35	не с точки	1	1
36	на то что	1	1
37	для нас оно	1	1
38	речь идет о	1	1
