N	3gram	Tiupa_Hudo_1	Problema
1	о том что	1	9
2	с точки зрения	3	8
3	в том что	7	8
4	в связи с	1	7
5	тем не менее	3	5
6	с другой стороны	5	5
7	по крайней мере	1	4
8	что иное как	1	3
9	в настоящее время	1	3
10	в этом смысле	3	3
11	точно так же	1	3
12	с одной стороны	2	3
13	а с другой	2	3
14	в то время	1	3
15	в русской литературе	2	3
16	можно сказать что	3	3
17	не что иное	1	3
18	в сравнении с	1	3
19	по отношению к	9	2
20	в том числе	2	2
21	том что он	1	2
22	в таком случае	1	2
23	бы то ни	1	2
24	не может быть	3	2
25	тех или иных	2	2
26	для того чтобы	2	2
27	в самой себе	1	1
28	то есть как	1	1
29	в области художественного	1	1
30	для искусства в	1	1
31	в себе самом	1	1
32	точки зрения в	1	1
33	так и его	1	1
34	одной из своих	1	1
35	в одной из	1	1
36	не было и	1	1
37	другой стороны не	1	1
38	из тех или	1	1
39	в нем по	1	1
40	не входит в	1	1
41	виду не только	3	1
42	том числе и	1	1
43	что он должен	1	1
44	нового времени в	1	1
45	в другом стихотворении	1	1
46	с этой точки	1	1
47	ту или иную	1	1
48	едва ли не	1	1
49	как раз в	1	1
50	то ни было	1	1
51	на первый взгляд	1	1
52	он состоит в	1	1
53	мы встречаемся с	1	1
54	состоит в том	5	1
55	и потому что	1	1
56	в виду не	3	1
57	так или иначе	3	1
58	содержит в себе	1	1
59	еще и потому	1	1
60	перед тем как	1	1
61	мере в какой	1	1
62	только о том	1	1
63	и в том	1	1
64	или иных первичных	1	1
65	этой точки зрения	1	1
66	то же время	5	1
67	по себе а	1	1
68	может быть это	1	1
69	имея в виду	1	1
70	это и есть	1	1
71	то или иное	1	1
72	той или иной	4	1
73	не в роли	1	1
74	говорится и о	1	1
75	в то же	5	1
76	она далеко не	1	1
77	во времени и	1	1
78	сама по себе	2	1
79	по поводу этой	1	1
80	к тому же	1	1
81	в том в	1	1
