N	2gram	Vinokur_St_2	Literetu
1	не только	19	24
2	при этом	2	19
3	в качестве	5	17
4	но и	19	17
5	в том	27	16
6	а не	5	16
7	в частности	4	15
8	том что	27	14
9	в году	3	13
10	тогда как	2	13
11	может быть	2	13
12	и не	9	12
13	в этом	21	12
14	в своем	9	11
15	своего рода	5	11
16	прежде всего	5	11
17	в русской	5	10
18	такого рода	2	10
19	то что	11	10
20	или иначе	1	9
21	так или	1	8
22	не в	4	8
23	и в	29	8
24	только в	2	8
25	как это	2	8
26	я не	7	7
27	как бы	5	7
28	в себе	2	7
29	не менее	3	7
30	в его	13	7
31	и я	2	6
32	как и	2	6
33	точки зрения	5	6
34	и сам	2	6
35	того что	5	6
36	связи с	4	6
37	xix века	3	6
38	одним из	6	5
39	то же	2	5
40	отличие от	2	5
41	как в	3	5
42	не столько	7	5
43	в отличие	2	5
44	в то	2	5
45	искусства и	2	5
46	а также	2	5
47	же время	1	5
48	же в	1	5
49	что он	13	5
50	уже в	1	5
51	русской поэзии	1	5
52	не может	2	5
53	в данном	2	5
54	с этой	2	5
55	с его	2	5
56	в своей	7	4
57	еще не	1	4
58	столь же	1	4
59	но не	3	4
60	в этой	2	4
61	все же	6	4
62	представляет собой	1	4
63	по преимуществу	1	4
64	перестает быть	1	4
65	не как	1	4
66	с собой	1	4
67	и его	6	4
68	данном случае	1	4
69	никогда не	3	4
70	так и	9	4
71	еще в	2	4
72	и тем	1	4
73	из них	3	4
74	в конце	2	4
75	как раз	8	4
76	о себе	1	4
77	в связи	1	4
78	со стороны	2	4
79	в своих	1	4
80	например в	3	3
81	тем же	2	3
82	века в	1	3
83	также и	2	3
84	самого себя	1	3
85	по отношению	1	3
86	более чем	1	3
87	в самом	7	3
88	с их	1	3
89	в принципе	1	3
90	таким образом	10	3
91	той же	1	3
92	его в	2	3
93	самого пушкина	3	3
94	он и	1	3
95	несмотря на	2	3
96	не мог	3	3
97	в их	3	3
98	но в	8	3
99	том же	2	3
100	на рубеже	3	3
101	что ему	3	3
102	дело в	4	3
103	одна из	1	3
104	в основе	1	3
105	не должен	2	3
106	в области	2	3
107	свое собственное	1	3
108	в виду	7	3
109	в пределах	1	3
110	одного из	1	3
111	нуждается в	1	3
112	один из	1	3
113	потому что	9	3
114	этом в	1	3
115	одно из	1	3
116	у него	1	3
117	и даже	3	3
118	с другой	4	3
119	еще и	3	3
120	и др	2	3
121	не было	3	3
122	да и	1	3
123	при всем	1	3
124	жизни и	1	3
125	что в	19	3
126	а в	1	3
127	во всяком	3	3
128	того же	2	2
129	и то	1	2
130	самом деле	3	2
131	к своей	1	2
132	отношения между	1	2
133	из его	2	2
134	для своего	2	2
135	целый мир	1	2
136	в сущности	1	2
137	на себя	3	2
138	х годов	1	2
139	из того	1	2
140	могло быть	3	2
141	нет не	1	2
142	общего с	1	2
143	ю н	1	2
144	все эти	2	2
145	не оставляет	1	2
146	из этих	1	2
147	тому же	3	2
148	как он	2	2
149	в нем	4	2
150	не к	2	2
151	евгения онегина	1	2
152	на этом	1	2
153	различие между	1	2
154	поэзии и	2	2
155	было бы	5	2
156	на почве	2	2
