N	2gram	Vinokur_Vv_1	Freidism
1	таким образом	19	24
2	и не	13	23
3	не может	13	20
4	точки зрения	7	19
5	прежде всего	8	18
6	в этом	34	15
7	в его	10	15
8	с помощью	1	14
9	мы можем	2	13
10	может быть	24	13
11	и его	5	12
12	все эти	3	11
13	как и	5	11
14	с точки	2	11
15	как бы	5	11
16	то что	17	11
17	самом деле	6	10
18	но в	10	10
19	его в	6	10
20	с ним	1	10
21	как мы	9	10
22	так и	1	10
23	во всех	2	9
24	по отношению	4	9
25	и в	27	9
26	то же	8	8
27	не только	21	8
28	в своей	4	8
29	еще не	4	8
30	что он	4	8
31	только в	13	8
32	так как	13	8
33	все это	6	8
34	и все	1	8
35	отношению к	4	8
36	все что	1	8
37	в самом	12	7
38	мы уже	1	7
39	отношение к	3	7
40	мы видели	2	7
41	к нему	2	7
42	один из	6	7
43	тот же	1	7
44	мы знаем	1	7
45	всяком случае	3	7
46	что же	3	7
47	сказать что	5	7
48	во всяком	3	7
49	в ней	3	6
50	так сказать	1	6
51	и с	2	6
52	на протяжении	2	6
53	и ее	4	6
54	точку зрения	1	6
55	того что	12	6
56	для него	1	6
57	вовсе не	6	6
58	никогда не	3	6
59	хотя бы	5	6
60	совершенно не	1	6
61	я и	1	5
62	на самом	1	5
63	и на	3	5
64	он сам	3	5
65	в чем	4	5
66	и к	1	5
67	в этой	3	5
68	что такое	10	5
69	не в	8	5
70	мы должны	1	5
71	в то	5	5
72	в каком	1	5
73	могут быть	4	5
74	в себя	1	5
75	для этого	3	5
76	можно сказать	3	5
77	для того	21	5
78	и прежде	1	5
79	а в	5	5
80	но и	5	5
81	с этим	2	5
82	в свою	1	5
83	что в	11	5
84	смысле слова	7	4
85	в зависимости	1	4
86	и за	1	4
87	той же	4	4
88	мы не	2	4
89	в которой	1	4
90	говорить о	3	4
91	зависимости от	1	4
92	совсем не	3	4
93	но не	7	4
94	в собственном	2	4
95	все же	8	4
96	не было	1	4
97	из этих	5	4
98	с их	5	4
99	в нем	13	4
100	на этом	3	4
101	то ни	1	4
102	при этом	3	4
103	об этом	5	4
104	с другими	1	4
105	в жизни	1	4
106	на основании	5	4
107	во время	1	4
108	культура и	1	4
109	не менее	8	4
110	же время	5	4
111	таким путем	1	4
112	потому что	14	4
113	и для	4	4
114	к тому	4	4
115	того чтобы	21	4
116	данном случае	5	4
117	с самого	1	4
118	это только	4	4
119	другими словами	1	4
120	с ними	1	4
121	уже не	5	4
122	не дает	1	4
123	в котором	4	4
124	мы находим	1	4
125	как раз	4	4
126	от того	3	4
127	на которые	1	4
128	и др	2	4
129	в данном	11	4
130	и о	1	4
131	в более	2	4
132	в этих	3	4
133	этот вопрос	4	4
134	между ними	2	4
135	человека и	1	3
136	и есть	3	3
137	собственном смысле	2	3
138	он был	1	3
139	такие же	1	3
140	а только	8	3
141	в общем	12	3
142	как в	1	3
143	и той	2	3
144	и как	9	3
145	учение о	2	3
146	всего к	2	3
147	и тот	1	3
148	в себе	4	3
149	и те	2	3
150	но ведь	4	3
151	этот процесс	3	3
152	главным образом	1	3
153	о которой	2	3
154	и вот	3	3
155	одной и	2	3
156	что все	1	3
157	было бы	5	3
158	уже знаем	1	3
159	мы имеем	3	3
160	нисколько не	3	3
161	мысли и	2	3
162	тому что	2	3
163	этой области	3	3
164	нет никакого	1	3
165	самого начала	1	3
166	образом вся	1	3
