N	2gram	Berdyaev_M_2	Myshleni
1	в развитии	1	28
2	то что	5	26
3	в этом	20	25
4	что он	7	25
5	потому что	12	21
6	не может	15	18
7	точки зрения	2	18
8	в том	3	18
9	того чтобы	4	17
10	и в	46	16
11	что в	4	16
12	того что	6	16
13	так как	8	16
14	не только	18	16
15	так же	6	15
16	том что	4	15
17	для того	5	14
18	в сущности	2	13
19	сказать что	3	13
20	вопрос о	6	12
21	отношению к	2	12
22	по отношению	2	12
23	и не	18	12
24	и что	2	12
25	отношение к	8	11
26	в его	5	11
27	только в	3	10
28	а не	13	10
29	было бы	1	10
30	в отношении	5	9
31	с точки	1	9
32	может быть	21	9
33	о том	3	8
34	как и	13	8
35	то же	5	8
36	мы должны	1	8
37	должно быть	2	8
38	в основе	2	8
39	если бы	3	8
40	он не	10	8
41	приводит к	1	7
42	но он	11	7
43	того же	1	7
44	так и	4	7
45	в нем	22	7
46	по себе	2	7
47	же как	3	7
48	и есть	8	7
49	в другом	1	6
50	в какой	1	6
51	у него	22	6
52	не в	9	6
53	в мысли	2	6
54	но если	1	6
55	к тому	5	6
56	но и	15	6
57	в той	1	6
58	как он	3	6
59	могли бы	1	6
60	что все	5	6
61	в этой	7	6
62	и на	3	6
63	но в	10	6
64	в которой	2	5
65	не знает	9	5
66	по сравнению	1	5
67	сравнению с	1	5
68	что они	3	5
69	должна быть	1	5
70	с ним	3	5
71	хотя бы	7	5
72	высшую ступень	1	5
73	того как	3	5
74	для него	18	5
75	тот же	2	5
76	этом отношении	1	5
77	только что	1	5
78	на все	3	5
79	на вопрос	1	5
80	как в	7	5
81	тогда когда	2	5
82	в сфере	2	5
83	еще более	2	5
84	ничего не	2	5
85	никогда не	18	5
86	тем что	3	5
87	из нее	1	5
88	мере в	1	5
89	тому что	4	5
90	в такой	3	5
91	говорит что	2	5
92	на высшую	2	5
93	он должен	1	5
94	можно было	2	5
95	как бы	8	5
96	в своем	8	5
97	все эти	1	4
98	не означает	2	4
99	бы в	2	4
100	это есть	2	4
101	мысль что	4	4
102	вместе с	2	4
103	отношение между	1	4
104	стоит в	2	4
105	к которому	3	4
106	так что	2	4
107	связей и	1	4
108	не то	1	4
109	с этой	1	4
110	за пределы	1	4
111	сама по	1	4
112	не имеет	4	4
113	в целом	1	4
114	что если	1	4
115	в самых	1	4
116	той же	3	4
117	в самом	5	4
118	не могут	1	4
119	мы видим	2	4
120	с другой	1	4
121	подобно тому	2	4
122	в меру	1	4
123	тому как	2	4
124	это не	5	4
125	и то	1	4
126	в пределах	1	4
127	ответить на	1	4
128	не есть	13	4
129	в свою	4	4
130	и с	3	3
131	говорить о	1	3
132	прежде всего	12	3
133	на которые	1	3
134	как на	1	3
135	связи с	2	3
136	как с	1	3
137	и тот	2	3
138	к нему	2	3
139	сих пор	3	3
140	той мере	1	3
141	раньше чем	1	3
142	мы не	1	3
143	до сих	3	3
144	если в	1	3
145	вот почему	2	3
146	а в	2	3
147	а потому	1	3
148	чем его	1	3
149	по своей	3	3
150	между тем	2	3
151	сознания в	1	3
152	своей природе	1	3
153	между двумя	1	3
154	он может	1	3
155	его и	1	3
156	потому и	1	3
157	и его	5	3
158	это и	3	3
159	ее в	2	3
160	требует от	1	3
161	в чем	3	3
162	с этим	1	3
163	к этой	1	3
164	до конца	4	3
165	вопроса о	4	3
166	и тем	1	3
167	в этих	2	3
168	он в	3	3
169	от того	3	3
170	приходит к	2	3
171	на примере	1	3
172	то в	2	3
173	с таким	2	3
174	на этом	2	3
175	что и	4	3
176	в действительности	2	3
177	этого вопроса	2	3
178	но что	1	3
179	чем в	2	3
180	самом деле	1	3
181	к этому	1	3
182	с тем	1	3
183	способность к	2	3
184	они не	4	3
185	и как	1	3
186	еще в	2	3
187	и более	1	3
188	по своему	1	3
189	но это	8	3
190	нас к	1	3
191	происходит в	1	2
192	ни одного	2	2
193	в них	3	2
194	но с	2	2
195	на его	2	2
196	неспособность к	1	2
197	может ли	1	2
198	в свое	1	2
199	от всякого	1	2
200	его на	4	2
201	должны быть	4	2
202	на их	1	2
203	но все	1	2
204	и отношение	1	2
205	жизни и	6	2
206	и потом	1	2
207	имел бы	1	2
208	в более	2	2
209	учения о	1	2
210	приводит нас	1	2
211	этими двумя	1	2
212	до того	1	2
213	к которым	1	2
214	все это	1	2
215	вслед за	1	2
216	значение для	1	2
217	в жизни	4	2
218	не до	2	2
219	что является	1	2
220	эту мысль	1	2
221	сознания и	2	2
222	и здесь	6	2
223	это будет	1	2
224	вывод что	1	2
225	в центре	2	2
226	в своей	5	2
227	во всех	2	2
228	если он	2	2
229	начинается в	1	2
230	те же	5	2
231	который с	1	2
232	со всеми	1	2
233	у нас	11	2
234	его в	3	2
235	такое же	1	2
236	поэтому он	2	2
237	отношением к	2	2
238	с проблемой	1	2
239	есть не	5	2
240	только один	1	2
241	отношения к	2	2
242	к полному	1	2
243	должны были	1	2
244	но они	1	2
245	отношений между	1	2
246	высшей степени	3	2
247	не с	1	2
248	во всем	5	2
249	в момент	1	2
250	во второй	1	2
251	и к	7	2
252	начала что	1	2
253	но этот	2	2
254	связанная с	1	2
255	чтобы сделать	1	2
256	и потому	7	2
257	не имеют	2	2
258	что у	4	2
259	себя и	3	2
260	что было	3	2
261	и от	3	2
262	его отношение	4	2
263	находится в	1	2
264	и поэтому	2	2
265	сознание и	1	2
266	не дает	1	2
267	а с	1	2
268	их и	1	2
269	не иначе	1	2
270	по поводу	1	2
271	и другим	1	2
272	в котором	1	2
273	когда он	1	2
274	тот момент	1	2
275	никто не	1	2
276	в тот	1	2
277	в высшей	3	2
278	на практике	1	2
279	их в	1	2
280	потребности в	1	2
281	о чем	1	2
282	в своих	3	2
283	я не	5	2
284	к одному	1	2
285	из этого	1	2
286	все равно	3	2
287	которые не	1	2
288	в ней	11	2
289	закон и	1	2
290	что она	5	2
291	которых он	1	2
292	именно потому	1	2
293	на протяжении	1	2
294	как будто	2	2
295	на нее	1	2
296	быть в	1	2
297	не способен	5	2
298	своего собственного	1	2
299	ни на	1	2
300	лежит в	1	2
301	все что	4	2
302	принадлежит к	2	2
303	средством для	1	2
304	это так	1	1
305	может не	1	1
306	для такого	1	1
307	и там	6	1
308	в чистом	1	1
309	в себе	10	1
310	эту тему	1	1
311	в голове	1	1
312	но она	2	1
313	сила и	1	1
314	ничего кроме	2	1
315	одна сторона	1	1
316	в письме	1	1
317	на деле	4	1
318	связь с	1	1
319	входит в	1	1
320	место в	2	1
321	к единому	1	1
322	друг к	5	1
323	одни и	2	1
324	из себя	1	1
325	есть по	2	1
326	в плане	1	1
327	значение и	1	1
328	отличается от	1	1
329	и для	7	1
330	для себя	1	1
331	в решении	1	1
332	кто не	1	1
333	к этим	1	1
334	и ее	1	1
335	много раз	2	1
336	его собственной	1	1
337	его до	2	1
338	перед ним	4	1
339	думать что	4	1
340	это один	1	1
341	не было	11	1
342	после того	2	1
343	и социальной	1	1
344	что не	2	1
345	внешних условий	1	1
346	и все	5	1
347	есть в	3	1
348	на то	1	1
349	в массе	1	1
350	на эту	1	1
351	говорил что	1	1
352	как можно	1	1
353	с ней	1	1
354	в сознании	1	1
355	вернемся к	1	1
356	что это	6	1
357	в прошлом	1	1
358	дать положительный	1	1
359	он понял	2	1
360	закона не	1	1
361	и во	3	1
362	иное как	3	1
363	легко понять	1	1
364	нет у	3	1
365	не так	3	1
366	в конце	5	1
367	какой они	1	1
368	слова для	1	1
369	материал и	1	1
370	он так	2	1
371	уже из	1	1
372	и те	2	1
373	что на	1	1
374	об этом	1	1
375	к высшему	1	1
376	если сам	1	1
377	которой он	1	1
378	и он	11	1
379	это верно	1	1
380	в нашем	7	1
381	же есть	3	1
382	стороны одной	1	1
383	закона и	2	1
384	место чем	1	1
385	были бы	2	1
386	он сам	6	1
387	правды которая	1	1
388	еще ни	1	1
389	независимо от	1	1
390	с другим	3	1
391	и только	1	1
392	смысле этого	1	1
393	на что	1	1
394	оно не	2	1
395	и связь	1	1
396	что же	2	1
397	говорит об	1	1
398	этого не	1	1
399	путь к	1	1
400	и этого	1	1
401	который был	2	1
402	нигде не	1	1
403	в ее	1	1
404	когда это	1	1
405	не потому	1	1
406	и своего	2	1
407	между ними	1	1
408	можно видеть	1	1
409	до этой	1	1
410	она есть	2	1
411	приходят к	1	1
412	что ни	1	1
413	на самом	1	1
414	собой новый	1	1
415	сам по	2	1
416	понимал что	1	1
417	к ней	2	1
418	более чем	2	1
419	и других	2	1
420	зрения так	1	1
421	и той	2	1
422	она существует	1	1
423	в природе	1	1
424	две стороны	1	1
425	сознанием в	1	1
426	и прежде	1	1
427	после этого	1	1
428	которые в	2	1
429	привести к	5	1
430	процесс а	1	1
431	должен перейти	1	1
432	и этим	2	1
433	но на	2	1
434	на тот	1	1
435	все время	2	1
436	с которым	3	1
437	имеют своей	1	1
438	бы каждый	1	1
439	сам не	2	1
440	это отношение	1	1
441	и они	1	1
442	происходит не	1	1
443	связана с	7	1
444	лишь в	2	1
445	которая была	1	1
446	что существует	1	1
447	только одной	1	1
448	смысле слова	3	1
449	есть один	2	1
450	совпадают с	1	1
451	в учении	1	1
452	от его	2	1
453	и русская	2	1
454	что наконец	1	1
455	но к	1	1
456	да и	2	1
457	уже в	2	1
458	один из	5	1
459	но эти	1	1
460	а между	1	1
461	мы увидим	2	1
462	о природе	1	1
463	этого как	1	1
464	ни в	3	1
465	наоборот он	1	1
466	мыслится как	1	1
467	он был	9	1
468	значительной степени	1	1
469	своей собственной	1	1
470	это можно	1	1
471	это с	1	1
472	а потом	1	1
473	способен к	4	1
474	что иное	3	1
475	отношении к	3	1
476	из самых	1	1
477	двумя противоположными	1	1
478	это в	1	1
479	без которых	1	1
480	моментов в	1	1
481	но так	1	1
482	для этого	4	1
483	считает себя	3	1
484	только потому	1	1
485	в будущем	1	1
486	этого слова	1	1
487	к тем	1	1
488	формы в	1	1
489	к другому	3	1
490	если все	1	1
491	не существует	3	1
492	самый характер	1	1
493	же что	2	1
494	или человек	1	1
495	может понять	1	1
496	жизнь но	1	1
497	не что	3	1
498	распадается на	1	1
499	равно что	2	1
500	имеют свою	1	1
501	знает только	1	1
502	и менее	1	1
503	есть проблема	1	1
504	она не	8	1
505	другого в	2	1
506	также и	4	1
507	не сознает	1	1
508	как к	2	1
509	им на	1	1
510	что за	2	1
511	для раскрытия	1	1
512	внешние условия	1	1
513	он принимает	1	1
514	ним как	1	1
515	что совершенно	1	1
516	на самый	1	1
517	мысль о	2	1
518	ли он	1	1
519	он принадлежит	1	1
520	себе путь	2	1
521	и никогда	3	1
522	с его	4	1
523	дальше и	2	1
524	есть также	2	1
525	его вовсе	1	1
