N	2gram	Medvedev_F_2	Otkroven
1	он не	6	4
2	от него	2	2
3	для него	7	2
4	в этом	27	2
5	а не	6	2
6	отношение к	2	1
7	что для	2	1
8	в другом	1	1
9	в самую	1	1
10	не совпадает	1	1
11	как и	9	1
12	он должен	1	1
13	но он	1	1
14	был бы	1	1
15	уже с	1	1
16	должен был	2	1
17	говорит о	1	1
18	если бы	5	1
19	и эта	1	1
20	не отрицает	2	1
21	и дело	1	1
22	должно быть	2	1
23	есть не	1	1
24	и в	38	1
25	это не	2	1
26	но оно	1	1
27	он был	2	1
28	не есть	3	1
29	но и	13	1
30	не только	9	1
31	то он	1	1
32	отрицает и	2	1
33	и достигает	1	1
34	никогда не	2	1
35	и этим	2	1
36	его в	3	1
