N	3gram	Voloshinov_1	DiskursI
1	в том что	4	13
2	с одной стороны	1	9
3	по отношению к	9	9
4	о том что	1	5
5	то же время	5	4
6	в отличие от	1	4
7	в то же	5	3
8	а с другой	1	3
9	это прежде всего	1	3
10	но при этом	1	3
11	в свою очередь	1	3
12	не может быть	3	3
13	можно сказать что	3	2
14	тот или иной	1	2
15	в наше время	1	2
16	что же касается	1	2
17	том что в	1	2
18	в одной из	1	2
19	в данном случае	3	2
20	можно определить как	1	2
21	по крайней мере	1	2
22	к этому времени	2	1
23	это и есть	1	1
24	это новое качество	1	1
25	с самого начала	5	1
26	следует упускать из	1	1
27	в таком случае	2	1
28	это как будто	1	1
29	и даже не	1	1
30	в большинстве случаев	4	1
31	в следующей главе	3	1
32	своего исторического существования	1	1
33	прежде всего к	3	1
34	и должны быть	1	1
35	а потому и	2	1
36	на этом пути	1	1
37	именно в этой	1	1
38	из того что	1	1
39	в котором он	1	1
40	до известной степени	1	1
41	до сих пор	3	1
42	в хх веке	1	1
43	к той же	1	1
44	и на протяжении	1	1
45	не следует упускать	1	1
46	хотя бы и	2	1
47	его таким образом	1	1
48	в целом ряде	1	1
49	и прежде всего	5	1
50	обнаруживает себя в	1	1
51	что он не	1	1
52	в этом случае	1	1
53	на себя и	1	1
54	и не может	1	1
55	и то же	1	1
56	так и в	2	1
57	сам по себе	2	1
58	на самом деле	2	1
59	оно не связано	1	1
60	и может быть	2	1
61	еще не сложилось	1	1
62	во всех его	1	1
63	нет и не	1	1
64	как будто бы	1	1
65	далеко не всегда	3	1
66	в этом отношении	2	1
67	в конечном счете	1	1
68	только то что	2	1
69	упускать из виду	1	1
70	но все же	1	1
71	говорит о том	1	1
72	как мы видели	4	1
73	при этом как	1	1
74	в свое время	1	1
75	только потому что	1	1
76	еще не знает	1	1
77	или во всяком	1	1
78	во всех областях	1	1
79	с точки зрения	10	1
80	в своей основе	1	1
81	дело в том	1	1
82	том что он	2	1
83	во всех этих	1	1
84	тем не менее	2	1
85	а иногда и	1	1
86	одно и то	1	1
87	во всяком случае	3	1
88	одним из наиболее	2	1
