N	3gram	Losev_Dial_1	slovoVRo
1	и т п	2	23
2	в то же	4	12
3	то же время	4	12
4	той или иной	3	9
5	в той или	1	9
6	с точки зрения	12	8
7	в отношении к	1	6
8	и т д	19	5
9	во всяком случае	2	5
10	и в то	2	5
11	с одной стороны	2	4
12	но в то	1	4
13	с другой стороны	4	4
14	и в особенности	1	4
15	те или иные	1	3
16	более или менее	3	3
17	друг с другом	1	2
18	до известной степени	1	2
19	ничего нового не	1	2
20	до сих пор	2	2
21	а между тем	1	2
22	точки зрения самого	2	2
23	к тому что	2	2
24	то время как	1	2
25	и в этом	3	2
26	точка зрения на	1	2
27	и то же	4	2
28	в то время	1	2
29	можно было бы	4	2
30	одно и то	4	2
31	о том что	2	1
32	так или иначе	1	1
33	с самого начала	1	1
34	ни в какой	1	1
35	и этим в	1	1
36	одной и той	1	1
37	можно встретить такие	1	1
38	себя так что	1	1
39	привело к тому	1	1
40	точек зрения и	1	1
41	несет на себе	2	1
42	и в частности	2	1
43	только один и	1	1
44	можно сказать что	3	1
45	один и единственный	1	1
46	в разной степени	1	1
47	тех или иных	1	1
48	и не в	1	1
49	может быть и	3	1
50	для того чтобы	1	1
51	в том что	7	1
52	не может быть	3	1
53	и в отношении	1	1
54	и той же	1	1
55	отнести также и	1	1
56	и ничего не	1	1
57	мы все время	1	1
58	это не значит	1	1
59	никогда не бывает	1	1
60	как одно и	1	1
61	то или иное	2	1
62	в этом отношении	2	1
63	на самом же	1	1
64	с чем именно	1	1
65	самом же деле	1	1
66	нужно отнести также	1	1
67	точки зрения не	1	1
68	но это не	1	1
69	дело в том	1	1
70	в предмете и	1	1
71	не в самом	1	1
72	никогда не может	2	1
73	во всех этих	1	1
74	как раз на	1	1
75	тем не менее	1	1
76	не был бы	1	1
77	если бы мы	1	1
78	и с другой	2	1
79	это было бы	1	1
80	и в них	1	1
81	по крайней мере	4	1
