N	2gram	Bakhtin_Fr_6	OGranits
1	и в	41	13
2	и его	13	12
3	прежде всего	10	9
4	может быть	2	8
5	не может	4	8
6	и не	3	8
7	и т.п	19	7
8	в его	7	7
9	и их	3	7
10	точки зрения	2	7
11	только в	3	6
12	как бы	7	6
13	не только	10	6
14	то что	10	6
15	таким образом	17	6
16	и т.д	1	5
17	все же	4	5
18	и наконец	4	5
19	с точки	2	5
20	мы не	2	4
21	еще и	1	4
22	на фоне	1	4
23	но в	8	4
24	мы можем	1	4
25	то же	5	4
26	лишь в	2	4
27	в своей	2	4
28	было бы	3	4
29	все это	11	4
30	не является	1	4
31	вполне понятно	2	4
32	в каждом	1	4
33	и замкнуто	1	3
34	связана с	2	3
35	и то	2	3
36	в ее	5	3
37	самом деле	4	3
38	в пределах	1	3
39	так и	5	3
40	понятно что	2	3
41	говорить о	2	3
42	в их	1	3
43	по отношению	1	3
44	за пределы	2	3
45	тела и	15	3
46	с этим	3	3
47	в которой	1	3
48	в себе	5	3
49	не как	1	3
50	в одном	5	3
51	так как	10	3
52	но и	13	3
53	как и	7	3
54	точку зрения	1	3
55	что же	1	3
56	не в	4	3
57	да и	1	3
58	и для	3	3
59	никогда не	8	3
60	и все	9	3
61	превращается в	2	3
62	т.п и	2	3
63	отношению к	1	3
64	не столько	1	3
65	что в	7	3
66	в искусстве	3	3
67	и др	10	2
68	данном случае	2	2
69	зависимости от	1	2
70	только его	2	2
71	роль в	4	2
72	конечно в	2	2
73	мы уже	18	2
74	те же	3	2
75	мог бы	1	2
76	в ней	4	2
77	а также	5	2
78	в чем	3	2
79	между тем	2	2
80	в языке	1	2
81	что они	2	2
82	вслед за	1	2
83	к сожалению	1	2
84	чем же	1	2
85	материалом для	1	2
86	как в	4	2
87	в которую	1	2
88	только ее	1	2
89	в данном	3	2
90	в этом	12	2
91	в том	2	2
92	мы видим	6	2
93	тот же	4	2
94	с ними	1	2
95	в действительности	1	2
96	и отчасти	2	2
97	в этот	1	2
98	в целом	1	2
99	и тем	1	2
100	все эти	11	2
101	с одной	4	2
102	думать что	1	2
103	уже в	4	2
104	изобразительных искусствах	3	2
105	кажется что	2	2
106	в нем	16	2
107	связанные с	1	2
108	при этом	3	2
109	для него	1	2
110	в другом	4	2
111	говорить об	1	2
112	вовсе не	7	2
113	в зависимости	1	2
114	тем что	5	2
115	в них	7	2
116	связанных с	3	2
117	в области	2	2
118	с другой	4	2
119	в самом	10	2
120	одной стороны	4	2
121	материал в	1	2
122	более того	4	2
123	не на	2	2
124	а не	2	2
125	другой стороны	2	2
126	в руках	1	2
127	между собою	5	2
128	громадную роль	2	2
129	там где	5	2
130	не мог	3	2
131	несмотря на	1	2
132	в связи	1	2
133	том что	7	2
134	с помощью	6	2
135	так же	5	2
136	в отношении	1	2
137	телом и	12	2
138	своего рода	1	2
139	с этой	3	2
140	слова и	1	2
141	не менее	1	2
142	не имеет	1	2
143	в книге	3	2
144	об особой	1	2
