N	3gram	Nazirov_Vr_1	Istorich
1	не может быть	2	7
2	тем не менее	1	6
3	с другой стороны	1	5
4	до сих пор	1	5
5	на то что	1	4
6	в том что	2	4
7	и в ней	1	3
8	точно так же	1	3
9	что это за	1	3
10	в то время	1	3
11	в связи с	3	3
12	о том что	1	3
13	так же как	1	2
14	на первый взгляд	1	2
15	все же не	1	2
16	и уже по	1	1
17	равно как и	1	1
18	в этом смысле	1	1
19	в соответствии с	1	1
20	о том как	1	1
21	ему нужно было	1	1
22	при этом он	1	1
23	едва ли не	1	1
24	в это время	1	1
25	потому что исследователи	1	1
26	его отношения к	1	1
27	но в то	2	1
28	но в целом	1	1
29	ли не самым	1	1
30	что в жизни	1	1
31	что они не	1	1
32	он как бы	1	1
33	и что он	1	1
34	и в этом	1	1
35	в этом отношении	1	1
