N	2gram	Medvedev_U_1	Komedia
1	и в	14	22
2	и не	8	21
3	том что	2	13
4	таким образом	2	12
5	в том	2	12
6	в самом	2	9
7	до сих	2	9
8	сих пор	2	9
9	в этом	7	8
10	в своем	1	8
11	о том	1	8
12	если бы	2	8
13	в его	2	8
14	что и	2	8
15	что он	2	8
16	то же	5	7
17	об этом	1	7
18	в конце	2	7
19	о чем	2	7
20	самом деле	2	6
21	ничуть не	1	6
22	в то	3	6
23	и что	1	6
24	может быть	6	6
25	как раз	2	6
26	к этому	1	6
27	более чем	2	5
28	но в	3	5
29	не только	10	5
30	он не	1	5
31	в своей	3	5
32	в которых	1	5
33	же время	3	5
34	что в	1	5
35	тем что	2	5
36	прежде всего	8	5
37	все это	5	5
38	он знает	1	4
39	в ней	1	4
40	он был	1	4
41	с другой	4	4
42	нет и	1	4
43	отнюдь не	1	4
44	все же	3	4
45	то что	7	4
46	в себе	2	4
47	что она	2	4
48	и с	2	4
49	с тем	1	4
50	не в	2	4
51	у него	1	4
52	так и	1	4
53	но и	4	4
54	до конца	1	4
55	а не	10	4
56	и для	2	4
57	бы в	1	4
58	тем более	1	4
59	хотя бы	5	4
60	с его	2	3
61	в которой	1	3
62	в этой	4	3
63	на то	1	3
64	в нем	1	3
65	приводит к	1	3
66	то ни	3	3
67	было бы	3	3
68	далеко не	1	3
69	как и	3	3
70	но если	1	3
71	их в	1	3
72	никогда не	1	3
73	ничего не	2	3
74	же самое	2	3
75	не о	3	3
76	с одной	1	3
77	мы можем	1	3
78	и даже	1	3
79	даже не	1	3
80	если не	2	3
81	в частности	3	3
82	не может	7	3
83	конечно не	4	3
84	одной стороны	1	3
85	в течение	1	3
86	все что	1	3
87	человека и	1	2
88	мы не	2	2
89	бы то	3	2
90	конечном счете	4	2
91	за пределы	1	2
92	всего лишь	1	2
93	не приходится	2	2
94	так или	1	2
95	ни было	3	2
96	на его	1	2
97	о которой	1	2
98	а как	2	2
99	это не	3	2
100	еще одно	1	2
101	остается в	1	2
102	в г	1	2
103	в котором	1	2
104	в их	4	2
105	она не	1	2
106	что с	1	2
107	что ему	1	2
108	больше чем	1	2
109	в области	3	2
110	одним из	2	2
111	он называет	1	2
112	отказаться от	1	2
113	и это	1	2
114	в виду	1	2
115	в конечном	4	2
116	между тем	2	2
117	этих слов	1	2
118	не как	3	2
119	тот же	1	2
120	по мнению	1	2
121	в качестве	1	2
122	этом отношении	2	2
123	или иначе	1	2
124	что для	1	2
125	не было	1	2
126	что мы	2	2
127	он и	1	2
128	его на	1	2
129	из которых	1	2
130	в пределах	1	2
131	не могут	2	2
132	по существу	2	2
133	этом случае	1	2
134	только для	1	2
135	чем к	1	2
136	и все	1	2
137	конце концов	2	2
138	а о	2	2
139	только как	1	2
140	другой стороны	3	2
141	равно как	1	2
142	в свое	1	2
143	это в	1	2
144	в таком	1	2
145	формы и	2	1
146	без них	1	1
147	свое место	1	1
148	мы имеем	1	1
149	именно к	1	1
150	а для	1	1
151	первый план	1	1
152	конечно это	1	1
153	не без	1	1
154	но не	2	1
155	к которой	1	1
156	в сторону	2	1
157	не входит	1	1
158	очевидно что	3	1
159	к сожалению	3	1
160	относится к	1	1
161	независимо от	1	1
162	что по	1	1
163	литературного жанра	1	1
164	более или	1	1
165	в этот	1	1
166	еще один	1	1
167	имеем в	1	1
168	случае все	1	1
169	ли для	1	1
170	по крайней	2	1
171	в первую	1	1
172	что все	2	1
173	же не	2	1
174	той же	1	1
175	это было	2	1
176	из первых	1	1
177	материал для	2	1
178	его и	2	1
179	этого не	1	1
180	со своими	1	1
181	одно из	1	1
182	не столько	2	1
183	признать что	1	1
184	автора для	1	1
185	жанра в	1	1
186	но он	1	1
187	друг другу	1	1
188	обращение к	1	1
189	предыдущих страницах	1	1
190	стиха но	1	1
191	и вся	1	1
192	того как	1	1
193	этой тенденции	1	1
194	так много	1	1
195	почему в	1	1
196	находятся в	1	1
197	с новой	1	1
198	с другом	1	1
199	представляется нам	2	1
200	если у	1	1
201	могут быть	2	1
202	затем он	1	1
203	что при	1	1
204	правда не	1	1
205	было сделать	1	1
206	ничего подобного	1	1
207	ошибочным выводам	1	1
208	строго говоря	1	1
209	и всякого	1	1
210	для этого	3	1
211	впрочем для	1	1
212	сводится к	2	1
213	которой очевидно	1	1
214	все его	1	1
215	в пользу	1	1
216	нас в	2	1
217	первую очередь	1	1
218	рассматривать не	1	1
219	крайней мере	2	1
220	иначе в	1	1
221	этого материала	1	1
222	только в	2	1
223	это же	1	1
224	много лучше	1	1
225	и у	2	1
226	в современном	1	1
227	может служить	1	1
228	не случайно	2	1
229	в некоторых	2	1
230	когда бы	1	1
231	было и	1	1
232	живого человека	1	1
233	превращается в	2	1
234	для начала	1	1
235	этой же	1	1
236	он уже	1	1
237	и потому	1	1
238	относятся к	1	1
239	впрочем не	1	1
240	надо было	2	1
241	поскольку он	1	1
242	образом на	1	1
243	друг с	1	1
244	быть не	1	1
245	еще раз	1	1
246	можно сказать	1	1
247	она должна	1	1
248	в ноги	1	1
249	о котором	1	1
250	довести до	1	1
251	на первый	2	1
252	могли бы	2	1
253	или менее	1	1
254	на предыдущих	1	1
255	все они	2	1
256	к лицу	1	1
257	приходится признать	2	1
258	сказать что	1	1
259	и только	5	1
260	что угодно	1	1
261	самое что	1	1
262	на своем	1	1
263	насколько мы	1	1
264	и эта	1	1
265	они относятся	1	1
266	как на	1	1
