N	3gram	Bakhtin_Fr_8	EvropaiC
1	в том что	6	16
2	до сих пор	8	12
3	по отношению к	1	10
4	друг с другом	1	9
5	с точки зрения	2	8
6	на самом деле	1	7
7	более или менее	2	7
8	для того чтобы	2	6
9	в самом деле	1	5
10	по сравнению с	1	5
11	может быть и	1	4
12	к тому же	1	4
13	с другой стороны	2	4
14	не может быть	2	4
15	о том что	2	4
16	в настоящее время	3	3
17	не подлежит сомнению	3	3
18	и то что	1	3
19	в данном случае	2	3
20	все же не	1	3
21	в связи с	3	3
22	таким образом в	1	3
23	заключается в том	1	3
24	подлежит сомнению что	1	3
25	таким образом здесь	1	2
26	сравнению с общим	1	2
27	только то что	1	2
28	бы то ни	2	2
29	то же время	10	2
30	вместе с тем	1	2
31	то ни было	1	2
32	с одной стороны	2	2
33	а с другой	1	2
34	друг к другу	1	2
35	во всех этих	1	2
36	между этими двумя	1	2
37	как и в	4	2
38	том что все	1	2
39	в то же	10	2
40	ибо в ней	1	1
41	а следовательно и	1	1
42	еще далеко не	1	1
43	мы уже говорили	7	1
44	образом и в	2	1
45	само собою разумеющееся	1	1
46	дело в том	2	1
47	на том же	1	1
48	мы уже сказали	1	1
49	но при этом	1	1
50	то же самое	1	1
51	сих пор еще	4	1
52	они вовсе не	1	1
53	в основе их	2	1
54	у него в	1	1
55	что все эти	1	1
56	что многие из	1	1
57	связанной с ним	1	1
58	том числе и	2	1
59	том или ином	1	1
60	так что и	1	1
61	как нечто само	1	1
62	уже говорили что	5	1
63	роль в развитии	1	1
64	так и к	1	1
65	в том или	1	1
66	с такою же	1	1
67	в ту же	1	1
68	все остальное в	1	1
69	таким образом и	3	1
70	одна из этих	1	1
71	состоит в том	1	1
72	все эти слова	1	1
73	и с этой	1	1
74	нечто само собою	1	1
75	не в том	1	1
76	в значительной своей	1	1
77	во всем этом	1	1
78	и потому они	1	1
79	они вступают в	1	1
80	вместо того чтобы	1	1
81	даже в этом	1	1
82	и некоторые другие	1	1
83	значительной своей части	2	1
84	в то время	2	1
85	в развитии культуры	1	1
86	в нем между	1	1
87	как бы ни	1	1
88	с самого начала	1	1
89	не только не	2	1
90	и все они	1	1
91	конечно в самой	1	1
92	культуры между тем	1	1
93	и т.д в	1	1
94	мы видели что	3	1
95	в том числе	3	1
96	мы видим что	2	1
97	как мы видели	2	1
98	и в нем	1	1
99	во всех странах	2	1
100	как мы знаем	1	1
101	том что оно	1	1
