N	3gram	Propp_Morf_1	Myshleni
1	в том что	3	31
2	с точки зрения	2	11
3	с одной стороны	1	9
4	с другой стороны	4	8
5	в этом отношении	1	7
6	в собственном смысле	3	7
7	друг с другом	1	7
8	одно и то	1	6
9	и то же	1	6
10	друг на друга	2	5
11	для того чтобы	2	5
12	таким образом что	1	4
13	мы видим таким	1	4
14	видим таким образом	1	4
15	на то что	2	4
16	в обоих случаях	2	3
17	состоит в том	2	3
18	в этом случае	8	3
19	точно так же	1	3
20	во всяком случае	2	3
21	в связи с	8	3
22	о том что	1	3
23	оно может быть	2	2
24	но так как	1	2
25	в настоящее время	3	2
26	к тому или	1	2
27	в данном случае	1	2
28	в высшей степени	1	2
29	мы видим что	9	2
30	в какой степени	1	2
31	не могут быть	2	2
32	все более и	1	2
33	они даны в	1	2
34	между собой и	1	2
35	это значит что	1	2
36	более и более	1	2
37	подобно тому как	5	2
38	в тот момент	1	1
39	сомневаться в том	1	1
40	которые не могут	1	1
41	потому что в	1	1
42	далеко не все	3	1
43	на самом деле	4	1
44	и даже не	1	1
45	он может быть	2	1
46	о том как	1	1
47	мы постараемся показать	1	1
48	во всей своей	1	1
49	том случае если	1	1
50	не входит в	1	1
51	со всеми другими	1	1
52	бы то ни	3	1
53	но прежде чем	1	1
54	вместо того чтобы	1	1
55	до сих пор	1	1
56	совершенно ясно что	1	1
57	лежат в основе	1	1
58	могут иметь различное	1	1
59	но если мы	1	1
60	указанием на то	1	1
61	иметь различное значение	1	1
62	в том случае	1	1
63	которые могут быть	1	1
64	обоих случаях значение	1	1
65	к тому что	3	1
66	чем перейти к	1	1
67	то ни было	2	1
68	то время как	3	1
69	в совершенно другом	1	1
70	здесь мы имеем	1	1
71	далеко не всегда	1	1
72	а также и	3	1
73	одновременно с этим	1	1
74	перед нами в	1	1
75	и затем уже	1	1
76	друг к другу	2	1
77	собственном смысле слова	3	1
78	и как они	1	1
79	прежде чем перейти	1	1
80	не может быть	9	1
81	не имеет ничего	1	1
82	и таким образом	2	1
83	это мы видим	1	1
84	в то время	3	1
85	по отношению к	4	1
86	то что в	2	1
87	так например в	1	1
88	чем это делает	1	1
89	тем и другим	2	1
90	и что следовательно	1	1
91	с самого начала	1	1
92	с логической неизбежностью	1	1
93	но все же	3	1
94	можно сказать что	1	1
95	бы они ни	1	1
96	они ни были	1	1
97	тот момент когда	1	1
98	в этих случаях	11	1
99	после того как	1	1
100	тех или иных	1	1
101	тем не менее	4	1
102	том что он	1	1
103	иногда может быть	1	1
104	как и в	2	1
105	в сущности к	1	1
106	что и в	1	1
107	а затем уже	1	1
108	мы увидим что	1	1
109	вопрос в какой	1	1
