N	2gram	Potebnia_M_4	Tvorches
1	и в	23	21
2	как бы	5	17
3	в то	4	15
4	то же	14	13
5	времени в	1	13
6	в его	5	13
7	то есть	34	12
8	как и	14	12
9	же время	3	12
10	что в	17	12
11	том что	12	11
12	все это	5	10
13	как в	7	8
14	он не	2	8
15	то что	29	8
16	и на	3	7
17	но в	8	7
18	не только	10	7
19	при этом	15	7
20	тем самым	4	7
21	у него	1	7
22	и не	18	7
23	в том	23	7
24	в свою	2	7
25	в этом	23	6
26	человека в	2	6
27	в котором	4	6
28	не менее	5	6
29	и его	2	6
30	он сам	1	6
31	о том	8	6
32	и все	4	6
33	что он	4	6
34	для него	5	6
35	xix века	1	6
36	а в	5	6
37	все же	1	5
38	в этой	1	5
39	таким образом	24	5
40	вовсе не	7	5
41	в своих	2	5
42	потому что	33	5
43	как будто	1	5
44	только в	15	5
45	может быть	26	5
46	а не	12	5
47	но это	3	5
48	хотя бы	4	5
49	человека и	3	4
50	в своем	8	4
51	и как	2	4
52	та же	1	4
53	в человеке	1	4
54	это не	7	4
55	в своей	1	4
56	мысли и	7	4
57	своего рода	1	4
58	в мире	2	4
59	времени и	1	4
60	одной из	1	4
61	прежде всего	1	4
62	на эту	1	4
63	не может	11	4
64	один из	2	4
65	одним из	1	4
66	ту же	3	3
67	и т	7	3
68	на самом	3	3
69	той же	3	3
70	я не	2	3
71	не был	1	3
72	что я	11	3
73	хотя и	5	3
74	в самом	3	3
75	в нем	7	3
76	он ни	1	3
77	на его	3	3
78	и по	3	3
79	в каждом	3	3
80	что все	4	3
81	и с	4	3
82	и других	3	3
83	далеко не	1	3
84	в их	1	3
85	даже в	2	3
86	дело не	2	3
87	самого начала	2	3
88	дело в	1	3
89	не по	1	3
90	никогда не	3	3
91	стремится к	2	3
92	с самого	1	3
93	с ним	5	3
94	там же	3	3
95	в ту	2	3
96	того что	14	3
97	по мнению	1	3
98	уже не	3	3
99	уже в	5	3
100	в виде	2	3
101	не так	2	3
102	так как	14	3
103	в которой	6	3
104	и даже	2	3
105	с другой	2	3
106	но и	11	3
107	что человек	3	3
108	к человеку	1	3
109	но не	1	3
110	он говорит	1	3
111	для человека	4	3
112	не существует	2	3
113	но если	1	3
114	жизни и	1	3
115	ее в	1	3
116	это в	1	3
117	так же	4	3
118	себя как	1	2
119	вряд ли	1	2
120	в нашей	1	2
121	того же	1	2
122	самом деле	3	2
123	на деле	2	2
124	в первом	3	2
125	когда человек	4	2
126	человеческой души	1	2
127	а как	2	2
128	есть не	4	2
129	в ней	2	2
130	не нужно	2	2
131	в чем	1	2
132	не то	5	2
133	отличие от	1	2
134	же с	2	2
135	что как	4	2
136	то в	3	2
137	в себе	14	2
138	что она	2	2
139	тем не	4	2
140	так сказать	5	2
141	отношений между	2	2
142	здесь мы	2	2
143	не будет	3	2
144	о котором	1	2
145	а по	1	2
146	действительности в	1	2
147	известно что	6	2
148	и тем	4	2
149	стремления к	1	2
150	когда я	7	2
151	в данном	4	2
152	ведет к	3	2
153	бога и	1	2
154	и того	1	2
155	в этих	3	2
156	этой связи	1	2
157	не во	1	2
158	не в	11	2
159	в пространстве	1	2
160	но он	1	2
161	по крайней	5	2
162	т п	4	2
163	и против	1	2
164	и притом	2	2
165	свободы и	1	2
166	человека если	1	2
167	к ней	2	2
168	свидетельствует о	1	2
169	могут быть	7	2
170	к тому	3	2
171	а что	2	2
172	в с	1	2
173	отказаться от	1	2
174	это время	1	2
175	в виду	3	2
176	и отношений	1	2
177	не могу	2	2
178	данном случае	2	2
179	убеждении в	1	2
180	мысль о	6	2
181	в себя	1	2
182	на том	2	2
183	и когда	2	2
184	так и	6	2
185	об этом	2	2
186	во второй	1	2
187	быть может	4	2
188	можно сказать	4	2
189	может не	1	2
190	и та	4	2
191	настоящее время	1	2
192	что его	2	2
193	что и	7	2
194	крайней мере	5	2
195	вслед за	1	2
196	и мир	1	2
197	в двух	2	2
198	тот же	2	2
199	в качестве	1	2
200	человека с	1	2
201	так что	5	2
202	и у	2	2
203	следовало бы	1	2
204	при помощи	3	2
205	из них	1	2
206	только на	4	2
207	именно в	3	2
208	своего собственного	1	2
209	что не	6	2
210	влияние на	2	2
211	от мысли	2	2
212	с которым	2	2
213	его как	1	2
214	было в	3	2
215	все более	3	2
216	в частности	1	2
217	вместе с	6	2
218	до этого	3	2
219	надо было	1	2
220	эти слова	1	2
221	еще более	2	2
222	в первой	1	2
223	него есть	1	2
224	человеку как	1	2
225	я от	1	2
226	перед нами	1	2
227	не мог	1	2
228	в наше	1	2
229	в одно	1	2
230	или в	1	2
231	и среди	1	2
232	ее и	1	2
233	из себя	2	2
234	ибо в	1	2
235	только что	3	2
236	не знает	1	2
237	сказать что	8	2
238	в глаза	1	2
239	точно так	2	2
240	всем и	1	1
241	от дома	1	1
242	этого в	1	1
243	в сфере	1	1
244	и через	1	1
245	связана с	1	1
246	переход от	3	1
247	к своей	1	1
248	но тем	2	1
249	и есть	3	1
250	не признает	1	1
251	нам кажется	2	1
252	и до	3	1
253	в мыслях	1	1
254	выражается в	1	1
255	приближения к	1	1
256	уже по	2	1
257	мы уже	3	1
258	мы имеем	4	1
259	человеческой природы	2	1
260	что если	6	1
261	в зародыше	2	1
262	что никто	1	1
263	в сущности	2	1
264	одной только	1	1
265	говорить о	5	1
266	образом уже	1	1
267	что иное	2	1
268	но даже	2	1
269	то это	8	1
270	что можно	1	1
271	частный случай	1	1
272	проявляется в	2	1
273	в xix	1	1
274	вопрос об	1	1
275	одно из	1	1
276	еще не	3	1
277	по этому	1	1
278	иное как	2	1
279	себя по	1	1
280	нам представляется	2	1
281	столь же	2	1
282	может сделать	1	1
283	как один	1	1
284	во всех	1	1
285	тем как	2	1
286	на высоте	1	1
287	для изменения	1	1
288	к слову	3	1
289	по отношению	10	1
290	вообще как	1	1
291	тогда как	4	1
292	что так	2	1
293	человеку и	1	1
294	и каждому	1	1
295	в истории	4	1
296	как говорит	1	1
297	первый взгляд	1	1
298	эта связь	2	1
299	человечества не	1	1
300	с этим	7	1
301	для создания	3	1
302	его сердце	1	1
303	более и	2	1
304	кроме того	3	1
305	в мысли	3	1
306	как уже	1	1
307	что по	2	1
308	его к	2	1
309	и к	6	1
310	в действительности	3	1
311	как отрицание	1	1
312	при таком	1	1
313	при создании	1	1
314	бы и	5	1
