N	3gram	Berdyaev_N_1	RusskieA
1	в том что	1	18
2	вместе с тем	2	4
3	так же как	2	4
4	о том что	1	4
5	в отличие от	1	3
6	не может быть	4	3
7	подобно тому как	3	3
8	но она не	1	2
9	же как и	1	2
10	тому как в	1	2
11	может быть только	1	2
12	в том чтобы	1	2
13	в то время	1	2
14	с одной стороны	2	2
15	прежде всего как	1	1
16	и оно же	1	1
17	но и в	1	1
18	то что в	1	1
19	и через них	1	1
20	можно было бы	1	1
21	не в духе	1	1
22	во всяком случае	1	1
23	то время как	1	1
24	в такой же	1	1
25	с другой стороны	2	1
26	имея в виду	1	1
27	ни одна из	2	1
28	вопрос о том	2	1
29	и возвращается к	1	1
30	дай бог чтобы	1	1
31	должен быть признан	1	1
32	как и в	1	1
33	это и есть	1	1
