N	2gram	Savitsky_E_1	Sovremen
1	не может	9	17
2	может быть	6	12
3	точки зрения	23	12
4	таким образом	2	11
5	мы не	4	9
6	в этом	12	7
7	не можем	2	7
8	и в	37	7
9	мы можем	3	6
10	как и	7	6
11	и не	14	6
12	в результате	3	6
13	только одна	1	6
14	и наконец	2	5
15	все эти	1	5
16	что же	2	5
17	прежде всего	9	5
18	с точки	17	5
19	вопрос о	4	4
20	мы должны	2	4
21	в том	11	4
22	если мы	1	4
23	из них	3	4
24	так как	7	4
25	мы видели	3	4
26	не только	18	4
27	в развитии	2	4
28	как бы	6	4
29	вместе с	2	4
30	а в	2	4
31	жизни и	2	4
32	то же	15	3
33	между собой	2	3
34	может не	1	3
35	видели что	1	3
36	отнюдь не	9	3
37	все же	1	3
38	но в	14	3
39	мы получаем	1	3
40	он в	1	3
41	в этой	2	3
42	в себе	9	3
43	уже в	1	3
44	в одном	2	3
45	в нем	1	3
46	при этом	1	3
47	и мы	3	3
48	было бы	8	3
49	а не	2	3
50	так называемых	1	3
51	и потому	5	3
52	не в	5	3
53	при таком	1	3
54	одна из	1	3
55	для нас	4	3
56	и все	2	3
57	у нас	1	3
58	и к	3	3
59	когда мы	1	3
60	в области	11	3
61	как известно	1	2
62	как мы	5	2
63	свою очередь	2	2
64	той же	1	2
65	каждого из	1	2
66	на этом	1	2
67	и даже	6	2
68	говорить о	1	2
69	и что	2	2
70	может дать	1	2
71	и во	2	2
72	в которую	1	2
73	через некоторое	1	2
74	в его	2	2
75	с совершенно	1	2
76	и будет	1	2
77	с этим	2	2
78	дает нам	1	2
79	развития но	1	2
80	быть и	1	2
81	некоторое время	1	2
82	в самом	4	2
83	или же	1	2
84	что это	2	2
85	в нашем	1	2
86	с одной	8	2
87	уже не	1	2
88	то и	1	2
89	с другом	3	2
90	в виде	5	2
91	на его	1	2
92	при данной	1	2
93	мы знаем	1	2
94	всяком случае	3	2
95	и по	5	2
96	отличие от	1	2
97	но все	1	2
98	то ни	4	2
99	что все	2	2
100	значение в	1	2
101	или иной	4	2
102	в некоторых	2	2
103	а на	1	2
104	на этот	2	2
105	такой же	2	2
106	одна возможность	1	2
107	в отличие	1	2
108	друг с	3	2
109	не менее	1	2
110	можно назвать	1	2
111	она может	1	2
112	в третьем	1	2
113	еще более	2	2
114	мы видим	2	2
115	не дает	3	2
116	тот же	1	2
117	в свою	3	2
118	такие же	1	2
119	не могут	2	2
120	могут быть	2	2
121	что при	1	2
122	для развития	1	2
123	что в	21	2
124	в таком	3	2
125	во всяком	3	2
126	и наиболее	2	1
127	и это	1	1
128	оно может	1	1
129	для этих	2	1
130	его строить	1	1
131	своего развития	1	1
132	то она	1	1
133	с ее	1	1
134	данной области	2	1
135	процессам органической	1	1
136	ведь в	1	1
137	но тем	1	1
138	этом периоде	1	1
139	по преимуществу	2	1
140	и до	1	1
141	в мире	2	1
142	можно было	3	1
143	те же	1	1
144	из всех	3	1
145	есть не	2	1
146	во многом	2	1
147	осуществляется в	1	1
148	же как	5	1
149	еще в	1	1
150	когда в	1	1
