N	2gram	Bakhtin_Fr_7	Morfolog
1	может быть	4	52
2	таким образом	19	20
3	не может	3	17
4	в этих	2	16
5	с этим	2	14
6	эта форма	1	13
7	и в	41	13
8	в этом	15	13
9	так как	3	12
10	и др	2	12
11	перед нами	2	11
12	связи с	1	11
13	мы видим	6	11
14	видим что	1	10
15	заметить что	1	10
16	то же	13	9
17	мы имеем	2	9
18	так и	10	9
19	прежде всего	11	9
20	а не	2	9
21	в связи	2	9
22	и не	7	9
23	при помощи	1	8
24	что и	5	8
25	по существу	8	8
26	в результате	2	8
27	имеем в	2	7
28	и этим	1	7
29	в качестве	9	7
30	в тех	1	7
31	все же	1	7
32	но не	1	6
33	это не	6	6
34	во время	3	6
35	не могут	1	6
36	и здесь	4	6
37	а также	2	6
38	в форме	3	6
39	в том	11	6
40	а в	5	6
41	мы не	2	5
42	во всех	3	5
43	то что	8	5
44	в образе	4	5
45	далеко не	2	5
46	потому что	5	5
47	или в	2	5
48	иногда в	3	5
49	образом мы	1	5
50	этот момент	1	5
51	этот элемент	1	5
52	один из	1	5
53	мы увидим	1	5
54	если мы	1	5
55	как бы	7	5
56	и другие	3	5
57	также и	2	4
58	тех же	1	4
59	что его	1	4
60	то мы	1	4
61	как в	5	4
62	хотя и	4	4
63	и как	2	4
64	не только	5	4
65	на этом	5	4
66	об этом	1	4
67	его в	3	4
68	было бы	4	4
69	вовсе не	7	4
70	как и	14	4
71	несмотря на	3	4
72	точки зрения	5	4
73	с точки	3	4
74	на котором	1	4
75	ничего не	4	4
76	тем что	3	4
77	очень часто	3	4
78	в других	1	4
79	как мы	11	4
80	по отношению	2	4
81	так же	5	4
82	отношению к	2	4
83	героя в	1	4
84	что в	9	4
85	начинается с	2	3
86	самом деле	1	3
87	на самом	2	3
88	всего это	1	3
89	в первом	1	3
90	момент когда	1	3
91	и для	5	3
92	целый ряд	4	3
93	как таковое	1	3
94	но в	8	3
95	в нашем	1	3
96	и по	3	3
97	но все	4	3
98	из них	3	3
99	ни в	6	3
100	сам он	3	3
101	том что	4	3
102	и убивает	1	3
103	в то	10	3
104	и отсюда	1	3
105	в сущности	4	3
106	на него	1	3
107	здесь же	1	3
108	на нем	1	3
109	с собой	1	3
110	то здесь	1	3
111	но и	9	3
112	он не	4	3
113	во втором	1	3
114	к нему	5	3
115	и ее	2	3
116	в начале	1	3
117	что они	1	3
118	для этой	3	3
119	из которых	2	3
120	но это	3	3
121	кроме того	3	3
122	это уже	1	3
123	же в	2	3
124	героя и	1	3
125	в последнем	1	3
126	первом случае	1	3
127	как это	1	2
128	относятся к	1	2
129	со смертью	1	2
130	есть нечто	1	2
131	время как	1	2
132	он приказывает	1	2
