N	2gram	Tiupa_Narr_2	EvropaiE
1	и в	13	37
2	в отношении	1	32
3	точки зрения	5	23
4	что в	4	21
5	не только	26	18
6	с точки	2	17
7	в то	5	16
8	то же	4	15
9	хотя бы	2	15
10	в своем	6	14
11	но в	6	14
12	же время	3	14
13	в качестве	14	14
14	но и	15	14
15	и не	14	14
16	в этом	13	12
17	в области	2	11
18	в том	14	11
19	так и	9	10
20	отнюдь не	4	9
21	в себе	8	9
22	только в	11	9
23	прежде всего	6	9
24	не может	8	9
25	так же	2	9
26	в ее	4	8
27	было бы	2	8
28	в своей	4	8
29	к тому	9	8
30	между тем	3	8
31	с одной	5	8
32	одной стороны	5	8
33	также и	1	7
34	а также	6	7
35	того что	6	7
36	с другой	5	7
37	как и	4	7
38	по своему	2	7
39	может быть	10	6
40	во всех	1	6
41	стороны и	1	6
42	на то	2	6
43	то есть	9	6
44	том что	13	6
45	того чтобы	3	6
46	вслед за	6	6
47	вовсе не	2	6
48	для того	1	6
49	в последние	1	6
50	и даже	3	6
51	как бы	6	6
52	с этой	3	6
53	то что	8	6
54	же как	2	5
55	столь же	2	5
56	но не	3	5
57	не в	8	5
58	и по	3	5
59	к которым	1	5
60	тем самым	5	5
61	как мы	1	5
62	одной из	1	5
63	в виде	2	5
64	со стороны	6	5
65	в частности	11	5
66	и потому	1	5
67	в течение	2	5
68	в той	5	5
69	этой точки	1	5
70	то в	1	4
71	мы не	2	4
72	вопрос о	1	4
73	в полной	1	4
74	в некотором	1	4
75	в ней	2	4
76	в самом	2	4
77	того или	3	4
78	несмотря на	2	4
79	не имеет	2	4
80	и притом	1	4
81	в процессе	2	4
82	к ней	3	4
83	в направлении	2	4
84	той или	3	4
85	можно сказать	6	4
86	тем более	2	4
87	именно в	2	4
88	или иной	3	4
89	не на	1	4
90	мира в	4	4
91	как это	4	4
92	для нас	2	4
93	сказать что	3	4
94	или иного	3	4
95	в каком	1	4
96	бы и	1	3
97	на себя	1	3
98	того же	1	3
99	время в	1	3
100	моря и	1	3
101	в общем	1	3
102	как в	5	3
103	когда он	1	3
104	и к	6	3
105	себе не	1	3
106	всего лишь	6	3
107	представляет собой	16	3
108	в известном	3	3
109	не будет	2	3
110	большинстве случаев	1	3
