N	2gram	Savitsky_P_1	VelikijI
1	и не	12	20
2	и в	14	16
3	то что	4	9
4	еще не	1	8
5	в истории	1	8
6	а не	2	7
7	и потому	4	7
8	не есть	1	6
9	на себя	1	5
10	но и	6	5
11	того что	2	5
12	хотя и	3	5
13	в мире	2	5
14	все это	2	5
15	что есть	1	5
16	как бы	4	5
17	и есть	2	4
18	говорить о	2	4
19	в его	2	4
20	и я	1	4
21	мы хотим	1	4
22	в этом	10	4
23	потому что	3	4
24	в нем	3	4
25	что все	1	4
26	что не	1	4
27	с богом	1	4
28	как и	1	4
29	что мы	3	4
30	в котором	4	4
31	в ней	6	4
32	о смысле	1	4
33	и что	1	3
34	должна быть	1	3
35	за то	1	3
36	хотя бы	8	3
37	с его	1	3
38	во всех	2	3
39	что и	1	3
40	в том	9	3
41	тот же	3	3
42	но в	9	3
43	бы и	1	3
44	и мы	2	3
45	в жизни	2	3
46	в них	2	3
47	не было	2	3
48	во христе	1	3
49	должно быть	2	3
50	всемирной истории	1	3
51	в этих	1	3
52	нет ничего	1	3
53	что во	1	3
54	не в	5	3
55	к чему	2	3
56	не имеет	1	3
57	никогда не	1	3
58	что в	4	3
59	и это	2	2
60	того чтобы	1	2
61	и то	1	2
62	вечности и	1	2
63	и т	3	2
64	мы не	3	2
65	когда в	1	2
66	что от	1	2
67	между тем	3	2
68	что бога	1	2
69	вслед за	3	2
70	не с	1	2
71	государства и	1	2
72	духа и	2	2
73	только в	7	2
74	в себя	1	2
75	и любви	1	2
76	не только	17	2
77	на этих	2	2
78	не к	2	2
79	в существе	1	2
80	в прошлом	1	2
81	в число	1	2
82	ценности и	1	2
83	это не	3	2
84	т д	1	2
85	а с	1	2
86	прежде всего	3	2
87	для них	2	2
88	мир от	1	2
89	с тем	3	2
90	мы и	1	2
91	более чем	2	2
92	что истина	1	2
93	является в	2	2
94	что было	1	2
95	да и	2	2
96	одна из	2	2
97	том что	4	2
98	и ныне	1	2
99	для нас	2	2
100	и теперь	1	2
101	давно уже	1	2
102	а в	4	2
103	но не	3	2
104	могут быть	3	2
105	во всяком	1	2
106	от этой	1	1
107	света в	2	1
108	эта идея	2	1
109	быть может	6	1
110	пусть не	1	1
111	в ее	2	1
112	христианского мира	1	1
113	и осмыслить	1	1
114	то же	9	1
115	живет в	1	1
116	человеческого бытия	1	1
117	эти силы	1	1
118	в результате	1	1
119	ибо к	1	1
120	по сравнению	2	1
121	что уже	1	1
122	вопрос о	1	1
123	идти в	1	1
124	только это	2	1
125	находится в	1	1
126	и ее	1	1
127	и неверием	1	1
128	и на	1	1
129	он был	1	1
130	и который	1	1
131	оно ни	1	1
132	это имеет	1	1
133	что оно	1	1
134	но как	1	1
135	если в	2	1
136	не просто	1	1
137	привести не	1	1
138	и ошибки	1	1
139	и чем	1	1
140	к конечному	1	1
141	и мир	1	1
142	и пусть	2	1
143	пути в	2	1
144	в своем	4	1
145	известном смысле	1	1
146	все же	1	1
147	могли бы	1	1
148	мы видим	1	1
149	с ними	3	1
150	духа в	1	1
151	в самом	1	1
152	в которой	1	1
153	что это	1	1
154	бы ни	2	1
155	их не	1	1
156	богом и	1	1
157	теперь в	2	1
158	в этой	1	1
159	в известном	1	1
160	и современная	1	1
161	уже в	1	1
162	в которую	2	1
163	тем чтобы	1	1
164	в виде	2	1
165	и если	4	1
166	подхватят и	1	1
167	не будут	1	1
168	и вот	2	1
169	и должна	1	1
170	этом мире	1	1
171	того света	1	1
172	и по	1	1
173	не хотим	1	1
174	на нее	1	1
175	бы это	1	1
176	для того	3	1
177	не были	1	1
178	и с	2	1
179	ней и	1	1
180	ними как	1	1
181	и менее	1	1
182	с другой	5	1
183	есть не	2	1
184	русской революции	2	1
185	и быть	1	1
186	к миру	1	1
187	весь мир	1	1
188	и тем	2	1
189	были в	1	1
190	них и	1	1
191	церкви и	2	1
192	может ли	2	1
193	и уже	1	1
194	с которым	1	1
195	в бытии	1	1
196	в одно	1	1
197	смысле на	1	1
198	только мы	1	1
199	вместе с	1	1
200	так же	1	1
201	является и	1	1
202	над ним	1	1
203	в которых	5	1
204	сравнению с	1	1
205	ведет к	1	1
206	эта не	1	1
207	времени с	1	1
208	о личности	1	1
209	в мир	1	1
210	в тот	2	1
211	и великого	1	1
212	мира с	2	1
213	но верим	1	1
214	и очень	1	1
215	на пути	4	1
216	нет никакого	1	1
217	есть знак	1	1
218	есть прежде	1	1
219	к ним	1	1
220	первобытным и	1	1
221	и именно	1	1
222	мы все	1	1
223	миру в	1	1
224	есть путь	1	1
225	и всегда	1	1
226	христа и	1	1
227	может быть	5	1
228	в русском	2	1
229	как она	1	1
230	духа а	1	1
231	над личностью	1	1
232	к жизни	1	1
233	может и	2	1
234	другой стороны	1	1
235	будет с	1	1
236	о духе	1	1
237	есть и	1	1
238	в трех	1	1
239	ли они	1	1
240	всего что	1	1
241	и другие	1	1
242	это в	1	1
243	злого начала	1	1
244	но к	2	1
245	она не	1	1
246	они не	1	1
