N	3gram	Trubetskoy_1	VLabPisa
1	в этом отношении	1	13
2	не может быть	4	8
3	по отношению к	1	7
4	более или менее	4	6
5	то же время	10	5
6	в то же	10	5
7	в связи с	1	4
8	в том что	7	4
9	в силу этого	1	3
10	в значительной мере	2	3
11	вместе с тем	3	3
12	это и есть	1	3
13	о том что	2	3
14	к тому что	2	3
15	в другом месте	1	2
16	не может не	3	2
17	в том числе	1	2
18	до сих пор	5	2
19	только то что	1	2
20	можно было бы	3	2
21	и не может	3	2
22	по крайней мере	1	2
23	говорить не о	1	2
24	в том чтобы	1	2
25	в конце концов	3	2
26	не могут не	2	2
27	во всех этих	1	2
28	во всяком случае	6	2
29	в этом и	1	2
30	от того что	1	2
31	том числе и	1	2
32	для того чтобы	6	2
33	и в другом	2	2
34	даже и в	1	1
35	на этот вопрос	1	1
36	и ту же	1	1
37	в начале этой	1	1
38	в самом деле	1	1
39	но даже и	1	1
40	в том же	1	1
41	совершенно очевидно что	1	1
42	отнюдь не может	1	1
43	приходится признать что	1	1
44	творчества таким образом	1	1
45	тот или иной	1	1
46	сама по себе	2	1
47	что он не	2	1
48	только в том	2	1
49	прежде всего необходимо	1	1
50	же время она	1	1
51	в противном случае	1	1
52	не подлежит сомнению	1	1
53	могут не быть	1	1
54	есть то что	1	1
55	в применении к	1	1
56	в данном случае	3	1
57	но в то	1	1
58	как видно из	1	1
59	ни к какому	1	1
60	из которых каждая	1	1
61	но она не	2	1
62	то же самое	1	1
63	так же как	1	1
64	того что не	1	1
65	что ни одна	1	1
66	возможность хотя бы	1	1
67	не могло бы	1	1
68	а между тем	5	1
69	того или иного	2	1
70	а в том	1	1
71	но по существу	1	1
72	и вместе с	2	1
73	в свою очередь	1	1
74	одной из этих	1	1
75	может быть достигнуто	1	1
76	но и для	1	1
77	вопрос о том	1	1
78	той или иной	3	1
79	было бы чрезвычайно	1	1
80	ни одна из	2	1
81	сил и способностей	1	1
82	неизбежно приводит к	1	1
83	именно в силу	1	1
84	и ни одна	1	1
85	одну и ту	1	1
86	в результате этого	1	1
87	к тому же	1	1
88	из этих черт	1	1
89	заключает в себе	1	1
90	что оно является	1	1
91	не только для	1	1
92	и следовало ожидать	1	1
