N	3gram	Losev_Dial_2	Tragedij
1	то же время	4	5
2	в то же	3	5
3	точно так же	1	2
4	и в частности	2	2
5	в данном случае	2	2
6	и как бы	1	2
7	бросается в глаза	1	2
8	о том что	4	2
9	но все же	1	2
10	в том что	6	2
11	в обоих случаях	1	1
12	что это значит?	1	1
13	не только о	1	1
14	в таком виде	1	1
15	том что он	1	1
16	у достоевского в	1	1
17	и что же?	1	1
18	в каких терминах	1	1
19	должно быть по	1	1
20	что он с	1	1
21	и не может	1	1
22	сам по себе	3	1
23	и то что	1	1
24	и т п	2	1
25	за то что	1	1
26	это может быть	1	1
27	в виду не	1	1
28	во всяком случае	2	1
29	в конце концов	1	1
30	и не быть	1	1
31	в голову что	1	1
32	но при этом	1	1
33	и должно быть	2	1
34	и в этом	1	1
35	по сравнению с	1	1
36	и при этом	1	1
37	тем не менее	2	1
38	не могут быть	2	1
39	бы и не	1	1
40	все же не	1	1
41	в связи с	4	1
42	мы отнюдь не	1	1
43	не может быть	3	1
44	как и все	2	1
45	и вместе с	1	1
46	это и есть	1	1
47	с самого начала	2	1
48	несмотря на всю	1	1
49	в самом деле	3	1
50	несмотря на все	1	1
51	что с г	1	1
52	в братьях карамазовых	1	1
53	к тому что	1	1
54	это не просто	1	1
55	на всю ее	1	1
56	может быть в	3	1
