N	4gram	Losev_Prob_3	Istorich
1	в то время как	4	3
2	в тех случаях когда	1	3
3	до сих пор мы	1	2
4	как мы только что	1	1
5	в том смысле что	3	1
6	одно и то же	3	1
7	не что иное как	4	1
8	во всяком случае не	1	1
9	прийти к выводу что	1	1
10	мы только что видели	1	1
11	с этой точки зрения	1	1
12	и т д в	1	1
13	в том что он	1	1
14	то это значит что	2	1
15	о котором говорилось выше	1	1
16	и тем не менее	3	1
17	и то и другое	1	1
18	и т д все	1	1
19	тем не менее в	1	1
20	это не значит что	1	1
21	здесь можно было бы	1	1
22	так же как и	1	1
23	не только то что	1	1
24	есть не что иное	4	1
