N	2gram	Berdyaev_O_1	KulturaY
1	т е	4	32
2	и в	19	23
3	в том	5	22
4	не только	11	17
5	в этом	12	16
6	было бы	3	16
7	самом деле	1	14
8	может быть	11	14
9	в самом	5	13
10	что в	4	13
11	потому что	9	12
12	для того	3	12
13	вопрос о	10	11
14	том что	2	11
15	того чтобы	4	11
16	можно было	1	11
17	в его	7	11
18	того что	3	11
19	а не	11	11
20	у нас	1	10
21	и не	13	10
22	еще не	3	9
23	хотя бы	3	9
24	так как	2	9
25	прежде всего	9	9
26	лишь в	7	8
27	если бы	1	8
28	в виду	1	8
29	уже не	1	8
30	как это	1	7
31	все эти	4	7
32	должно быть	2	7
33	того как	1	7
34	и что	1	7
35	сказать что	2	7
36	в силу	1	6
37	так и	2	6
38	с тем	2	6
39	ничего не	2	6
40	не может	4	6
41	могут быть	3	6
42	по себе	2	6
43	о том	3	6
44	после того	1	6
45	что и	2	6
46	что он	3	6
47	также и	1	5
48	и есть	3	5
49	все же	2	5
50	хотя и	2	5
51	как бы	3	5
52	что она	1	5
53	как и	6	5
54	не в	11	5
55	вовсе не	1	5
56	от того	1	5
57	не могут	3	5
58	тем что	2	5
59	что же	2	5
60	но это	1	5
61	а в	5	5
62	совершенно не	1	5
63	в сущности	1	4
64	как в	1	4
65	в своем	2	4
66	вопросом о	2	4
67	лишь с	1	4
68	том случае	1	4
69	этого слова	1	4
70	в своей	2	4
71	и о	2	4
72	в ее	2	4
73	заключается в	1	4
74	один из	1	4
75	что не	4	4
76	не случайно	1	4
77	не было	9	4
78	то что	5	4
79	на самом	1	3
80	то в	1	3
81	есть не	1	3
82	мы не	1	3
83	сам по	1	3
84	в ней	1	3
85	но не	1	3
86	то он	1	3
87	отношение к	5	3
88	что как	1	3
89	и к	2	3
90	бы и	1	3
91	что это	1	3
92	он не	7	3
93	и вот	3	3
94	и с	2	3
95	не так	1	3
96	и более	1	3
97	что сам	1	3
98	в отношении	1	3
99	она не	1	3
100	не имеет	2	3
101	в процессе	1	3
102	должна быть	1	3
103	не по	1	3
104	был бы	1	3
105	не потому	1	3
106	не есть	2	3
107	но и	13	3
108	отметить что	1	3
109	это не	3	3
110	вообще и	1	3
111	и действительно	1	3
112	уже в	2	3
113	а именно	1	3
114	а с	1	3
115	и пр	1	3
116	я хочу	1	3
117	смысле слова	1	2
118	чтобы не	1	2
119	и через	1	2
120	тем же	1	2
121	к другому	1	2
122	на западе	2	2
123	и вопрос	1	2
124	не все	2	2
125	что они	2	2
126	и я	1	2
127	как к	2	2
128	смысле этого	1	2
129	когда он	3	2
130	и как	1	2
131	имею в	1	2
132	но в	2	2
