N	2gram	Bakhtin_fo_2	Tragedij
1	и в	46	18
2	в романе	13	10
3	в этом	22	9
4	не только	11	8
5	он сам	1	7
6	и с	6	7
7	и на	7	7
8	может быть	7	7
9	как бы	10	7
10	и не	9	7
11	но в	10	6
12	и его	12	6
13	в образе	4	6
14	же время	4	6
15	что он	3	6
16	у него	9	6
17	то же	8	5
18	все же	6	5
19	это не	2	5
20	как и	8	5
21	несмотря на	1	5
22	в то	5	5
23	в дальнейшем	5	5
24	так и	7	5
25	не может	2	5
26	он всегда	1	4
27	еще не	6	4
28	в себе	4	4
29	в этой	2	4
30	в нем	5	4
31	об этом	1	4
32	том что	4	4
33	и что	1	4
34	но и	9	4
35	и даже	3	4
36	прежде всего	14	4
37	так же	2	4
38	но это	2	4
39	все это	6	4
40	что в	5	4
41	и все	6	4
42	то что	7	4
43	в мире	4	3
44	и он	4	3
45	эпизод с	1	3
46	отнюдь не	4	3
47	как в	4	3
48	в своем	5	3
49	и как	3	3
50	все эти	5	3
51	при этом	6	3
52	то есть	10	3
53	должно быть	5	3
54	о чем	3	3
55	с ее	1	3
56	и сам	1	3
57	iii в	1	3
58	жизнь и	3	3
59	с ним	4	3
60	в его	8	3
61	один из	2	3
62	романа и	1	3
63	уже в	4	3
64	для него	3	3
65	в конце	2	3
66	как это	2	3
67	в основном	8	3
68	этого романа	2	2
69	из самых	2	2
70	и до	2	2
71	а как	1	2
72	никогда не	6	2
73	и то	1	2
74	он был	2	2
75	не был	2	2
76	с его	1	2
77	ее к	2	2
78	отношение к	3	2
79	отличие от	1	2
80	так что	4	2
81	как говорит	1	2
82	о жизни	1	2
83	в самом	1	2
84	в письмах	1	2
85	бы и	1	2
86	то и	1	2
87	он не	5	2
88	но все	1	2
89	что все	2	2
90	его в	6	2
91	дома и	1	2
92	в это	3	2
93	ни в	1	2
94	с тем	2	2
95	не мог	2	2
96	любви и	1	2
97	роман о	1	2
98	в отличие	1	2
99	вопрос о	1	2
100	одном из	2	2
101	но эта	2	2
102	не в	9	2
103	раз и	1	2
104	одна из	1	2
105	не имеет	1	2
106	у отца	1	2
107	не могут	1	2
108	он и	1	2
109	к тому	3	2
110	и это	2	2
111	но при	1	2
112	в ее	1	2
113	данном случае	1	2
114	не за	1	2
115	раз он	1	2
116	еще в	1	2
117	как у	3	2
118	и здесь	1	2
119	о том	4	2
120	в глаза	1	2
