1	в том что он	2	3
2	то же самое что	1	2
3	его с точки зрения	1	2
4	все более и более	2	2
5	в то же время	8	2
6	не может быть объяснено	1	1
7	не может быть признано	1	1
8	одно и то же	3	1
9	никогда не может быть	1	1
10	бы то ни было	4	1
11	приводит к тому что	1	1
12	к тому или иному	1	1
13	в жизни и в	1	1
14	и не может быть	1	1
15	не что иное как	1	1
16	во всяком случае все	1	1
17	то одна то другая	1	1
18	из поколения в поколение	1	1
19	и в том что	1	1
20	одного и того же	4	1
21	свидетельствует о том что	1	1
22	если же мы возьмем	1	1
