N	3gram	Losev_Vlad_1	Komedia
1	в том что	7	9
2	в то время	2	5
3	с другой стороны	3	5
4	к тому же	2	5
5	том что он	2	4
6	то время как	1	4
7	в конце концов	3	4
8	то же время	4	4
9	в то же	4	4
10	и т д	2	4
11	в этом отношении	1	3
12	с одной стороны	1	3
13	о том что	7	3
14	из всего этого	1	2
15	о том насколько	1	2
16	не говоря уже	1	2
17	во второй половине	1	2
18	в эти годы	3	2
19	говоря уже о	1	2
20	то ни было	1	2
21	бы то ни	1	2
22	во всяком случае	2	2
23	в тех же	1	2
24	на то что	4	2
25	можно судить по	2	2
26	том что в	3	1
27	он был очень	1	1
28	что иное как	1	1
29	что же касается	4	1
30	как было сказано	2	1
31	более или менее	3	1
32	в ответ на	2	1
33	в том же	1	1
34	можно только удивляться	1	1
35	да и в	1	1
36	вместе с тем	1	1
37	в чем не	1	1
38	у него не	2	1
39	в году он	4	1
40	в былые времена	1	1
41	и в конце	1	1
42	как вы думаете	1	1
43	в это время	1	1
44	в этой области	1	1
45	не только в	2	1
46	на этот раз	4	1
47	смысле этого слова	1	1
48	поводу того что	1	1
49	что уже в	1	1
50	быть также и	1	1
51	так или иначе	1	1
52	в течение всей	4	1
53	как раз против	1	1
54	еще и теперь	1	1
55	незадолго до того	1	1
56	из них не	1	1
57	и в дальнейшем	1	1
58	и в том	1	1
59	ни у одного	1	1
60	о браке с	1	1
61	не по годам	1	1
62	по поводу того	1	1
63	ни в чем	1	1
64	может быть также	1	1
65	что он не	3	1
66	еще в конце	1	1
67	но он не	1	1
68	что у него	2	1
69	т i с	2	1
70	не что иное	1	1
71	к этому времени	2	1
72	все это конечно	2	1
73	в этой же	1	1
74	как мы уже	3	1
75	к тому что	1	1
76	тем не менее	2	1
77	мы уже знаем	1	1
78	для того чтобы	2	1
79	и все это	1	1
80	так как он	2	1
81	на две партии	1	1
82	но и все	1	1
83	и тот же	2	1
84	через всю его	1	1
