N	3gram	Bakhtin_Pr_3	Dialekti
1	с точки зрения	2	14
2	тем не менее	2	10
3	что иное как	1	6
4	не может быть	1	6
5	не что иное	1	6
6	по крайней мере	1	5
7	о том что	2	5
8	даже и не	2	3
9	в том что	3	3
10	есть не что	1	3
11	как и в	3	3
12	и прежде всего	5	3
13	ровно ничего не	1	3
14	хотя и не	1	2
15	это было бы	1	2
16	как и все	1	2
17	в зависимости от	2	2
18	с другой стороны	1	2
19	во всяком случае	1	2
20	той или иной	1	2
21	так или иначе	1	2
22	и той же	1	1
23	я не хочу	1	1
24	и даже не	1	1
25	в область истории	1	1
26	то же самое	1	1
27	до сих пор	5	1
28	и не может	1	1
29	и в то	2	1
30	в основе их	1	1
31	чем иным как	1	1
32	в этом отношении	1	1
33	говорит о себе	1	1
34	и во всех	3	1
35	на первом плане	1	1
36	может быть только	1	1
37	сущности а не	1	1
38	в применении к	1	1
39	не чем иным	1	1
40	включают в себя	1	1
41	по своей глубине	1	1
42	по своему существу	1	1
43	ибо не только	1	1
44	так и от	1	1
45	я не могу	1	1
46	это конечно не	1	1
47	вовсе еще не	1	1
48	со всеми их	1	1
49	и кроме того	1	1
50	более или менее	3	1
51	то же время	5	1
52	в нем нет	3	1
53	но и помимо	1	1
54	жизни и смерти	2	1
55	и никогда не	1	1
56	том что все	1	1
57	в то же	5	1
58	в связи с	1	1
59	со всеми ее	1	1
60	ни за что	1	1
61	одной и той	1	1
62	все той же	1	1
63	тех или иных	1	1
