N	3gram	Losev_Prob_3	Tragedij
1	в то же	4	5
2	так и в	1	3
3	в отличие от	2	2
4	точно так же	3	2
5	и в частности	2	2
6	в данном случае	7	2
7	и как бы	2	2
8	бросается в глаза	1	2
9	о том что	3	2
10	в том что	9	2
11	в этом случае	5	1
12	но это уже	1	1
13	для чего же	1	1
14	никто не скажет	1	1
15	самостоятельное значение и	3	1
16	том что он	1	1
17	имеет в виду	1	1
18	сам по себе	6	1
19	в той же	1	1
20	что он не	1	1
21	в третий раз	1	1
22	но несмотря на	1	1
23	и то что	7	1
24	может быть не	1	1
25	чем он сам	1	1
26	не скажет что	1	1
27	в виду не	1	1
28	выходящее за пределы	1	1
29	во всяком случае	6	1
30	в конце концов	3	1
31	смысле этого слова	1	1
32	в чем же	1	1
33	но при этом	1	1
34	и в этом	6	1
35	по сравнению с	2	1
36	тем не менее	10	1
37	связаны между собой	1	1
38	необходимо подчеркнуть что	1	1
39	все же не	1	1
40	в связи с	7	1
41	не может быть	5	1
42	целесообразностью без цели	2	1
43	и все же	1	1
44	отнюдь не является	2	1
45	это и есть	1	1
46	она как бы	1	1
47	не только не	1	1
48	в самом деле	1	1
49	виде и что	1	1
50	к тому что	1	1
51	перед нами на	1	1
52	друг друга и	1	1
53	может быть в	1	1
54	как и в	1	1
