N	3gram	Losev_Dial_3	FransuaR
1	в том что	3	6
2	той или иной	2	5
3	до сих пор	1	4
4	мы уже сказали	1	3
5	с точки зрения	14	3
6	в этом отношении	1	3
7	в применении к	1	3
8	и прежде всего	3	3
9	на самом деле	1	2
10	как раз и	3	2
11	и в частности	1	2
12	с одной стороны	3	2
13	по своему существу	1	2
14	он дает в	1	2
15	и в том	1	2
16	вовсе не в	1	2
17	и всякого рода	1	1
18	тело и не	1	1
19	имеем в виду	1	1
20	в самом деле	5	1
21	перестал бы быть	1	1
22	может быть отнесена	1	1
23	и не только	3	1
24	на первый план	4	1
25	что с точки	1	1
26	и не может	1	1
27	в мифологии и	1	1
28	сами по себе	3	1
29	жизни и смерти	1	1
30	на что не	1	1
31	и по его	1	1
32	это вовсе не	1	1
33	на первом плане	1	1
34	для нас в	2	1
35	конечно с точки	1	1
36	может быть только	1	1
37	не чем иным	1	1
38	тех или иных	1	1
39	и потому он	1	1
40	в них как	1	1
41	и в чем	2	1
42	жизни и мира	2	1
43	и не вполне	1	1
44	пр и пр	1	1
45	того что не	1	1
46	не могут быть	2	1
47	в последнее время	1	1
48	в связи с	1	1
49	ни на что	1	1
50	это конечно не	1	1
51	во всяком случае	2	1
52	с другой стороны	2	1
53	не может быть	6	1
54	то же время	1	1
55	в нем нет	1	1
56	чем иным как	1	1
57	и пр в	1	1
58	и пр и	1	1
59	то что мы	3	1
60	дает в сущности	1	1
61	в одном из	1	1
62	мифологии и в	1	1
63	от средневекового и	1	1
64	мы имеем в	1	1
65	мы вовсе не	1	1
66	на государственную и	1	1
67	в то же	1	1
68	в вопросе о	2	1
69	это не просто	1	1
70	к тому же	2	1
71	но еще и	1	1
