N	2gram	Medvedev_I_1	Formalny
1	и в	1	38
2	в этом	2	27
3	и не	2	20
4	и с	3	9
5	так и	1	8
6	тем что	1	8
7	что в	2	7
8	для него	1	7
9	по существу	1	7
10	все эти	1	6
11	а в	1	6
12	он не	2	6
13	бы в	1	5
14	говорить о	1	5
15	в основе	1	5
16	если бы	1	5
17	другой стороны	1	4
18	ничего не	2	4
19	от нее	1	4
20	как о	1	4
21	в значительной	1	3
22	жизни и	1	3
23	от этого	1	3
24	произведения и	1	3
25	то и	1	3
26	того чтобы	1	3
27	того что	1	3
28	в целом	1	3
29	для того	1	3
30	понятий и	1	3
31	и др	1	3
32	с другой	1	3
33	все это	1	3
34	это было	1	3
35	же это	1	2
36	не так	1	2
37	на котором	1	2
38	в художественном	1	2
39	никогда не	1	2
40	что для	1	2
41	и о	1	2
42	очевидно что	1	2
43	есть только	1	2
44	нет есть	1	1
45	того же	1	1
46	и со	1	1
47	бы столь	1	1
48	и тот	1	1
49	фундамент на	1	1
50	не дает	1	1
51	факты и	1	1
52	художественном творчестве	1	1
53	следовательно в	1	1
54	и сам	1	1
55	так то	1	1
56	следующим образом	1	1
57	и без	1	1
58	автора и	1	1
59	и еще	1	1
60	как только	1	1
61	нам в	1	1
62	в них	1	1
63	не здесь	1	1
64	и та	1	1
65	у всех	1	1
66	во многом	1	1
67	как смерть	1	1
68	должен быть	2	1
69	нее и	1	1
70	в эту	1	1
71	а если	1	1
